% Model,2D_rectangle.mph
% Version,COMSOL 6.3.0.290
% Date,"Jun 2 2025, 10:28"
% Table,Table 10 - Concentration_versus_L
% Time (s),"Molar concentration, c (mol/m^3)"
0,0
1.0E-4,0
2.0E-4,0
3.0000000000000003E-4,0
4.0E-4,0
5.0E-4,0
6.000000000000001E-4,0
7.0E-4,0
8.0E-4,0
9.000000000000001E-4,0
0.001,0
0.0011,0
0.0012000000000000001,0
0.0013000000000000002,0
0.0014,0
0.0015,0
0.0016,0
0.0017000000000000001,6.5636621E-316
0.0018000000000000002,1.73603798504E-313
0.0019,5.3011564469636E-311
0.002,2.5819870885356625E-308
0.0021000000000000003,8.066319085047123E-306
0.0022,2.14378034296675E-303
0.0023,6.070628758523085E-301
0.0024000000000000002,2.7542336992228854E-298
0.0025,8.541129913037518E-296
0.0026000000000000003,2.261432662813461E-293
0.0027,6.613237412922286E-291
0.0028,2.936749287299187E-288
0.0029000000000000002,9.04243780837189E-286
0.003,2.385318630367688E-283
0.0031000000000000003,7.194233605242064E-281
0.0032,3.130293666468159E-278
0.0033,9.571664146863247E-276
0.0034000000000000002,2.515758104601509E-273
0.0035,7.815999941109897E-271
0.0036000000000000003,3.335448299484927E-268
0.0037,1.0129832447514161E-265
0.0038,2.6527119530596075E-263
0.0039000000000000003,8.831331422496765E-161
0.004,3.050596762760081E-159
0.0041,7.26159984422549E-158
0.004200000000000001,1.4786653987627284E-156
0.0043,3.3272469296999197E-155
0.0044,1.1361167011469441E-153
0.0045000000000000005,2.693701700989855E-152
0.0046,5.473893532361232E-151
0.0047,1.2532369543012711E-149
0.0048000000000000004,4.23063147253904E-148
0.0049,9.991831166798797E-147
0.005,2.0263253346095115E-145
0.0051,4.718406193080395E-144
0.005200000000000001,1.5751561312863458E-142
0.0053,3.705708165704587E-141
0.0054,7.498913967195003E-140
0.0055000000000000005,1.7745317760622544E-138
0.0056,5.853668641148971E-137
0.0057,1.3695687894620957E-135
0.0058000000000000005,2.758221252266541E-134
0.0059,6.592504430221392E-133
0.006,2.1275779918090327E-131
0.0061,4.891906608155816E-130
0.006200000000000001,9.659165435504888E-129
0.0063,2.2736432415445516E-127
0.0064,6.948463803268414E-126
0.006500000000000001,1.523112237681142E-124
0.0066,2.8584058724386762E-123
0.0067,6.354926359383603E-122
0.0068000000000000005,1.7627849583802667E-120
0.006900000000000001,3.563836575153971E-119
0.007,6.175955143028913E-118
0.0071,1.254744571933126E-116
0.007200000000000001,3.075171616470661E-115
0.0073,5.625846799863556E-114
0.0074,8.871238883291995E-113
0.007500000000000001,1.6226957799043029E-111
0.0076,3.483638865474182E-110
0.0077,5.732696355100446E-109
0.0078000000000000005,8.194899664374985E-108
0.0079,1.0606082750613777E-73
0.008,6.892802023930467E-73
0.0081,3.131327022148418E-72
0.0082,2.418871229243708E-71
0.0083,1.5110616475718225E-70
0.008400000000000001,5.93866780823389E-70
0.0085,4.775240972358564E-69
0.0086,3.2242456771385293E-68
0.008700000000000001,1.4060046790957287E-67
0.0088,9.295371407550789E-67
0.0089,6.662002646757157E-66
0.009000000000000001,3.4683091428175838E-65
0.0091,1.7771802262146103E-64
0.0092,1.3279662219804537E-63
0.009300000000000001,7.728567701278017E-63
0.0094,3.283728729594114E-62
0.0095,2.50290781629946E-61
0.009600000000000001,1.5518611399267287E-60
0.0097,5.737607089020115E-60
0.0098,4.319455897909862E-59
0.0099,2.7464590004269676E-58
0.01,1.2171658469138839E-57
0.010100000000000001,6.611931283288644E-57
0.0102,4.192451676302674E-56
0.0103,2.0228057811853472E-55
0.010400000000000001,8.779659267535917E-55
0.0105,5.450086027575744E-54
0.0106,2.721691008261202E-53
0.010700000000000001,1.0000548957657583E-52
0.0108,6.0101331293139585E-52
0.0109,3.018954202113665E-51
0.011000000000000001,1.0867866697839007E-50
0.0111,5.63385353797984E-50
0.0112,2.799261222530266E-49
0.011300000000000001,1.0837278372477179E-48
0.0114,4.5132091118215785E-48
0.0115,2.196055005903218E-47
0.011600000000000001,8.772335115655113E-47
0.0117,3.1109124611002097E-46
0.0118,1.4734934083677283E-45
0.0119,5.935944061044248E-45
0.012,1.8585566200601941E-44
0.012100000000000001,8.538331725417023E-44
0.0122,3.42204252017632E-43
0.0123,1.1095641384808843E-42
0.012400000000000001,4.3102168685761493E-42
0.0125,1.704150904811195E-41
0.0126,5.684407925312172E-41
0.012700000000000001,1.910366662604794E-40
0.0128,7.410800747642778E-40
0.0129,2.4968277682182065E-39
0.013000000000000001,7.48629177561931E-39
0.0131,2.83934080399365E-38
0.0132,9.55295317279332E-38
0.013300000000000001,2.703828425044863E-37
0.0134,9.656654854725272E-37
0.0135,3.2204488624529864E-36
0.013600000000000001,9.319164790167995E-36
0.0137,2.934296356131222E-35
0.013800000000000002,9.651370264097512E-35
0.013900000000000001,2.816445964441734E-34
0.014,8.011387473266794E-34
