% Model,2D_turn.mph
% Version,COMSOL 6.3.0.290
% Date,"Jun 1 2025, 22:49"
% Table,Table 1 - Outlet Concentration
% Time (s),"Molar concentration, c (mol/m^3)"
1.0E-5,-2.55427046568549E-40
2.0E-5,5.758260696493426E-39
3.0000000000000004E-5,3.830151830459966E-39
4.0E-5,-5.4466038102002283E-39
5.0E-5,-9.65804135191617E-39
6.000000000000001E-5,-8.850545657039037E-39
7.000000000000001E-5,-1.1496956153763817E-39
8.0E-5,2.7916999535718617E-39
9.0E-5,6.323114764486493E-39
1.0E-4,9.85452957540112E-39
1.1E-4,6.869788449425057E-39
1.2000000000000002E-4,3.680372354848993E-39
1.3000000000000002E-4,5.331100140399767E-40
1.4000000000000001E-4,-1.529875253499967E-39
1.5000000000000001E-4,-3.592860521039911E-39
1.6E-4,-5.55552465503444E-39
1.7E-4,-6.319088003568869E-39
1.8E-4,-6.455323609938015E-39
1.9E-4,-5.964231474141879E-39
2.0E-4,-4.8458115961804585E-39
2.1E-4,-3.100063976053757E-39
2.2E-4,-1.1229548373765515E-39
2.3E-4,-9.912870772158358E-41
2.4000000000000003E-4,1.0139138437075517E-39
2.5E-4,2.2161728169108428E-39
2.6000000000000003E-4,3.507648211888304E-39
2.7E-4,4.8883400286399214E-39
2.8000000000000003E-4,5.8103986378942535E-39
2.9E-4,5.5948380536771416E-39
3.0000000000000003E-4,5.0025660597046336E-39
3.1E-4,4.0335826559767356E-39
3.2E-4,2.6878878424934378E-39
3.3000000000000005E-4,9.654816192547441E-40
3.4E-4,-4.6481811785513976E-40
3.5000000000000005E-4,-1.3262689849377875E-39
3.6E-4,-2.1551767037067524E-39
3.7000000000000005E-4,-2.9515412741620444E-39
3.8E-4,-3.715362696303657E-39
3.9000000000000005E-4,-4.4466409701315954E-39
4.0E-4,-4.603035321695479E-39
4.1000000000000005E-4,-4.220952203403146E-39
4.2E-4,-3.549422981863832E-39
4.3000000000000004E-4,-2.5884476570775276E-39
4.4E-4,-1.338026229044242E-39
4.5000000000000004E-4,2.018413022360361E-40
4.6E-4,1.1493262248119259E-39
4.7000000000000004E-4,1.8415822801003172E-39
4.8000000000000007E-4,2.484944495810911E-39
4.900000000000001E-4,3.079412871943707E-39
5.0E-4,3.6249874084986987E-39
5.1E-4,4.1216681054758995E-39
5.200000000000001E-4,3.9511144314691624E-39
5.300000000000001E-4,3.487523795052641E-39
5.4E-4,2.7768554693481293E-39
5.5E-4,1.8191094543556133E-39
5.600000000000001E-4,6.142857500750991E-40
5.700000000000001E-4,-7.911259440590877E-40
5.8E-4,-1.5042594678285948E-39
5.9E-4,-2.181806316632448E-39
6.000000000000001E-4,-2.8237664904706415E-39
6.100000000000001E-4,-3.4301399893431736E-39
6.2E-4,-4.000926813250042E-39
6.3E-4,-4.411867343281862E-39
6.4E-4,-4.134213925032654E-39
6.500000000000001E-4,-3.606463185854152E-39
6.600000000000001E-4,-2.8286151257463517E-39
6.7E-4,-1.800669744709272E-39
6.8E-4,-5.226270427428872E-40
6.900000000000001E-4,7.674279795112863E-40
7.000000000000001E-4,1.661706506342845E-39
7.1E-4,2.570936548565779E-39
7.2E-4,3.495118106180109E-39
7.300000000000001E-4,4.434251179185825E-39
7.400000000000001E-4,5.388335767582929E-39
7.5E-4,5.945605278666261E-39
7.6E-4,5.8342127469227814E-39
7.700000000000001E-4,5.456540646766936E-39
7.800000000000001E-4,4.812588978198723E-39
7.9E-4,3.902357741218158E-39
8.0E-4,2.7258469358252162E-39
8.100000000000001E-4,1.5203647633967565E-39
8.200000000000001E-4,3.058125338413157E-40
8.300000000000001E-4,-1.0523314465451804E-39
8.4E-4,-2.5540671777627126E-39
8.500000000000001E-4,-4.199394659811316E-39
8.600000000000001E-4,-5.988313892690972E-39
8.700000000000001E-4,-7.013854236043576E-39
8.8E-4,-7.530227573166251E-39
8.900000000000001E-4,-7.815838305830946E-39
9.000000000000001E-4,-7.870686434037659E-39
9.100000000000001E-4,-7.694771957786387E-39
9.2E-4,-7.288094877077138E-39
9.3E-4,-6.46051280943963E-39
9.400000000000001E-4,-5.313090704926251E-39
9.500000000000001E-4,-3.8700044257478507E-39
9.600000000000001E-4,-2.1312539719044262E-39
9.7E-4,-9.683934339600012E-41
9.800000000000002E-4,2.2278609789907343E-39
9.9E-4,3.773526521034536E-39
0.001,5.3006936374308544E-39
0.00101,6.809362328179655E-39
0.00102,8.299532593280939E-39
0.00103,9.771204432734705E-39
0.0010400000000000001,1.10621199292768E-38
0.0010500000000000002,1.1132955451189592E-38
0.0010600000000000002,1.0803661199106236E-38
0.00107,1.0074237173026746E-38
0.00108,8.944683372951091E-39
0.00109,7.414999798879287E-39
0.0011,5.626213127409036E-39
0.00111,3.9105302962410294E-39
0.0011200000000000001,1.9603105306248904E-39
0.0011300000000000001,-2.244461694393821E-40
0.0011400000000000002,-2.6437398039517884E-39
0.0011500000000000002,-5.297570372912328E-39
0.00116,-7.587372616806675E-39
0.00117,-8.935100816789426E-39
0.00118,-1.0055707333163509E-38
0.00119,-1.0949192165928927E-38
0.0012000000000000001,-1.1615555315085677E-38
0.0012100000000000001,-1.2054796780633756E-38
0.0012200000000000002,-1.194786734441063E-38
0.0012300000000000002,-1.1211158506053803E-38
0.00124,-1.0066038610546596E-38
0.00125,-8.512507657888966E-39
0.00126,-6.550565648080926E-39
0.00127,-4.180212581122478E-39
0.00128,-2.30889904445895E-39
0.0012900000000000001,-7.882255480112533E-40
0.0013000000000000002,7.360459317111129E-40
0.0013100000000000002,2.2639153947081503E-39
0.0013200000000000002,3.795382840979856E-39
0.00133,5.3304482705261976E-39
0.00134,6.869111683347245E-39
0.00135,8.411373079442963E-39
0.00136,9.262559104705755E-39
0.0013700000000000001,9.742761720124159E-39
0.0013800000000000002,1.0022265582520243E-38
0.0013900000000000002,1.0101070691894016E-38
0.0014000000000000002,9.979177048245471E-39
0.00141,9.656584651574617E-39
0.00142,9.133293501881444E-39
0.00143,8.409303599165956E-39
0.00144,7.588041094588725E-39
0.0014500000000000001,6.605111544739989E-39
0.0014600000000000001,5.4481992427404023E-39
0.0014700000000000002,4.117304188589969E-39
0.0014800000000000002,2.612426382288685E-39
0.0014900000000000002,9.335658238365539E-40
0.0015,-9.192774867663842E-40
0.00151,-2.94610354952021E-39
0.00152,-3.959556644786901E-39
