% Model,2D_straight.mph
% Version,COMSOL 6.3.0.290
% Date,"Jun 15 2025, 15:46"
% Table,Table 1 - Concentration Turn
% Time (s),"Molar concentration, c (mol/m^3)"
0,0
0.001,0
0.002,0
0.003,0
0.004,2.388254167974561E-304
0.005,4.973054236489646E-292
0.006,1.6208272010219647E-279
0.007,3.5388007493059538E-267
0.008,5.523417360426479E-156
0.009000000000000001,4.8908839456841095E-149
0.01,9.33564672468768E-142
0.011,9.852033516761641E-135
0.012,1.0840932260753907E-127
0.013000000000000001,1.1033441000394166E-120
0.014,1.5092010263831166E-75
0.015,8.727189290272244E-72
0.016,1.102522640315377E-67
0.017,7.995254836933091E-64
0.018000000000000002,6.120038664582255E-60
0.019,3.10230234350222E-56
0.02,9.696843121445637E-53
0.021,2.2778171556587553E-49
0.022,2.8825255036164155E-46
0.023,3.1603196657511044E-43
0.024,1.8578132833026737E-40
0.025,8.670835758334257E-29
0.026000000000000002,1.3065136929847298E-26
0.027,1.636111099140634E-24
0.028,1.530243502682414E-22
0.029,1.042867843915769E-20
0.03,5.262806949330294E-19
0.031,2.0211826542007496E-17
0.032,6.070442377481212E-16
0.033,1.4603759975151365E-14
0.034,2.8716912665978276E-13
0.035,4.694530234216661E-12
0.036000000000000004,6.471158913106563E-11
0.037,7.613339022451384E-10
0.038,7.729847296626066E-9
0.039,6.837088318336333E-8
0.04,1.0177237893911158E-6
0.041,1.3944808557892004E-5
0.042,9.818622159741418E-5
0.043000000000000003,5.359648056560568E-4
0.044,0.002405200336078417
0.045,0.009211095255533642
0.046,0.030847757370500273
0.047,0.09190616517175507
0.048,0.24671141253717344
0.049,0.6025575324244831
0.05,1.3503430780568582
0.051000000000000004,2.8066068761539094
0.052000000000000005,5.392313918677447
0.053,9.633007225953108
0.054,16.08377901841598
0.055,25.219928308401396
0.056,37.314476557927804
0.057,52.196593155225656
0.058,69.54724088498483
0.059000000000000004,88.79344475932565
0.06,109.8334768134351
0.061,131.81856511685328
0.062,154.89744226088874
0.063,178.55808695428678
0.064,202.94295349161547
0.065,227.93710249548784
0.066,253.5804763601956
0.067,279.8700280556462
0.068,306.72920859588567
0.069,334.10921926381826
0.07,361.57252078913547
0.07100000000000001,389.0749427248689
0.07200000000000001,416.68653122049284
0.073,444.32072811298565
0.074,471.38261064756017
0.075,498.2434052596637
0.076,524.9031119492972
0.077,551.0295491840363
0.078,576.3638109844603
0.079,601.1693317776802
0.08,625.4461115636947
0.081,648.8012868010646
0.082,671.3551950666431
0.083,693.1698051340594
0.084,714.2066034226063
0.085,734.2528138308995
0.08600000000000001,753.443918154578
0.08700000000000001,771.7799163936407
0.088,789.2201489451053
0.089,805.7384993418451
0.09,821.3639774918004
0.091,836.0965833949712
0.092,849.9925574147316
0.093,863.0319145298055
0.094,875.2074215567216
0.095,886.5818006736519
0.096,897.4396965255472
0.097,907.5958723044486
0.098,917.0503280103601
0.099,925.8030636432771
0.1,933.8540792032012
0.101,941.2033746901335
0.10200000000000001,947.8509501040716
0.10300000000000001,954.2861215992772
0.10400000000000001,960.2101334295513
0.105,965.5672450609596
0.106,970.3574564935017
0.107,974.5807677271774
0.108,978.2371787619862
0.109,981.5255385060709
0.11,984.8327934209012
0.111,987.764840686871
0.112,990.3216803039821
0.113,992.5033122722334
0.114,994.3097365916244
0.115,995.7409532621542
0.116,997.1996220828337
0.117,998.5736464269262
0.11800000000000001,999.7261913938786
0.11900000000000001,1000.6572569836895
0.12,1001.3668431963597
0.121,1001.8549500318895
0.122,1002.170727549435
0.123,1002.6457018079069
0.124,1003.0086907628383
0.125,1003.2596944142336
0.126,1003.3987127620907
0.127,1003.4257458064086
0.128,1003.3407935471887
0.129,1003.2767055532053
0.13,1003.2619067364291
0.131,1003.2028661808753
0.132,1003.0995838865454
0.133,1002.9520598534377
0.134,1002.760294081552
0.135,1002.5242865708893
0.136,1002.3751243410317
0.137,1002.2216762649605
0.138,1002.059935786483
0.139,1001.8899029056007
0.14,1001.7115776223113
0.14100000000000001,1001.5249599366166
0.14200000000000002,1001.3776306622974
0.14300000000000002,1001.3046736363017
0.14400000000000002,1001.231716610307
0.145,1001.1587595843126
0.146,1001.0858025583159
0.147,1001.0128455323219
0.148,1000.9398885063257
0.149,1000.8669314803307
0.15,1000.7939744543362
0.151,1000.7210174283413
0.152,1000.6480604023451
0.153,1000.5751033763501
0.154,1000.5021463503547
0.155,1000.4409359467454
0.156,1000.4227540478308
0.157,1000.4045721489148
0.158,1000.3863902499975
0.159,1000.368208351082
0.16,1000.3500264521643
0.161,1000.3318445532493
0.162,1000.3136626543326
0.163,1000.2954807554173
0.164,1000.2772988565009
0.165,1000.2591169575849
0.166,1000.2409350586688
0.167,1000.2227531597518
0.168,1000.204571260836
0.169,1000.1863893619201
0.17,1000.168207463004
0.171,1000.1500255640884
0.17200000000000001,1000.1318436651719
0.17300000000000001,1000.113661766256
0.17400000000000002,1000.0954798673388
0.17500000000000002,1000.0804363768221
0.176,1000.0768890437622
0.177,1000.0733417107018
0.178,1000.069794377642
0.179,1000.066247044582
0.18,1000.0626997115221
0.181,1000.0591523784622
0.182,1000.0556050454014
0.183,1000.0520577123417
0.184,1000.0485103792813
0.185,1000.0449630462214
0.186,1000.0414157131611
0.187,1000.0378683801016
0.188,1000.0343210470419
0.189,1000.0307737139811
0.19,1000.027226380922
0.191,1000.0236790478601
0.192,1000.0201317148005
0.193,1000.0165843817408
0.194,1000.0130370486812
0.195,1000.0100812984255
0.196,1000.0092925475561
0.197,1000.008503796687
0.198,1000.0077150458185
0.199,1000.0069262949482
0.2,1000.0061375440793
