% Model,2D_turn_chemıical_reaction.mph
% Version,COMSOL 6.3.0.290
% Date,"May 25 2025, 11:16"
% Dimension,1
% Nodes,208
% Expressions,4
% Description,Global
% Time (s),Concentration; Concentration; Concentration; Concentration,Concentration; Concentration; Concentration; Concentration,Concentration; Concentration; Concentration; Concentration,Concentration; Concentration; Concentration; Concentration
0,10,10,0,0
2.86102294921875E-12,9.999992264378118,9.999992264378118,7.73562188211459E-6,7.73562188211459E-6
5.7220458984375E-12,9.999984528768204,9.999984528768206,1.5471231796273888E-5,1.5471231796273885E-5
1.1444091796875E-11,9.999969057596248,9.99996905759625,3.094240375297497E-5,3.094240375297497E-5
2.288818359375E-11,9.99993811544382,9.999938115443822,6.188455618153654E-5,6.188455618153654E-5
4.57763671875E-11,9.999876231904889,9.99987623190489,1.2376809511233195E-4,1.2376809511233192E-4
9.1552734375E-11,9.999752467890628,9.99975246789063,2.4753210937288555E-4,2.475321093728855E-4
1.8310546875E-10,9.999504952115675,9.999504952115677,4.950478843239664E-4,4.950478843239665E-4
3.662109375E-10,9.99900996957338,9.999009969573383,9.900304266179253E-4,9.900304266179253E-4
7.32421875E-10,9.998020200465866,9.998020200465868,0.0019797995341309512,0.0019797995341309504
1.46484375E-9,9.996041445732553,9.996041445732555,0.003958554267444356,0.003958554267444354
2.197265625E-9,9.994063474015935,9.994063474015936,0.005936525984063938,0.005936525984063935
2.9296875E-9,9.992086284851359,9.992086284851359,0.0079137151486406,0.007913715148640598
4.39453125E-9,9.988133730895361,9.98813373089536,0.011866269104639872,0.01186626910463987
5.859375E-9,9.984184128756903,9.984184128756901,0.01581587124309808,0.01581587124309807
7.32421875E-9,9.980237590961282,9.980237590961277,0.019762409038718707,0.019762409038718703
1.0253906250000001E-8,9.972353843672224,9.972353843672215,0.027646156327780558,0.02764615632778055
1.3183593750000001E-8,9.964482514485868,9.964482514485855,0.03551748551413721,0.0355174855141372
1.904296875E-8,9.948777026986663,9.948777026986647,0.05122297301334237,0.05122297301334235
3.076171875E-8,9.917513785345406,9.917513785345387,0.08248621465459977,0.08248621465459977
4.130859375E-8,9.889544330946189,9.889544330946167,0.11045566905381862,0.11045566905381862
5.1855468749999997E-8,9.861732175704605,9.861732175704581,0.13826782429540407,0.13826782429540407
6.240234375E-8,9.83407600894994,9.834076008949916,0.16592399105006847,0.16592399105006847
7.294921875E-8,9.806574526212357,9.806574526212334,0.1934254737876537,0.19342547378765376
9.404296875E-8,9.752030939480795,9.752030939480772,0.2479690605192158,0.24796906051921577
1.1513671874999999E-7,9.698091050603598,9.698091050603576,0.3019089493964142,0.30190894939641416
1.3623046875E-7,9.644744690360593,9.644744690360572,0.35525530963942037,0.3552553096394203
1.7841796875E-7,9.53979400085468,9.539794000854656,0.460205999145338,0.46020599914533783
2.2060546875E-7,9.437103003317722,9.4371030033177,0.5628969966822972,0.5628969966822969
2.6279296875E-7,9.336599292599123,9.336599292599102,0.6634007074008961,0.6634007074008954
3.0498046875E-7,9.238213671408582,9.238213671408557,0.7617863285914374,0.7617863285914367
3.4716796875E-7,9.141879885907358,9.141879885907334,0.8581201140926602,0.8581201140926593
4.3154296875E-7,8.955115378903319,8.9551153789033,1.0448846210966933,1.0448846210966924
5.1591796875E-7,8.775828205871356,8.775828205871342,1.2241717941286523,1.224171794128651
6.0029296875E-7,8.603578719061222,8.603578719061206,1.396421280938789,1.3964212809387873
6.846679687500001E-7,8.43796089697557,8.437960896975548,1.5620391030244427,1.562039103024441
7.690429687500001E-7,8.278599053652522,8.278599053652497,1.721400946347492,1.7214009463474897
8.534179687500002E-7,8.125145218776535,8.125145218776508,1.8748547812234782,1.8748547812234764
1.0221679687500002E-6,7.834695127077395,7.834695127077379,2.165304872922618,2.1653048729226176
1.1909179687500003E-6,7.5642950195528735,7.564295019552868,2.43570498044714,2.4357049804471393
1.3596679687500004E-6,7.3119377779525365,7.311937777952529,2.6880622220474804,2.6880622220474786
1.5284179687500005E-6,7.075875086653557,7.075875086653543,2.924124913346462,2.9241249133464606
1.6971679687500005E-6,6.8545776531533145,6.8545776531533,3.1454223468467033,3.1454223468467006
1.8659179687500006E-6,6.64670222120654,6.646702221206526,3.3532977787934803,3.353297778793479
2.0346679687500007E-6,6.451063849207036,6.4510638492070225,3.5489361507929846,3.5489361507929824
2.2034179687500006E-6,6.266612960431333,6.266612960431318,3.7333870395686874,3.7333870395686852
2.3721679687500004E-6,6.092416542874647,6.092416542874633,3.9075834571253703,3.9075834571253685
2.5409179687500003E-6,5.92764254190077,5.927642541900758,4.0723574580992485,4.072357458099246
2.70966796875E-6,5.7715466208550374,5.771546620855024,4.22845337914498,4.228453379144979
3.0471679687500003E-6,5.482788724875417,5.48278872487541,4.517211275124604,4.5172112751246
3.3846679687500005E-6,5.221554190792565,5.221554190792559,4.778445809207456,4.778445809207451
3.7221679687500006E-6,4.984083978827968,4.984083978827961,5.0159160211720515,5.015916021172048
