% Model,COMSOL_3D_CNN_Design_1_1_Phase_1.mph
% Version,COMSOL 6.3.0.290
% Date,"Oct 13 2025, 09:09"
% Table,Table 45 - Concentration Pipe_1
% Time (s),Concentration Pipe_1 (mol/m^3),Concentration Pipe_1 (mol/m^3),Concentration Pipe_1 (mol/m^3)
0,-5.261243314048074E-161,-1.7240994825882917E-160,-9.652213580062494E-161
0.4,1.3825925114645718E-141,9.788791287238472E-138,-2.9816615932418996E-131
0.8,-1.0242185660392314E-84,-1.4567508194688574E-90,-1.796809646403094E-78
1.2000000000000002,-1.5386336432193704E-70,-2.9072943166506123E-57,-3.10753214770718E-65
1.6,5.81328141265825E-45,-4.353825155960544E-48,-8.708144068656982E-54
2,4.09003860036703E-37,1.4994636697307584E-38,5.791562263660244E-35
2.4000000000000004,2.6152682376011585E-30,2.5643917412231957E-31,2.512452602611389E-28
2.8000000000000003,9.61353152423216E-25,2.6854628544181245E-21,6.026510550661048E-23
3.2,3.9528867020514726E-20,1.3122570777236327E-16,1.9097455375275435E-18
3.6,5.825227570853462E-15,5.296280938737028E-13,9.374662865064967E-15
4,2.4009404665470165E-11,3.8030238727196456E-10,1.1347645199150032E-11
4.4,1.1236004447262988E-8,9.415846056114342E-8,1.6328904174971076E-8
4.800000000000001,1.7938289316122938E-6,1.0716023102581651E-5,4.412884358019042E-6
5.2,1.1088753548951414E-4,5.372032199204928E-4,2.8939738163812675E-4
5.6000000000000005,0.0032550771829531,0.013259333844242627,0.007898255010440156
6,0.05042821193626565,0.1755881227550778,0.10959212120248352
6.4,0.4531450529287196,1.337269058339838,0.8576227379120309
6.800000000000001,2.5336732334362826,6.238406049628528,4.180638289342093
7.2,9.328296448103462,18.714500902071897,13.544618506701406
7.6000000000000005,23.809128428690165,38.60027772017931,30.830460545804847
8,44.12899661188729,59.75230864532305,52.27594617489268
8.4,63.840552155869666,74.97631605554103,70.21930503379207
8.8,77.13078566132444,81.98059081545046,80.16822508852317
9.200000000000001,82.88462592750103,83.60013570617019,83.50009102363568
9.600000000000001,83.92900752180351,83.42355681737014,83.72197489427728
10,83.50074732194714,83.17924086805704,83.3001141567029
10.4,83.15740253154335,83.15853860865978,83.12791269222551
10.8,83.1296185692283,83.18278456037558,83.15363454349146
11.200000000000001,83.1756298435712,83.18507864132852,83.18538329814851
11.600000000000001,83.18635619870246,83.18296489303009,83.18602747102975
12,83.18140741583797,83.18291706148264,83.18161000006408
12.4,83.1797297046755,83.18315194269455,83.18125598723086
12.8,83.18033131518202,83.18347061584964,83.18203929707296
13.200000000000001,83.18084396481648,83.18464770908548,83.18289366510457
13.600000000000001,83.18181775685937,83.18830110080394,83.18517652473359
14,83.18475565177532,83.1985853743858,83.19120091557363
14.4,83.19219128625917,83.22131150044244,83.20508855707621
14.8,83.20882094360472,83.2649652839975,83.23313872461964
15.200000000000001,83.24144449274884,83.33697768884144,83.28307163803802
15.600000000000001,83.29785402891709,83.44167909862504,83.36175790379679
16,83.38444128792653,83.57451239444354,83.47194741136985
16.400000000000002,83.50197257282232,83.7226528644751,83.6079923498654
16.8,83.64122048655786,83.86412315311325,83.75498160933195
17.2,83.7843639852814,83.98077606157169,83.89188051026275
17.6,83.91438299621704,84.06047556067935,84.00029050575866
18,84.01509917266694,84.10378652929275,84.07099484939968
18.400000000000002,84.08075797578861,84.11670979284004,84.10544067453691
18.8,84.11244613304625,84.11759068995839,84.11494660081904
19.200000000000003,84.11986983868573,84.11558637240405,84.11542160998236
19.6,84.11880083788031,84.11988859641262,84.11451876859226
20,84.11665611728549,84.1344679681249,84.12002138964277
20.400000000000002,84.12080538810342,84.15982571653976,84.13510072413114
20.8,84.13533219288065,84.19633061824554,84.16049653020845
21.200000000000003,84.16004943214168,84.24323958140604,84.19645205482816
21.6,84.19506459696424,84.29854740498133,84.24195415120931
22,84.23963157946233,84.3584330021157,84.29512143697637
22.400000000000002,84.29184337777986,84.41699417072742,84.35269807750569
22.8,84.3485768210855,84.46838914801762,84.41011587935652
23.200000000000003,84.40562173789786,84.50946932234478,84.46245719796687
23.6,84.45817207535961,84.53937095709536,84.50543706420909
24,84.501705876827,84.55719436745534,84.53623911075627
24.400000000000002,84.53375043040913,84.5633854976531,84.55580856649695
24.8,84.55462628561905,84.56365008535724,84.565149781237
25.200000000000003,84.56467243501945,84.5605446804063,84.56807741819254
25.6,84.56807650378269,84.55587540138418,84.56547660382711
26,84.56558743248122,84.55161386381259,84.56039906481227
26.400000000000002,84.5607272646046,84.5491065291865,84.55586096156694
26.8,84.5556177735755,84.5476536078471,84.55238794872133
27.200000000000003,84.55115556964309,84.54729920953216,84.55095149607999
27.6,84.54861651789273,84.54754049835196,84.54985007979336
28,84.5471455700034,84.5480125005853,84.54975419730846
28.400000000000002,84.54648336517005,84.54899395214055,84.54965831482366
28.8,84.54674242824291,84.54919090840491,84.54956243233877
29.200000000000003,84.54755866199739,84.54938445389739,84.54957006123811
29.6,84.54821626927942,84.54957799938981,84.54961950712399
30,84.54887387656159,84.54977154488238,84.5496689530099
30.400000000000002,84.54936105637623,84.54996509037488,84.54971839889569
30.8,84.5494716623271,84.54999108639804,84.5497678447816
31.200000000000003,84.54958226827809,84.54999637371185,84.54981729066746
31.6,84.54969287422904,84.55000166102583,84.54986673655337
32,84.54980348017986,84.55000694833974,84.54988980379542
32.4,84.54991408613088,84.55001223565355,84.54990116514132
32.800000000000004,84.55002469208176,84.5500175229675,84.54991252648715
33.2,84.55002672564764,84.55002281028142,84.5499238878331
33.6,84.55002668761118,84.5500280975953,84.54993524917892
34,84.55002664957459,84.55003338490923,84.54994661052474
34.4,84.55002661153802,84.55003867222312,84.54995797187067
34.800000000000004,84.55002657350158,84.5500368801176,84.54996933321652
35.2,84.55002653546495,84.55003421301289,84.54998069456238
35.6,84.55002649742845,84.55003154590827,84.54999205590823
36,84.55002645939194,84.55002887880362,84.54999667187529
36.4,84.5500264213554,84.55002621169899,84.54999829448498
36.800000000000004,84.55002638331884,84.55002354459434,84.54999991709482
37.2,84.55002426219939,84.55002087748969,84.55000153970462
37.6,84.55002210133391,84.55001821038503,84.55000316231438
38,84.55001994046845,84.55001554328042,84.5500047849242
38.400000000000006,84.55001777960305,84.55001287617578,84.55000640753393
38.800000000000004,84.55001561873749,84.55001125036348,84.55000803014373
39.2,84.55001345787204,84.55000975325254,84.55000965275349
39.6,84.55001129700655,84.55000825614152,84.55001127536325
40,84.55000913614104,84.55000675903048,84.55001122080094
