A,x27038_m_3_mol_s_,ForwardFrequencyFactorAccountingForTheArrheniusExpression_
angle_turn_1_rad,"pi/3","angle of the turn"
c_CH3COOH_ini,"1[mol/L]","Initial concentration at the inlet of the pipe."
c_CH3COONa_ini,"0","Initial concentration of the reaction product."
c_H2O_ini,"0","Initial concentration of water. It is zero as it is a produce of the reaction."
c_Na,"10[mol/m^3]","concentration of species."
c_NaOH_ini,"1000[mol/m^3]","Initial concentration at the inlet of the chemical chamber in the units of mol/m^3."
D_CH3COOH,"1.22*10^(-5)[cm^2/s]","Diffusion coeff of Acetic Acid in water."
D_CH3COONa,"1.09*10^(-5)[cm^2/s]","Diffusion coeff of Sodium Acid in water."
D_H2O,"2.29*10^(-9)[cm^2/s]","Diffusion coeff of water in water."
d_Na,"358[pm]","Diameter of Sodium"
D_Na,"1.33e-9[m^2/s]","Diffusion coeff of Na in H2O."
D_NaOH,"5.3*10^(-9)[m^2/s]","Diffusion coeff of Sodium Hydroxide in water"
height_pipe,"50[um]","height of pipes"
L_inner,"width_cylinder_in_1+angle_turn_1_rad*r_in_1+width_cylinder_out_1","length of the inner perimeter for the pipe with turn"
L_outer,"width_cylinder_in_1+angle_turn_1_rad*r_out_1+width_cylinder_out_1","length of the outer perimeter for the pipe with turn"
M_Na,"22.99[g/mol]","Molar mass of Sodium"
N_Na,"100","Number of released Sodium ions"
p0,"10*300[Pa]","Pressure level at the inlet"
pulse_duration,"1[ms]","Pulse duration of the concentration at the Inlet 1."
pulse_transition,"0[ms]","Pulse transition of the concentration at the Inlet 1."
Q,"5[ul/min]",
r_in_1,"6[um]","Radius of the circle that defines the turning geometry. See a representation in Fig 3 in ref bicen2013system"
r_out_1,"2*radius_cylinder_1+r_in_1","See Eq. (41) in ref bicen2013system"
radius_cylinder_1,"20[um]","Radius of the cilinder 1"
rho_Na,"M_Na*c_Na","Density of Sodium"
time_delta,"1[ms]","Simulation time step"
time_simul,"5[s]","Simulation duration"
v0,"0.060545[m/s]","Mean velocity at the inlet"
v0_chem_inlet,"v0*2","Mean velocity at the inlet of the chemical chamber"
volume_in_1,"width_cylinder_in_1*pi*radius_cylinder_1^2",
volume_out_1,"width_cylinder_out_1*pi*radius_cylinder_1^2",
volume_total,"volume_in_1+volume_turn+volume_out_1",
