% Model,COMSOL_3D_Pipe_1.mph
% Version,COMSOL 6.3.0.290
% Date,"Sep 29 2025, 10:19"
% Table,Table 20 - 3D_Pipe_1_Outlet_Concentration_Surface_Average
% Time (s),"Molar concentration, c2 (mol/m^3)"
0,-1.3030257817216302E-104
0.01,-5.3181552345940105E-102
0.02,8.713338770886752E-101
0.03,1.0027276024088896E-99
0.04,-1.6561678834708882E-97
0.05,-1.7954759237648988E-93
0.06,-4.2112741774687397E-91
0.07,-1.52258650675345E-88
0.08,3.010357857911232E-63
0.09,1.1829526277509738E-60
0.1,3.454482553776829E-58
0.11,1.8649848554818126E-55
0.12,5.132933751704969E-53
0.13,9.611227149697605E-51
0.14,2.420398907638391E-48
0.15,3.2233440886770754E-46
0.16,2.915635819076398E-44
0.17,1.2269168991648332E-33
0.18,2.845519999086428E-32
0.19,9.366337008026014E-31
0.2,2.4664799342978414E-29
0.21,4.631224738214667E-28
0.22,7.92966742724873E-27
0.23,1.6981127476433418E-25
0.24,2.392840918025043E-24
0.25,2.676103047448279E-23
0.26,3.416441025180677E-22
0.27,3.611490212985772E-21
0.28,3.0580184164131175E-20
0.29,2.387485592577094E-19
0.3,1.92589868385268E-18
0.31,1.2740141746550622E-17
0.32,7.30554805257978E-17
0.33,2.100408280859607E-14
0.34,1.3216470755559174E-13
0.35000000000000003,4.843842141684002E-13
0.36,2.6613389338909943E-12
0.37,1.1361679109497208E-11
0.38,3.833391737930984E-11
0.39,1.2559696351326407E-10
0.4,4.220239334735851E-10
0.41000000000000003,1.2347190762313723E-9
0.42,3.2004553685595388E-9
0.43,9.612667045410478E-9
0.44,2.682729433277034E-8
0.45,6.767426624181179E-8
0.46,1.676505939411841E-7
0.47000000000000003,4.1834261816461243E-7
0.48,9.57149852767196E-7
0.49,2.0423359075701517E-6
0.5,4.4863690366607745E-6
0.51,9.299195036290664E-6
0.52,1.8193588806839288E-5
0.53,3.480032616729991E-5
0.54,6.570093497091953E-5
0.55,1.1814888864930405E-4
0.56,2.0448090734404204E-4
0.5700000000000001,3.515842968908363E-4
0.58,5.835774678320663E-4
0.59,9.567373801670475E-4
0.6,0.0016204304077237967
0.61,0.0025370018335021663
0.62,0.003835624142787441
0.63,0.0056458767160111655
0.64,0.007872029085695703
0.65,0.011004904343156688
0.66,0.014853999350249291
0.67,0.01961605131626379
0.68,0.025549336904883018
0.6900000000000001,0.03249204873466258
0.7000000000000001,0.04086535291121672
0.71,0.050522128054680954
0.72,0.06153904889700405
0.73,0.07404915061035418
0.74,0.08797199330339654
0.75,0.10330889441312956
0.76,0.12005944754232889
0.77,0.138141514253589
0.78,0.1574222762079453
0.79,0.17797951179651708
0.8,0.19944729079807122
0.81,0.2219227430029143
0.8200000000000001,0.24527166620043223
0.8300000000000001,0.2691927614447408
0.84,0.29385740496342205
0.85,0.3188132467639873
0.86,0.34415980567489646
0.87,0.3697923892267929
0.88,0.3953948583186124
0.89,0.42114229525440017
0.9,0.44666338000334793
0.91,0.47202197318950656
0.92,0.4971569099889603
0.93,0.521811431468659
0.9400000000000001,0.546124277328142
0.9500000000000001,0.5698411322535234
0.96,0.592992803038936
0.97,0.6155545674965885
0.98,0.6373556539677026
0.99,0.6584862553726233
1,0.6788187198850067
1.01,0.6983616261565136
1.02,0.7171164011624431
1.03,0.7350176954219171
1.04,0.7520992954538451
1.05,0.7683612012582282
1.06,0.7838034128350658
1.07,0.7984459263847908
1.08,0.8123435180535156
1.09,0.8254503638654949
1.1,0.8377664638207275
1.11,0.8492918179192148
1.12,0.8601705109663492
1.1300000000000001,0.8703737576796369
1.1400000000000001,0.879860363592504
1.1500000000000001,0.8886303287049516
1.16,0.8967396898406186
1.17,0.9044011364023058
