% Model,COMSOL_3D_CNN_Design_1_2.mph
% Version,COMSOL 6.3.0.290
% Date,"Sep 30 2025, 14:46"
% Table,Table 26 - 3D_Pipe_3_Outlet_Concentration_Surface_Average
% Time (s),"Molar concentration, c2 (mol/m^3)"
0,5.9591198764151414E-120
0.1,-2.8919027775020022E-117
0.2,-1.5818086163320168E-111
0.30000000000000004,3.564488218765235E-79
0.4,1.7024723615405747E-72
0.5,-1.4477555063226763E-48
0.6000000000000001,-7.015211402622247E-45
0.7000000000000001,-2.0211078818781578E-41
0.8,-5.402356549317219E-38
0.9,-2.7264280753347198E-28
1,-3.572611698242292E-26
1.1,-3.316240054169076E-24
1.2000000000000002,-2.0093765169774884E-22
1.3,-8.008181685063152E-21
1.4000000000000001,-2.217523965553018E-19
1.5,-4.641307936343345E-18
1.6,-8.443554691043157E-17
1.7000000000000002,-1.1791996951711763E-15
1.8,-1.3014706286204138E-14
1.9000000000000001,-1.1635566167442398E-13
2,-8.649915528756184E-13
2.1,-8.79226747341296E-12
2.2,1.3995362052167514E-10
2.3000000000000003,1.9750343781636305E-9
2.4000000000000004,1.2177661701200707E-8
2.5,5.5912400829322064E-8
2.6,2.196740408307383E-7
2.7,7.625418050028508E-7
2.8000000000000003,2.376440916035591E-6
2.9000000000000004,6.730311754782178E-6
3,1.7490876855472912E-5
3.1,4.202724183055948E-5
3.2,9.398419728929982E-5
3.3000000000000003,1.966211381073337E-4
3.4000000000000004,3.8640290553799863E-4
3.5,7.173095379821673E-4
3.6,0.0012628812162058273
3.7,0.002116329349668051
3.8000000000000003,0.003393167016300794
3.9000000000000004,0.005220467018063993
4,0.00774052760777248
4.1000000000000005,0.011079514876293398
4.2,0.015305650848044465
4.3,0.020431426760571077
4.4,0.026406188111160626
4.5,0.03309601778414133
4.6000000000000005,0.040303885945766796
4.7,0.047805294023847145
4.800000000000001,0.05535160964604806
4.9,0.06268248325551487
5,0.06955856143442263
5.1000000000000005,0.07576337225605663
5.2,0.08117740709516079
5.300000000000001,0.08576825537627082
5.4,0.08949776066987715
5.5,0.09244312147595292
5.6000000000000005,0.09461932408516237
5.7,0.09619195518805973
5.800000000000001,0.09717815529015786
5.9,0.097731592837036
6,0.0979547187805777
6.1000000000000005,0.09794363091178494
6.2,0.09785775688130949
6.300000000000001,0.09768993473198363
6.4,0.09754314138499157
6.5,0.09739897707677239
6.6000000000000005,0.097290320417499
6.7,0.09721103649136177
6.800000000000001,0.09716411963180357
6.9,0.0971391758377192
7,0.09713536713221152
7.1000000000000005,0.097139056659193
7.2,0.09715003591352157
7.300000000000001,0.09716105545854761
7.4,0.09717116612017242
7.5,0.09717908511094883
7.6000000000000005,0.0971841952067104
7.7,0.09718698725511578
7.800000000000001,0.09718802648601219
7.9,0.09718782139310621
8,0.0971872621445902
8.1,0.09718650719801657
8.200000000000001,0.09718568050296579
8.3,0.09718510374871721
8.4,0.09718467775337164
8.5,0.09718446316265199
8.6,0.09718433317157413
8.700000000000001,0.09718417529024717
8.8,0.0971841227032482
8.9,0.0971841839069893
9,0.09718431981161514
9.1,0.09718449175190239
9.200000000000001,0.09718456000619166
9.3,0.09718457539385558
9.4,0.09718453934812514
9.5,0.0971844784737936
9.600000000000001,0.09718439502544371
9.700000000000001,0.09718430713280683
9.8,0.09718422301960036
9.9,0.09718417873021372
10,0.09718414284148445
10.100000000000001,0.09718410270331125
10.200000000000001,0.09718405075316637
10.3,0.09718397540891963
10.4,0.09718376638978707
10.5,0.09718361399714194
10.600000000000001,0.09718384161832565
10.700000000000001,0.09718398795399726
10.8,0.0971838701402344
10.9,0.09718397458499617
11,0.09718425240663753
11.100000000000001,0.09718472281473887
11.200000000000001,0.09718573412831855
11.3,0.09718790692078899
11.4,0.0971907780870732
11.5,0.09719425866989054
11.600000000000001,0.0972003257880293
11.700000000000001,0.0972088195704092
11.8,0.09722099221026317
11.9,0.09723806288550407
12,0.09726237773390513
12.100000000000001,0.0972964826405339
12.200000000000001,0.0973413906283419
12.3,0.09740318156563123
12.4,0.09748678913294068
12.5,0.09762026143649873
12.600000000000001,0.0977942063394561
12.700000000000001,0.09800862384181239
12.8,0.09832247283927782
12.9,0.09872430988299646
13,0.09920181046524057
13.100000000000001,0.09979855074594088
13.200000000000001,0.10061931555885903
13.3,0.1015911488547837
13.4,0.1027140506337149
13.5,0.10420733899075715
13.600000000000001,0.1060108584983115
13.700000000000001,0.10808892240795248
13.8,0.11055621076906741
13.9,0.11363274814337211
14,0.11715767178345192
14.100000000000001,0.12113098168930705
14.200000000000001,0.12596345690966296
14.3,0.1315124570514239
14.4,0.13772850915399176
14.5,0.14478838533371705
14.600000000000001,0.1529629543427685
14.700000000000001,0.16204248128068166
14.8,0.17202696614745686
14.9,0.18333987547882155
15,0.19580592877047617
15.100000000000001,0.2093905413056905
15.200000000000001,0.2242034233360986
15.3,0.24037818374800973
15.4,0.25780401089733335
15.5,0.27648090478406995
15.600000000000001,0.2964093548240312
15.700000000000001,0.31758912849768406
15.8,0.3400202033015842
15.9,0.36354763890882186
16,0.3880231896528034
16.1,0.4135806050343204
16.2,0.4402198850533711
16.3,0.4671927394001397
16.400000000000002,0.4948968385119837
16.5,0.5233419094460312
16.6,0.5520508393282381
16.7,0.5806721987129316
16.8,0.6095586082125032
16.900000000000002,0.638688296687881
17,0.6668884152476211
17.1,0.6948161246673211
17.2,0.7224714249469786
17.3,0.7492923009065592
17.400000000000002,0.7749706239123287
17.5,0.799861932716037
17.6,0.8239212506080577
17.7,0.8463064214524648
17.8,0.8674998104132482
