% Model,COMSOL_3D_Pipe_1.mph
% Version,COMSOL 6.3.0.290
% Date,"Sep 28 2025, 14:32"
% Table,Table 3 - 3D_Concentration_Line_Average
% Time (s),"Molar concentration, c2 (mol/m^3)"
0,0
0.01,0
0.02,0
0.03,4.717243061885147E-231
0.04,2.0374593271996936E-220
0.05,8.19020639888468E-210
0.06,7.109210708738018E-132
0.07,2.761118499523799E-123
0.08,2.7274630930605194E-116
0.09,1.035773395492357E-110
0.1,4.690681096704603E-105
0.11,7.787682930842114E-100
0.12,5.1244717751435065E-95
0.13,1.3174880093277805E-90
0.14,2.2276882193031833E-86
0.15,3.0551876173534005E-82
0.16,2.346121806685816E-78
0.17,1.0333118566556745E-74
0.18,2.5773934655600326E-71
0.19,6.404878092208021E-68
0.2,3.578159318394797E-53
0.21,7.682001112536788E-49
0.22,1.2753491495790036E-45
0.23,6.377700167504264E-43
0.24,2.9760727955704233E-40
0.25,6.820103462874828E-38
0.26,9.15697475831571E-36
0.27,7.979440003531077E-34
0.28,4.888885781097002E-32
0.29,2.2174460897481374E-30
0.3,7.772700748033688E-29
0.31,2.1727211560461667E-27
0.32,4.988912337629644E-26
0.33,1.1081066429271164E-24
0.34,2.0347032967558156E-23
0.35000000000000003,3.1795932192629E-22
0.36,4.2784977967023634E-21
0.37,5.0127713799672383E-20
0.38,5.156400275614297E-19
0.39,4.692149387248842E-18
0.4,3.804734670855625E-17
0.41000000000000003,2.7657410087189924E-16
0.42,1.8498470056377645E-15
0.43,1.120730406691304E-14
0.44,6.099383230323723E-14
0.45,2.991726012749528E-13
0.46,1.3263260490312429E-12
0.47000000000000003,5.327397305260226E-12
0.48,1.9427640473546104E-11
0.49,6.441616677283193E-11
0.5,1.9434586558343938E-10
0.51,5.344427971814693E-10
0.52,1.3389613471276247E-9
0.53,3.060485717030585E-9
0.54,6.517898877988177E-9
0.55,1.369554359359554E-8
0.56,3.1592902220676295E-8
0.5700000000000001,8.658837296500908E-8
0.58,2.5999785430811305E-7
0.59,7.61933834970646E-7
0.6,2.108385987235033E-6
0.61,5.5367859332090644E-6
0.62,1.373971729465564E-5
0.63,3.227262915713176E-5
0.64,7.186912591400858E-5
0.65,1.5198138567604327E-4
0.66,3.0567206907055954E-4
0.67,5.856285396876449E-4
0.68,0.0010705365303412143
0.6900000000000001,0.0018704153370510982
0.7000000000000001,0.0031303550986657726
0.71,0.005025958094898469
0.72,0.007757743401603672
0.73,0.011539615720318615
0.74,0.01658414212304874
0.75,0.023087971164537258
0.76,0.03122041216895834
0.77,0.04111586274398077
0.78,0.052869825290764214
0.79,0.06653667603186694
0.8,0.0821295462062967
0.81,0.09962252738968508
0.8200000000000001,0.11895213735087132
0.8300000000000001,0.1400193497074002
0.84,0.162695398023044
0.85,0.1868393953640117
0.86,0.21232223887751667
0.87,0.23900682623373495
0.88,0.26670334968454384
0.89,0.29526727851929224
0.9,0.3245414740339126
0.91,0.35436072211588154
0.92,0.38452249927451726
0.93,0.41479761572456236
0.9400000000000001,0.4450800647793536
0.9500000000000001,0.475246134876135
0.96,0.504996832931499
0.97,0.5341688251168645
0.98,0.5627042529877767
0.99,0.5905220506686096
1,0.6175146730978301
1.01,0.6429916778612679
1.02,0.6663510736071019
1.03,0.6894016234058716
1.04,0.7108892619943967
1.05,0.7316058747568875
1.06,0.7510233812600704
1.07,0.7694039218832358
1.08,0.7869139858754249
1.09,0.8033276513927021
1.1,0.8189987200242653
1.11,0.8331554550590602
1.12,0.8468847278994499
1.1300000000000001,0.859057795231213
1.1400000000000001,0.8709177637689354
1.1500000000000001,0.8800197921720585
1.16,0.8891218205751811
1.17,0.8982238489783045
1.18,0.9073258773814268
1.19,0.9142625829669707
1.2,0.9208896019414279
1.21,0.9275166209158853
1.22,0.9340317457640486
1.23,0.9390717225319692
1.24,0.9441116992998898
1.25,0.94915167606781
1.26,0.953830195665102
1.27,0.9575120005357763
1.28,0.9611938054064508
1.29,0.964875610277125
1.3,0.9683546920082344
1.31,0.9714470524470654
1.32,0.9743335977032604
1.33,0.9770143277768183
1.34,0.979489242667739
1.35,0.9817583423760233
1.36,0.9838216269016704
1.37,0.9856790962446812
1.3800000000000001,0.9874956330763381
1.3900000000000001,0.9891770921369637
1.4000000000000001,0.9906984218810033
1.41,0.9920596223084598
1.42,0.9932606934193313
1.43,0.9943016352136189
1.44,0.9951824476913219
1.45,0.9959887906729699
1.46,0.996955557788726
1.47,0.9978514996078099
1.48,0.9986766161302224
1.49,0.999430907355963
1.5,1.0001143732850324
1.51,1.0007270139174294
1.52,1.0012688292531549
1.53,1.0017398192922082
1.54,1.0021399840345904
1.55,1.0024693234802997
1.56,1.0027278376293387
1.57,1.0029155264817053
1.58,1.0030323900374003
1.59,1.0030784282964231
1.6,1.0030519072974269
1.61,1.0029279744880555
1.62,1.0028040416786843
1.6300000000000001,1.002680108869313
1.6400000000000001,1.002556176059942
1.6500000000000001,1.0024322432505703
1.6600000000000001,1.0023083104411994
1.67,1.0021843776318287
1.68,1.0020604448224575
1.69,1.0019365120130865
1.7,1.0018125792037147
1.71,1.0016886463943442
1.72,1.001564713584973
1.73,1.0014407807756016
1.74,1.0013168479662304
1.75,1.0011929151568597
1.76,1.0011285147211482
1.77,1.0010781396690698
1.78,1.001027764616991
1.79,1.0009773895649126
1.8,1.0009270145128342
1.81,1.0008766394607551
1.82,1.0008262644086772
1.83,1.0007758893565986
1.84,1.0007255143045202
1.85,1.0006751392524413
1.86,1.0006247642003634
1.87,1.0005743891482846
1.8800000000000001,1.0005240140962057
1.8900000000000001,1.0004736390441273
1.9000000000000001,1.0004232639920487
1.9100000000000001,1.0003954974889393
1.92,1.000383322279057
1.93,1.0003711470691743
1.94,1.000358971859292
1.95,1.0003467966494095
1.96,1.0003346214395272
1.97,1.000322446229645
1.98,1.0003102710197627
1.99,1.0002980958098804
2,1.0002859205999977
