% Model,COMSOL_3D_CNN_Design_1_1_Phase_1.mph
% Version,COMSOL 6.3.0.290
% Date,"Oct 9 2025, 16:35"
% Table,Table 33 - 3D_Pipe_3_Outlet_Concentration_Surface_Average
% Time (s),Concentration Pipe_3 (mol/m^3)
0,3.15706380043311E-140
0.2,1.9172081255017452E-137
0.4,-3.6857635172625416E-115
0.6000000000000001,-3.431252853313132E-103
0.8,-1.6128656346471914E-68
1,-3.213373302288597E-64
1.2000000000000002,-5.627400129637282E-60
1.4000000000000001,-5.461289005789382E-56
1.6,-2.32918009246366E-52
1.8,-4.428738122595336E-49
2,1.3988176937880107E-38
2.2,2.8146616602626038E-36
2.4000000000000004,5.264637586661822E-34
2.6,4.771683769538797E-32
2.8000000000000003,1.6286914234475386E-30
3,-7.355136525509239E-29
3.2,-1.1417095904722667E-26
3.4000000000000004,-6.757033927475643E-25
3.6,-2.5949778205405828E-23
3.8000000000000003,-7.28161201858401E-22
4,-1.5913602919167576E-20
4.2,-2.9075116879873435E-19
4.4,-4.130149577185528E-18
4.6000000000000005,-4.627189526510986E-17
4.800000000000001,-4.066233966496961E-16
5,-2.677702017758549E-15
5.2,3.0372629715881034E-13
5.4,5.5083201709063876E-12
5.6000000000000005,1.31092962324679E-10
5.800000000000001,1.4850191694852217E-9
6,9.242787367845055E-9
6.2,4.3463566847839037E-8
6.4,1.7531480116436783E-7
6.6000000000000005,6.385177965913937E-7
6.800000000000001,2.1796802643383897E-6
7,6.689147072115229E-6
7.2,1.870815347043352E-5
7.4,4.8161617437173196E-5
7.6000000000000005,1.1498417615563552E-4
7.800000000000001,2.578373607825119E-4
8,5.44735175793679E-4
8.200000000000001,0.0010788949289417733
8.4,0.002011556400919149
8.6,0.0035417577382679845
8.8,0.005906174188862657
9,0.009361088228936726
9.200000000000001,0.014111028914448749
9.4,0.02026114578994001
9.600000000000001,0.02777251591589114
9.8,0.0364243204056109
10,0.04580054083598174
10.200000000000001,0.055305389346439054
10.4,0.06434027712041322
10.600000000000001,0.07233657409593025
10.8,0.07885804221796433
11,0.08366844917876017
11.200000000000001,0.08677012688679561
11.4,0.08842073453100761
11.600000000000001,0.0889508129039764
11.8,0.08877632116577122
12,0.08835104748339263
12.200000000000001,0.08790670528809474
12.4,0.08752943549176596
12.600000000000001,0.0872361501055575
12.8,0.08709043078754927
13,0.08704308848531121
13.200000000000001,0.0870758947769208
13.4,0.08713737138364834
13.600000000000001,0.08720464087152227
13.8,0.08726158522713284
14,0.08729361922127522
14.200000000000001,0.08730776791095714
14.4,0.08730599529694126
14.600000000000001,0.08729891741903198
14.8,0.08728890632786417
15,0.08728030782281214
15.200000000000001,0.08727531184058383
15.4,0.08727294280200758
15.600000000000001,0.08727309196132381
15.8,0.08727399520595476
16,0.08727547913031163
16.2,0.08727666769753327
16.400000000000002,0.08727734759014069
16.6,0.08727761918521826
16.8,0.08727757125896207
17,0.08727742054879008
17.2,0.08727721677163568
17.400000000000002,0.08727707824164338
17.6,0.08727699853264087
17.8,0.08727697791465433
18,0.08727698883649561
18.2,0.08727701292725623
18.400000000000002,0.08727703832304994
18.6,0.0872770528858069
18.8,0.08727706011782337
19,0.08727705994745633
19.200000000000003,0.08727705750701838
19.400000000000002,0.0872770538478258
19.6,0.08727705103085753
19.8,0.08727705008058308
20,0.08727705074565427
20.200000000000003,0.08727705323392677
20.400000000000002,0.08727705951394711
20.6,0.08727707121161996
20.8,0.08727709177015625
21,0.0872771320329248
21.200000000000003,0.08727720000172576
21.400000000000002,0.08727731606976542
21.6,0.08727752617163638
21.8,0.0872778643132507
22,0.08727842457829806
22.200000000000003,0.08727936294884352
22.400000000000002,0.08728081268425891
22.6,0.08728316054624043
22.8,0.08728690617587712
23,0.08729252906697195
23.200000000000003,0.08730139291666565
23.400000000000002,0.08731482824547815
23.6,0.08733438909057012
23.8,0.0873644118778782
24,0.08740798532640479
24.200000000000003,0.08746966028744438
24.400000000000002,0.08756143869877737
24.6,0.08768966112306942
24.8,0.08786669956838151
25,0.0881212210163026
25.200000000000003,0.08849069598512817
25.400000000000002,0.08905373142612108
25.6,0.08978429315959864
25.8,0.09075910599802224
26,0.09210215580659872
26.200000000000003,0.09372728182002417
26.400000000000002,0.09588763830373379
26.6,0.09867569799967915
26.8,0.10198471357950877
27,0.10633477564750256
27.200000000000003,0.11159733425297567
27.400000000000002,0.11777409351561371
27.6,0.12557344486865915
27.8,0.13464479025789924
28,0.14522876730371598
28.200000000000003,0.15785768070417963
28.400000000000002,0.17221496585370769
28.6,0.18869009780939255
28.8,0.20749620521094927
29,0.22843412854576978
29.200000000000003,0.2518378438329463
29.400000000000002,0.2776562982528301
29.6,0.3058306444496547
29.8,0.3362524550189728
30,0.36897397340148114
30.200000000000003,0.40380470001481084
30.400000000000002,0.4401983739467345
30.6,0.478465100461185
30.8,0.517907851653618
31,0.5579959071136941
31.200000000000003,0.599158824526499
31.400000000000002,0.6399488173732253
31.6,0.6804340835521617
31.8,0.7209163463538167
32,0.7592229796105118
32.2,0.7963749858522835
32.4,0.8319940780019481
32.6,0.8646515588299969
32.800000000000004,0.8951264002375974
33,0.9228830619973435
33.2,0.9473767109495281
33.4,0.9690041192451954
33.6,0.987474883566809
33.800000000000004,1.0027679883824236
34,1.0149635537320585
34.2,1.0254463643778982
34.4,1.0336509188150913
34.6,1.0395340071834689
34.800000000000004,1.0430956294830314
35,1.0443357857137783
35.2,1.0443586709308905
35.4,1.0441036623754096
35.6,1.042378585630114
35.800000000000004,1.039183440695005
36,1.0345182275700806
36.2,1.029790553976013
36.4,1.0260370723243533
36.6,1.0219301464568467
36.800000000000004,1.0174697763734928
37,1.0126559620742923
37.2,1.00904320207934
37.4,1.006942996735799
37.6,1.0048427913922584
37.800000000000004,1.002742586048718
38,1.0006423807051774
38.2,0.9993779298898925
38.400000000000006,0.9988818090254067
38.6,0.9983856881609208
38.800000000000004,0.9978895672964353
39,0.9973934464319495
39.2,0.9972418539171687
39.400000000000006,0.9973726077580565
39.6,0.9975033615989448
39.800000000000004,0.9976341154398335
40,0.9977648692807211
