% Model,COMSOL_3D_Pipe_1.mph
% Version,COMSOL 6.3.0.290
% Date,"Sep 28 2025, 15:10"
% Table,Table 2 - 3D_Concentration_Surface_Average
% Time (s),"Molar concentration, c2 (mol/m^3)"
0,0
0.01,0
0.02,0
0.03,2.0450961494671946E-231
0.04,8.807452261545061E-221
0.05,3.5141606191453615E-210
0.06,3.797301101705948E-132
0.07,1.4040374335017481E-123
0.08,1.3566925939959036E-116
0.09,5.1777178182361344E-111
0.1,2.2873507606926937E-105
0.11,3.7131559205015343E-100
0.12,2.3964782270934493E-95
0.13,6.063313228357571E-91
0.14,1.0108168840536446E-86
0.15,1.36513922597005E-82
0.16,1.035158632828742E-78
0.17,4.509457388165276E-75
0.18,1.1147111309516107E-71
0.19,2.745787286265433E-68
0.2,2.3488644427884317E-53
0.21,4.547858606481436E-49
0.22,7.11088317529731E-46
0.23,3.4296962586132938E-43
0.24,1.5378527765390842E-40
0.25,3.419293243400856E-38
0.26,4.482117645756501E-36
0.27,3.835679077671657E-34
0.28,2.3137565441971522E-32
0.29,1.0363765784295045E-30
0.3,3.5940593911168937E-29
0.31,9.96331502205061E-28
0.32,2.2712896510025813E-26
0.33,4.975223816250312E-25
0.34,9.13688771650166E-24
0.35000000000000003,1.4246052532395515E-22
0.36,1.912549462180925E-21
0.37,2.2357285423912667E-20
0.38,2.2962175894124623E-19
0.39,2.0879132403533924E-18
0.4,1.6926932664411585E-17
0.41000000000000003,1.2309916844614034E-16
0.42,8.243432891695072E-16
0.43,5.003572304252041E-15
0.44,2.729136376906724E-14
0.45,1.342276033895855E-13
0.46,5.970697230646621E-13
0.47000000000000003,2.4080748893144217E-12
0.48,8.824181835658629E-12
0.49,2.942371447374495E-11
0.5,8.936933870991443E-11
0.51,2.4788017081378986E-10
0.52,6.290327855662758E-10
0.53,1.4708865032786096E-9
0.54,3.2672939205837412E-9
0.55,7.3679700282192754E-9
0.56,1.8759017933844075E-8
0.5700000000000001,5.57626571048322E-8
0.58,1.7188470135979612E-7
0.59,5.074483507542998E-7
0.6,1.4140153189171739E-6
0.61,3.739891758970283E-6
0.62,9.350012616468913E-6
0.63,2.213378435311313E-5
0.64,4.9693662410296266E-5
0.65,1.059837187169163E-4
0.66,2.1505350976258375E-4
0.67,4.158230061836808E-4
0.68,7.674244104341586E-4
0.6900000000000001,0.0013541712186712837
0.7000000000000001,0.0022896553537299883
0.71,0.0037148906793595753
0.72,0.00579570659400601
0.73,0.008714863991384634
0.74,0.012660869763297859
0.75,0.017817173805331484
0.76,0.0243508181292097
0.77,0.03240513457366538
0.78,0.04209602257605408
0.79,0.05350691103878926
0.8,0.06668707555901845
0.81,0.0816528150649111
0.8200000000000001,0.09838631979797792
0.8300000000000001,0.11683637230004905
0.84,0.13692417112029448
0.85,0.15855174447622142
0.86,0.18161560327112125
0.87,0.2060105337503736
0.88,0.23161213698820352
0.89,0.258269414953015
0.9,0.28585215459062113
0.91,0.3141950835283516
0.92,0.3430906395000295
0.93,0.3723839685314098
0.9400000000000001,0.4019399796677135
0.9500000000000001,0.43150732878755016
0.96,0.4609661310840745
0.97,0.4901193195847574
0.98,0.518883997310315
0.99,0.5471320646051604
1,0.5746632592257324
1.01,0.6013847469894752
1.02,0.6260157750130005
1.03,0.6502072615655532
1.04,0.6729467975574589
1.05,0.6949700475741636
1.06,0.7157746840926901
1.07,0.735606605246722
1.08,0.7544844572739918
1.09,0.772160622893699
1.1,0.7891550081003241
1.11,0.8047590791203251
1.12,0.819942956204378
1.1300000000000001,0.8335970883744424
1.1400000000000001,0.8469128259785538
1.1500000000000001,0.8572478048811536
1.16,0.8675827837837532
1.17,0.877917762686352
1.18,0.8882527415889528
1.19,0.896465869134545
1.2,0.9043755274003397
1.21,0.9122851856661348
1.22,0.9200565873052655
1.23,0.9260052927568424
1.24,0.9319539982084194
1.25,0.937902703659997
1.26,0.9434344175645737
1.27,0.9478162812253506
1.28,0.9521981448861289
1.29,0.9565800085469063
1.3,0.9607433755882854
1.31,0.9644899313312915
1.32,0.9680146578261732
1.33,0.9713175550729297
1.34,0.9743986230715622
1.35,0.9772578618220699
1.36,0.9798952713244546
1.37,0.9823108515787135
1.3800000000000001,0.9845788845541014
1.3900000000000001,0.9866569564831159
1.4000000000000001,0.9885337812911095
1.41,0.990209358978082
1.42,0.9916836895440313
1.43,0.9929567729889596
1.44,0.9940286093128662
1.45,0.9950071913594846
1.46,0.9961886536635183
1.47,0.9972814559965811
1.48,0.998285598358668
1.49,0.9992010807497818
1.5,1.0000279031699222
1.51,1.0007660656190878
1.52,1.001415568097281
1.53,1.0019764106044982
1.54,1.0024485931407432
1.55,1.0028321157060154
1.56,1.0031269783003125
1.57,1.0033331809236352
1.58,1.0034507235759853
1.59,1.0034796062573619
1.6,1.0034191574802946
1.61,1.0032911898891157
1.62,1.0031632222979379
1.6300000000000001,1.0030352547067583
1.6400000000000001,1.00290728711558
1.6500000000000001,1.0027793195244008
1.6600000000000001,1.0026513519332223
1.67,1.0025233843420436
1.68,1.0023954167508644
1.69,1.002267449159686
1.7,1.0021394815685083
1.71,1.0020115139773282
1.72,1.0018835463861493
1.73,1.001755578794972
1.74,1.001627611203792
1.75,1.0014996436126138
1.76,1.0014259627043691
1.77,1.001365071334111
1.78,1.001304179963852
1.79,1.0012432885935938
1.8,1.001182397223334
1.81,1.0011215058530762
1.82,1.0010606144828158
1.83,1.0009997231125574
1.84,1.0009388317422994
1.85,1.00087794037204
1.86,1.0008170490017807
1.87,1.0007561576315234
1.8800000000000001,1.0006952662612645
1.8900000000000001,1.0006343748910054
1.9000000000000001,1.0005734835207476
1.9100000000000001,1.000536695299001
1.92,1.0005165290752727
1.93,1.0004963628515453
1.94,1.0004761966278175
1.95,1.0004560304040908
1.96,1.000435864180364
1.97,1.0004156979566359
1.98,1.0003955317329085
1.99,1.0003753655091814
2,1.0003551992854536
