% Model,COMSOL_3D_CNN_Design_3_1_Phase_1.mph
% Version,COMSOL 6.3.0.420
% Date,"Dec 6 2025, 16:19"
% Table,Table 4 - Concentration_Outlet_Pipe_1
% Time (s),Concentration_Outlet_Pipe_1_2_3 (mol/m^3),Concentration_Outlet_Pipe_1_2_3 (mol/m^3),Concentration_Outlet_Pipe_1_2_3 (mol/m^3),Concentration_Outlet_Pipe_1_2_3 (mol/m^3),Concentration_Outlet_Pipe_1_2_3 (mol/m^3),Concentration_Outlet_Pipe_1_2_3 (mol/m^3),Concentration_Outlet_Pipe_1_2_3 (mol/m^3)
0,1.399867223991621E-175,-7.862725186357315E-176,1.5486343146052576E-178,8.15188966798399E-180,-1.1913065498469997E-185,3.3238703440871516E-188,-2.3634130820285417E-189
0.05,2.1679514037159785E-47,6.323972549349956E-54,1.0872638441281751E-53,9.24931376568429E-28,5.663050890290789E-38,-3.847025083824712E-90,2.8336417267374745E-51
0.1,3.641068203436317E-21,2.524600304803185E-23,1.3122183332517672E-23,3.3947565651844563E-17,1.0441290396348023E-22,2.3986377950082036E-39,3.4212904490880124E-30
0.15000000000000002,1.0846912199789693E-13,9.540207325997422E-15,7.169097605891665E-15,2.1539760641278253E-16,3.51059034628079E-22,5.43123617901085E-23,5.809784727099406E-29
0.2,2.9654721399716645E-13,1.9170361890318073E-14,1.546621458207285E-14,2.0860964424434177E-15,8.47520851206258E-21,1.1196390559395216E-22,4.367106579058917E-28
0.25,4.0355367020909273E-10,4.3204314748339026E-10,1.5431371446606296E-13,6.762857401992727E-15,2.0531154660766387E-14,1.8762199237044877E-21,3.0471808204298483E-27
0.30000000000000004,3.0033991770691505E-9,8.715745967745618E-10,3.415222158819822E-13,5.934942751602281E-11,9.56841927901875E-14,3.860585317600249E-21,2.7133298287313773E-18
0.35000000000000003,5.60324468440064E-9,1.3111060460657311E-9,5.224087862587104E-10,1.6447570979493234E-10,1.7083723090926472E-13,2.0155621758965215E-14,1.6925312732591525E-17
0.4,8.203090191732131E-9,1.7506374953569021E-9,1.3992056613240451E-9,2.696019920738417E-10,1.3838968214498187E-10,4.4455939584676175E-14,3.1137295638180786E-17
0.45,1.080293569906362E-8,7.258763052641282E-9,2.276002536389381E-9,3.747282743527511E-10,1.2611155975841007E-9,6.875625741038703E-14,4.5349278543770054E-17
0.5,2.050371683555458E-8,1.2937490795114969E-8,3.152799411454716E-9,1.5624146807713945E-9,2.3838415137926287E-9,9.305657523609809E-14,1.6751465101476812E-16
0.55,4.58853659439439E-8,1.8616218537588657E-8,6.879801764103467E-9,2.8169391893499844E-9,3.5065674300011553E-9,4.1867659942116804E-13,5.198590524759522E-16
0.6000000000000001,7.126701503031613E-8,2.4294946280062368E-8,1.6482657478686495E-8,4.0714636979285704E-9,4.629293346209683E-9,8.633466013278245E-13,8.722034535827098E-16
0.65,9.664866411668831E-8,3.2652306488322766E-7,2.6085513181361877E-8,4.751732988034314E-8,5.752019262418211E-9,1.3080166032344797E-12,1.2245478546894666E-15
0.7000000000000001,1.220303132030606E-7,6.437177583400479E-7,3.568836888403731E-8,1.809382325200905E-7,6.874745178626735E-9,1.752686605141135E-12,8.045733674409436E-12
0.75,4.474883304040947E-7,9.609124517968684E-7,6.707353194723209E-8,3.1435913492578663E-7,1.5990016402317245E-8,6.494835227284936E-10,2.601748423019673E-11
0.8,1.1135938294824507E-6,1.2781071452536888E-6,4.5272741483972167E-7,4.4778003733148267E-7,2.6826911371591902E-8,1.721318269996089E-9,4.398923478598406E-11
0.8500000000000001,1.7796993285608076E-6,1.595301838710508E-6,8.383812992332414E-7,5.812009397371793E-7,3.7663806340866536E-8,2.7931530172636855E-9,6.19609853417714E-11
0.9,2.4458048276391607E-6,1.9124965321673293E-6,1.2240351836267606E-6,7.146218421428753E-7,4.850070131014117E-8,3.864987764531277E-9,7.993273589755873E-11
0.9500000000000001,3.1119103267175205E-6,2.2296912256241505E-6,1.609689068020281E-6,8.480427445485714E-7,5.9337596279415816E-8,4.936822511798872E-9,9.790448645334597E-11
1,3.7780158257958745E-6,2.546885919080969E-6,1.9953429524138003E-6,1.0197737087902338E-6,7.017449124869043E-8,6.0086572590664655E-9,1.1587623700913331E-10
1.05,4.444121324874231E-6,3.7624779795310835E-6,2.3809968368073182E-6,1.6709816162147374E-6,1.030347519671228E-7,7.0804920063340595E-9,1.3384798756492066E-10
1.1,5.1102268239525845E-6,5.05513937530638E-6,2.7666507212008395E-6,2.3221895269539394E-6,1.5602223858677427E-7,8.15232675360166E-9,2.890404131358932E-10
1.1500000000000001,5.776332323030944E-6,6.347800771081678E-6,3.1523046055943596E-6,2.9733974376931416E-6,2.0900972520642563E-7,1.2418229794361295E-8,5.018450820693841E-10
1.2000000000000002,6.442437822109305E-6,7.64046216685698E-6,4.093438219035579E-6,3.6246053484323416E-6,2.6199721182607707E-7,2.1920521733184663E-8,7.146497510028756E-10
1.25,8.272196269840644E-6,8.933123562632273E-6,5.546278858827284E-6,4.275813259171539E-6,3.149846984457282E-7,3.1422813672008E-8,9.274544199363659E-10
1.3,1.0427049095988873E-5,1.0225784958407576E-5,6.999119498618994E-6,4.927021169910741E-6,3.679721850653794E-7,4.0925105610831366E-8,1.140259088869857E-9
1.35,1.2581901922137106E-5,1.1518446354182877E-5,8.451960138410698E-6,5.578229080649942E-6,5.44746599466865E-7,5.0427397549654724E-8,1.3530637578033483E-9
1.4000000000000001,1.473675474828533E-5,1.281110774995818E-5,9.904800778202412E-6,7.133623127607216E-6,1.1547983917881425E-6,5.992968948847811E-8,1.5658684267368394E-9
1.4500000000000002,1.6891607574433555E-5,1.5571630073060106E-5,1.135764141799412E-5,8.87585882615898E-6,1.7648501841077385E-6,6.943198142730145E-8,1.7786730956703303E-9
1.5,1.9046460400581778E-5,1.8513519634513658E-5,1.2810482057785817E-5,1.0618094524710744E-5,2.3749019764273322E-6,7.893427336612479E-8,3.0800510446907498E-9
1.55,2.1201313226730027E-5,2.1455409195967224E-5,1.4263322697577527E-5,1.2360330223262516E-5,2.984953768746929E-6,9.371761050150381E-8,4.425618497893483E-9
1.6,2.3356166052878243E-5,2.4397298757420784E-5,1.5716163337369248E-5,1.4102565921814278E-5,3.5950055610665277E-6,1.3760405228074375E-7,5.771185951096215E-9
1.6500000000000001,2.5511018879026472E-5,2.7339188318874374E-5,1.879212395361981E-5,1.584480162036604E-5,4.205057353386128E-6,1.8149049430468414E-7,7.116753404298943E-9
1.7000000000000002,2.7842110292177554E-5,3.028107788032794E-5,2.189599842348028E-5,1.758703731891781E-5,4.815109145705719E-6,2.2537693632862456E-7,8.462320857501673E-9
