% Model,COMSOL_3D_CNN_Design_3_Phase_1.mph
% Version,COMSOL 6.3.0.290
% Date,"Dec 25 2025, 16:48"
% Table,Table 1 - Surface Average 1
% Time (s),c_Outlet (mol/m^3)
0,-3.4506825821141223E-230
0.0166667,-6.690857329614098E-199
0.0333334,-2.230557964666051E-192
0.0500001,-1.2413772704374317E-191
0.0666668,1.505261147229058E-127
0.0833335,3.0620156368674927E-127
0.1000002,4.618770126505926E-127
0.11666689999999999,5.0113232227158296E-71
0.1333336,1.0350223978335022E-70
0.1500003,1.5689124733954217E-70
0.166667,2.102802548957342E-70
0.1833337,2.6366926245192588E-70
0.2000004,3.1705827000811796E-70
0.2166671,6.710216962312312E-69
0.23333379999999998,1.395086468142886E-68
0.2500005,2.1191512400545426E-68
0.2666672,2.843216011966197E-68
0.28333389999999997,3.567280783877853E-68
0.3000006,4.291345555789508E-68
0.3166673,8.839219125789184E-40
0.333334,1.954660012327807E-39
0.3500007,3.02539811207669E-39
0.3666674,4.0961362118255765E-39
0.3833341,5.166874311574463E-39
0.4000008,6.237612411323346E-39
0.41666749999999997,7.30835051107223E-39
0.4333342,8.379088610821118E-39
0.4500009,9.449826710570003E-39
0.46666759999999996,1.052056481031889E-38
0.4833343,1.1591302910067775E-38
0.500001,1.266204100981666E-38
0.5166677,6.788322929868914E-38
0.5333344,1.449643806530082E-37
0.5500011,2.2204553200732735E-37
0.5666677999999999,2.9912668336164585E-37
0.5833345,3.762078347159651E-37
0.6000012,4.532889860702843E-37
0.6166678999999999,5.3037013742460274E-37
0.6333346,6.074512887789218E-37
0.6500013,6.845324401332408E-37
0.666668,7.6161359148756E-37
0.6833347,8.386947428418786E-37
0.7000014,9.157758941961978E-37
0.7166681,3.5824024571473145E-23
0.7333348,9.560138538672724E-23
0.7500015,1.5537874620198159E-22
0.7666682,2.1515610701723606E-22
0.7833349,2.749334678324901E-22
0.8000016,3.3471082864774444E-22
0.8166683,3.9448818946299903E-22
0.8333349999999999,4.54265550278253E-22
0.8500017,5.140429110935073E-22
0.8666684,5.738202719087618E-22
0.8833350999999999,6.335976327240159E-22
0.9000018,6.933749935392702E-22
0.9166685,7.531523543545248E-22
0.9333351999999999,8.129297151697789E-22
0.9500019,8.727070759850332E-22
0.9666686,9.324844368002875E-22
0.9833353,9.922617976155422E-22
1.000002,1.0520391584307965E-21
1.0166686999999999,1.1118165192460506E-21
1.0333354,1.1715938800613046E-21
1.0500021,1.2313712408765595E-21
1.0666688,1.2911486016918134E-21
1.0833355,1.350925962507068E-21
1.1000022,1.4107033233223228E-21
1.1166689,2.2687082112748313E-21
1.1333355999999999,4.4681851639729545E-21
1.1500023,6.667662116671114E-21
1.166669,8.867139069369263E-21
1.1833357,1.1066616022067416E-20
1.2000024,1.3266092974765575E-20
1.2166691,1.5465569927463724E-20
1.2333357999999999,1.7665046880161846E-20
1.2500025,1.9864523832860005E-20
1.2666692,2.206400078555816E-20
1.2833359,2.4263477738256314E-20
1.3000026,2.6462954690954473E-20
1.3166693,2.866243164365262E-20
1.333336,3.086190859635078E-20
1.3500026999999999,3.306138554904891E-20
1.3666694,3.526086250174705E-20
1.3833361,3.7460339454445204E-20
1.4000028,3.9659816407143363E-20
1.4166695,4.185929335984152E-20
1.4333362,4.4058770312539663E-20
1.4500028999999999,4.625824726523781E-20
1.4666696,4.8457724217935957E-20
1.4833363,5.065720117063409E-20
1.500003,5.285667812333226E-20
1.5166697,6.070288995958124E-20
1.5333364,1.0136237851271236E-19
1.5500030999999999,1.4202186706584295E-19
1.5666698,1.8268135561897422E-19
1.5833365,2.2334084417210524E-19
1.6000032,2.640003327252364E-19
1.6166699,3.046598212783676E-19
1.6333366,3.45319309831499E-19
1.6500033,3.859787983846299E-19
1.6666699999999999,4.266382869377607E-19
1.6833367,4.672977754908919E-19
1.7000034,5.079572640440229E-19
1.7166701,5.486167525971541E-19
1.7333368,5.892762411502853E-19
1.7500035,6.299357297034164E-19
1.7666701999999999,6.70595218256547E-19
1.7833369,7.112547068096781E-19
1.8000036,7.519141953628093E-19
1.8166703,7.925736839159405E-19
1.833337,8.3323317246907185E-19
1.8500037,8.738926610222027E-19
1.8666703999999998,9.145521495753333E-19
1.8833370999999999,9.552116381284645E-19
1.9000038,9.958711266815958E-19
1.9166705,1.036530615234727E-18
1.9333372,1.5032014139663958E-18
1.9500039,2.0066219233471487E-18
1.9666706,2.5100424327279016E-18
1.9833372999999999,3.0134629421086487E-18
2.000004,3.516883451489408E-18
2.0166707,4.020303960870162E-18
2.0333373999999997,4.523724470250902E-18
2.0500040999999998,5.027144979631656E-18
2.0666708,5.530565489012409E-18
2.0833375,6.03398599839316E-18
2.1000042,6.537406507773918E-18
2.1166709,7.04082701715467E-18
2.1333376,7.544247526535427E-18
2.1500043,8.047668035916177E-18
2.166671,8.55108854529693E-18
2.1833377,9.054509054677685E-18
2.2000044,9.55792956405844E-18
2.2166711,1.0061350073439193E-17
2.2333378,1.0564770582819946E-17
2.2500044999999997,1.1068191092200686E-17
2.2666711999999998,1.1571611601581436E-17
2.2833379,1.207503211096219E-17
2.3000046,1.2578452620342947E-17
2.3166713,1.3081873129723699E-17
2.333338,1.649636364142702E-17
2.3500047,2.1192288889459878E-17
2.3666714,2.588821413749274E-17
2.3833381,3.058413938552562E-17
2.4000048,3.528006463355847E-17
2.4166715,3.997598988159133E-17
2.4333382,4.467191512962422E-17
2.4500049,4.936784037765709E-17
2.4666715999999997,5.4063765625689825E-17
2.4833382999999998,5.875969087372269E-17
2.500005,6.345561612175555E-17
2.5166717,6.81515413697884E-17
2.5333384,7.284746661782127E-17
2.5500051,7.754339186585417E-17
2.5666718,8.223931711388698E-17
2.5833385,8.693524236191989E-17
2.6000052,9.163116760995274E-17
2.6166719,9.632709285798563E-17
2.6333386,1.0102301810601847E-16
2.6500053,1.0571894335405134E-16
2.666672,1.104148686020842E-16
2.6833386999999997,1.1511079385011694E-16
2.7000053999999998,1.198067190981498E-16
2.7166721,1.2450264434618268E-16
2.7333388,1.4347647764833714E-16
2.7500055,1.786731879445847E-16
2.7666722,2.1386989824083215E-16
2.7833389,2.490666085370796E-16
2.8000056,2.842633188333272E-16
2.8166723,3.194600291295746E-16
2.833339,3.546567394258221E-16
2.8500057,3.898534497220694E-16
2.8666724,4.2505016001831705E-16
2.8833390999999997,4.602468703145636E-16
2.9000057999999997,4.95443580610811E-16
2.9166725,5.306402909070584E-16
2.9333392,5.658370012033058E-16
2.9500059,6.010337114995535E-16
2.9666726,6.362304217958009E-16
2.9833393,6.714271320920484E-16
3.000006,7.066238423882958E-16
3.0166727,7.418205526845434E-16
3.0333394,7.770172629807909E-16
3.0500061,8.122139732770383E-16
3.0666728,8.47410683573286E-16
3.0833395,8.826073938695334E-16
3.1000061999999997,9.178041041657799E-16
3.1166728999999997,9.530008144620268E-16
3.1333396,1.0330855557643898E-15
3.1500063,1.2538611509080186E-15
3.166673,1.474636746051648E-15
3.1833397,1.6954123411952766E-15
3.2000064,1.916187936338906E-15
3.2166731,2.136963531482535E-15
3.2333398,2.3577391266261643E-15
3.2500065,2.5785147217697926E-15
3.2666732,2.7992903169134225E-15
3.2833399,3.0200659120570508E-15
3.3000066,3.24084150720068E-15
3.3166732999999997,3.461617102344304E-15
3.3333399999999997,3.682392697487932E-15
3.3500067,3.903168292631562E-15
3.3666734,4.12394388777519E-15
3.3833401,4.3447194829188195E-15
3.4000068,4.5654950780624486E-15
3.4166735,4.786270673206078E-15
3.4333402,5.007046268349707E-15
3.4500069,5.227821863493334E-15
3.4666736,5.448597458636966E-15
3.4833403,5.669373053780592E-15
3.500007,5.890148648924224E-15
3.5166737,6.110924244067851E-15
3.5333403999999997,6.346894656227596E-15
3.5500070999999997,7.538821944859555E-15
3.5666738,8.730749233491518E-15
3.5833405,9.922676522123471E-15
3.6000072,1.1114603810755428E-14
3.6166739,1.2306531099387388E-14
3.6333406,1.3498458388019346E-14
3.6500073,1.46903856766513E-14
3.666674,1.5882312965283264E-14
3.6833407,1.7074240253915226E-14
3.7000074,1.8266167542547175E-14
3.7166741,1.9458094831179136E-14
3.7333407999999997,2.0650022119811057E-14
3.7500074999999997,2.1841949408443015E-14
3.7666741999999998,2.3033876697074973E-14
3.7833409,2.4225803985706932E-14
3.8000076,2.5417731274338893E-14
3.8166743,2.6609658562970848E-14
3.833341,2.7801585851602807E-14
3.8500077,2.899351314023477E-14
3.8666744,3.018544042886673E-14
3.8833411,3.137736771749869E-14
3.9000078,3.2569295006130637E-14
3.9166745,3.3761222294762604E-14
3.9333412,3.4953149583394553E-14
3.9500078999999997,3.966687823304392E-14
3.9666745999999997,4.532010682650347E-14
3.9833412999999998,5.097333541996302E-14
4.000008,5.662656401342275E-14
4.0166747,6.227979260688228E-14
4.0333414,6.793302120034184E-14
4.0500081,7.358624979380138E-14
4.0666747999999995,7.923947838726063E-14
4.0833414999999995,8.48927069807202E-14
4.1000081999999995,9.054593557417978E-14
4.1166749,9.61991641676393E-14
4.1333416,1.0185239276109886E-13
4.1500083,1.0750562135455844E-13
4.166675,1.1315884994801797E-13
4.1833417,1.1881207854147753E-13
4.2000084,1.2446530713493709E-13
4.2166751,1.3011853572839665E-13
4.2333418,1.3577176432185623E-13
4.2500085,1.4142499291531574E-13
4.2666752,1.470782215087753E-13
4.2833419,1.5273145010223486E-13
4.3000086,1.583846786956944E-13
4.3166753,1.6403790728915395E-13
4.333342,1.6969113588261354E-13
4.3500087,1.8918533723472843E-13
4.3666754,2.209649500766736E-13
4.3833421,2.547273954760969E-13
4.4000088,2.904726734329981E-13
4.4166755,3.2820078394737736E-13
4.4333422,3.679117270192346E-13
4.4500089,4.096055026485706E-13
4.4666756,4.532821108353838E-13
4.4833422999999994,4.989415515796727E-13
4.5000089999999995,5.465838248814419E-13
4.5166756999999995,5.962089307406892E-13
4.5333423999999996,6.478168691574148E-13
4.5500091,7.01407640131618E-13
4.5666758,7.569812436632995E-13
4.5833425,8.145376797524589E-13
4.6000092,8.740769483990961E-13
4.6166759,9.355990496032118E-13
4.6333426,9.991039833648053E-13
4.6500093,1.0645917496838767E-12
4.666676,1.1320623485604265E-12
4.6833427,1.2015157799944538E-12
4.7000094,1.2729520439859594E-12
4.7166761,1.3463711405349427E-12
4.7333428,1.421773069641405E-12
4.7500095,1.4991578313053438E-12
4.7666762,1.578525425526762E-12
4.7833429,1.6598758523056573E-12
4.8000096,1.7432091116420312E-12
4.8166763,1.828525203535883E-12
4.833343,1.915824127987212E-12
4.8500097,2.00510588499602E-12
4.8666764,2.096370474562306E-12
4.8833431,2.18961789668607E-12
4.9000098,2.2848481513673114E-12
4.9166764999999995,2.382061238606026E-12
4.9333431999999995,2.481257158402223E-12
4.9500098999999995,2.5824359107558995E-12
4.9666765999999996,2.6855974956670526E-12
4.9833433,2.790741913135686E-12
5.00001,2.897869163161795E-12
5.0166767,3.0069792457453833E-12
5.0333434,3.118072160886449E-12
5.0500101,3.2311479085849926E-12
5.0666768,3.3462064888410138E-12
5.0833435,3.463247901654514E-12
5.1000102,3.5822721470254923E-12
5.1166769,3.703279224953946E-12
5.1333436,3.826269135439882E-12
5.1500103,3.9846208090817594E-12
5.166677,4.419980943043137E-12
5.1833437,4.86974108099411E-12
5.2000104,5.3339012229346835E-12
5.2166771,5.8124613688648495E-12
5.2333438,6.3054215187846195E-12
5.2500105,6.8127816726939894E-12
5.2666772,7.334541830592958E-12
5.2833439,7.870701992481523E-12
5.3000106,8.421262158359684E-12
5.3166773,8.986222328227446E-12
5.333344,9.565582502084807E-12
5.3500106999999995,1.0159342679931728E-11
5.3666773999999995,1.0767502861768292E-11
5.3833440999999995,1.1390063047594442E-11
5.4000107999999996,1.2027023237410195E-11
5.4166775,1.2678383431215545E-11
5.4333442,1.3344143629010494E-11
5.4500109,1.4024303830795043E-11
5.4666776,1.471886403656919E-11
5.4833443,1.5427824246332932E-11
5.500011,1.615118446008628E-11
5.5166777,1.6888944677829218E-11
5.5333444,1.764110489956176E-11
5.5500111,1.8407665125283894E-11
5.5666778,1.9188625354995628E-11
5.5833445,1.9983985588696973E-11
5.6000112,2.07937458263879E-11
5.6166779,2.161790606806843E-11
5.6333446,2.245646631373856E-11
5.6500113,2.3309426563398285E-11
5.666678,2.4176786817047618E-11
5.6833447,2.505854707468654E-11
5.7000114,2.5954707336315072E-11
5.7166781,2.686526760193319E-11
5.7333448,2.7790227871540913E-11
5.7500115,2.8729588145138233E-11
5.766678199999999,2.968334842272509E-11
5.7833448999999995,3.065150870430162E-11
5.8000115999999995,3.163406898986771E-11
5.8166782999999995,3.263102927942344E-11
5.833345,3.364238957296875E-11
5.8500117,3.4668149870503654E-11
5.8666784,3.570831017202816E-11
5.8833451,3.6762870477542257E-11
5.9000118,3.783183078704598E-11
5.9166785,3.891519110053928E-11
5.9333452,4.001295141802218E-11
5.9500119,4.112511173949467E-11
5.9666786,4.237182357283139E-11
5.9833453,4.37014827367258E-11
6.000012,4.50529755372132E-11
6.0166787,4.64263019742935E-11
6.0333454,4.782146204796676E-11
6.0500121,4.9238455758232966E-11
6.0666788,5.067728310509209E-11
6.0833455,5.2137944088544194E-11
6.1000122,5.362043870858923E-11
6.1166789,5.5124766965227206E-11
6.1333456,5.665092885845815E-11
6.1500123,5.8198924388281994E-11
6.166679,5.976875355469883E-11
6.1833457,6.136041635770856E-11
6.200012399999999,6.302340937776977E-11
6.2166790999999995,6.479384377663117E-11
6.2333457999999995,6.660293715702192E-11
6.2500124999999995,6.845068951894202E-11
6.2666792,7.03371008623915E-11
6.2833459,7.226217118737031E-11
6.3000126,7.422590049387848E-11
6.3166793,7.6228288781916E-11
6.333346,7.834044961895713E-11
6.3500127,8.051112500937237E-11
6.3666794,8.273801097523447E-11
6.3833461,8.502110751654329E-11
6.4000128,8.736041463329891E-11
6.4166795,8.975593232550131E-11
6.4333462,9.220766059315043E-11
6.4500129,9.473216609070024E-11
6.4666796,9.733373314321171E-11
6.4833463,9.999939463904222E-11
6.500013,1.0272915057819176E-10
6.5166797,1.055230009606603E-10
6.5333464,1.0840741470747652E-10
6.5500131,1.1137250487846627E-10
6.5666798,1.1441341264753662E-10
6.5833465,1.1753013801468752E-10
6.6000132,1.2072505893398732E-10
6.616679899999999,1.240209616569302E-10
6.633346599999999,1.274019819147961E-10
6.6500132999999995,1.308681197075847E-10
6.6666799999999995,1.3441937503529613E-10
6.6833466999999995,1.3807965461297363E-10
6.7000134,1.418388206780195E-10
6.7166801,1.4569391097350999E-10
6.7333468,1.4964492549944494E-10
6.7500135,1.5370911458236945E-10
6.7666802,1.578886983626698E-10
6.7833469,1.6217551674523945E-10
6.8000136,1.6656956973007835E-10
6.8166803,1.7108209036103825E-10
6.833347,1.7572832790599114E-10
6.8500137,1.8049434270108197E-10
6.8666804,1.8538013474631065E-10
6.8833471,1.9039022009011324E-10
6.9000138,1.9555420460335558E-10
6.9166805,2.0085192874853123E-10
6.9333472,2.0628339252564038E-10
6.9500139,2.1184859593468283E-10
6.9666806,2.175838761163078E-10
6.9833473,2.2347142338603328E-10
7.000014,2.2950826318774392E-10
7.0166807,2.356943955214396E-10
7.0333474,2.420556512115765E-10
7.050014099999999,2.4859217331275564E-10
7.066680799999999,2.55293743953453E-10
7.0833474999999995,2.6216036313366813E-10
7.1000141999999995,2.6922863547181625E-10
7.1166808999999995,2.7648533646109125E-10
7.1333476,2.83925484866386E-10
7.1500143,2.915502341725191E-10
7.166681,2.993971950766545E-10
7.1833477,3.074439327931602E-10
7.2000144,3.156904473220362E-10
7.2166811,3.241696421521763E-10
7.2333478,3.328728606099639E-10
7.2500145,3.417953128376688E-10
7.2666812,3.509603197767983E-10
7.2833479,3.603733175663589E-10
7.3000146,3.700245663949554E-10
7.3166813,3.7993043298760065E-10
7.333348,3.9011007361133775E-10
7.3500147,4.005483971055476E-10
7.3666814,4.1125456834204006E-10
7.3833481,4.2226191513574075E-10
7.4000148,4.335500127383585E-10
7.4166815,4.4512051227665593E-10
7.4333482,4.570213025741799E-10
7.4500149,4.692267420376111E-10
7.466681599999999,4.817368306669489E-10
7.483348299999999,4.945957296504748E-10
7.500014999999999,5.077913210629334E-10
7.5166816999999995,5.213174531249672E-10
7.5333483999999995,5.352027720610174E-10
7.5500150999999995,5.49453404043175E-10
7.5666818,5.640606045959733E-10
7.5833485,5.790704360842767E-10
7.6000152,5.94461789012335E-10
7.6166819,6.102552741870069E-10
7.6333486,6.264695467597834E-10
7.6500153,6.430914160493554E-10
7.666682,6.601667598793276E-10
7.6833487,6.776790755501704E-10
7.7000154,6.956429483899747E-10
7.7166821,7.140886711862737E-10
7.7333488,7.329986974096136E-10
7.7500155,7.52415783484276E-10
7.7666822,7.723349523920018E-10
7.7833489,7.927610478640624E-10
7.8000156,8.137379512924022E-10
7.8166823,8.352431756107698E-10
7.833349,8.573158482884375E-10
7.8500157,8.799645158478575E-10
7.8666824,9.031826440293007E-10
7.8833491,9.270295097951619E-10
7.900015799999999,9.514773191426316E-10
7.916682499999999,9.765604025544722E-10
7.933349199999999,1.0023031291307705E-9
7.9500158999999995,1.028686629436841E-9
7.9666825999999995,1.0558483650441577E-9
7.9833492999999995,1.0837305841901854E-9
8.000016,1.112331982117283E-9
8.0166827,1.1416525588254469E-9
8.0333494,1.1716923143146802E-9
8.0500161,1.2026226992028013E-9
8.0666828,1.2343633741807817E-9
8.0833495,1.266890188255123E-9
8.1000162,1.3002031414258251E-9
8.116682899999999,1.3343022336928848E-9
8.133349599999999,1.3693858647926015E-9
8.150016299999999,1.4054120660728861E-9
8.166682999999999,1.4423180405389295E-9
8.183349699999999,1.480103788190734E-9
8.200016399999999,1.5187973850264665E-9
8.2166831,1.558671715296847E-9
8.2333498,1.5995387143475609E-9
8.2500165,1.6413983821786088E-9
8.2666832,1.684250718789989E-9
8.2833499,1.7282437470225526E-9
8.3000166,1.7734740153668493E-9
8.3166833,1.819816062301432E-9
8.33335,1.8672698878262984E-9
8.3500167,1.9158354919414506E-9
8.3666834,1.9657888770678317E-9
8.3833501,2.017004096986498E-9
8.4000168,2.0694469472116593E-9
8.4166835,2.1231174277433147E-9
8.4333502,2.1783050332938564E-9
8.4500169,2.2348926073775928E-9
8.4666836,2.292844942548422E-9
8.4833503,2.3521620388063447E-9
8.500017,2.4131343046323562E-9
8.5166837,2.4756447726065846E-9
8.5333504,2.539657777660896E-9
8.5500171,2.6051733197952905E-9
8.5666838,2.6724745459740625E-9
8.5833505,2.7414479597837195E-9
8.6000172,2.8120584492646793E-9
8.6166839,2.8843888620190487E-9
8.6333506,2.958638816853992E-9
8.6500173,3.0346672160111075E-9
8.666684,3.1124981473040012E-9
8.6833507,3.1924119374326614E-9
8.7000174,3.274253458953304E-9
8.7166841,3.3580227118659257E-9
8.7333508,3.443991492567835E-9
8.7500175,3.5320615464001133E-9
8.7666842,3.622208029874495E-9
8.7833509,3.7146411314868813E-9
8.8000176,3.8093792784126065E-9
8.8166843,3.9063511691431165E-9
8.833351,4.005704863810166E-9
8.8500177,4.107575713691952E-9
8.8666844,4.211847299289432E-9
8.8833511,4.318595603838687E-9
8.9000178,4.428045593085849E-9
8.9166845,4.54005481115113E-9
8.9333512,4.654746548440114E-9
8.9500179,4.772261259811009E-9
8.966684599999999,4.8924986426163015E-9
8.983351299999999,5.01573587902047E-9
9.000017999999999,5.14187455423124E-9
9.016684699999999,5.271011173171509E-9
9.033351399999999,5.403292841339863E-9
9.050018099999999,5.538629945334521E-9
9.066684799999999,5.677295696822399E-9
9.0833515,5.819202022070939E-9
9.1000182,5.96444389689013E-9
9.1166849,6.113188839178542E-9
9.1333516,6.265337501519944E-9
9.1500183,6.421180004624978E-9
9.166685,6.5806327159088255E-9
9.1833517,6.743789596541053E-9
9.2000184,6.910844509135797E-9
9.2166851,7.081685295769945E-9
9.2333518,7.256625287966343E-9
9.2500185,7.435585315766764E-9
9.2666852,7.618646377440161E-9
9.2833519,7.80601230976294E-9
9.3000186,7.997590829968416E-9
9.3166853,8.193614213274677E-9
9.333352,8.394105965242952E-9
9.3500187,8.599194387252945E-9
9.3666854,8.80905849196406E-9
9.3833521,9.023750102129805E-9
9.4000188,9.243446774883363E-9
9.4166855,9.468267983717046E-9
9.4333522,9.698236128134731E-9
9.4500189,9.933413697803915E-9
9.4666856,1.017389603202882E-8
9.4833523,1.0419869346856476E-8
9.500019,1.0671476090855308E-8
9.5166857,1.0928928812366665E-8
9.5333524,1.1192390139762635E-8
9.5500191,1.1461897191592969E-8
9.5666858,1.1737519078325134E-8
9.5833525,1.2019326430322856E-8
9.6000192,1.2307595002053284E-8
9.6166859,1.2602481966253391E-8
9.6333526,1.2904216421956315E-8
9.6500193,1.3212912072900859E-8
9.666686,1.3528679164256383E-8
9.6833527,1.3851641587430791E-8
9.7000194,1.418197985810817E-8
9.7166861,1.4520036151106633E-8
9.7333528,1.4865964136800644E-8
9.7500195,1.5219962707261335E-8
9.7666862,1.5582204210747898E-8
9.7833529,1.5952775363574902E-8
9.8000196,1.633179076266393E-8
9.816686299999999,1.6719512051706617E-8
9.833352999999999,1.711611577923787E-8
9.850019699999999,1.7521827665944838E-8
9.866686399999999,1.793691117021789E-8
9.883353099999999,1.8361639103488447E-8
9.900019799999999,1.8796068610107823E-8
9.916686499999999,1.9240457668840326E-8
9.933353199999999,1.9695081860348813E-8
9.9500199,2.016028346842941E-8
9.9666866,2.063640583514028E-8
9.9833533,2.1123718958214377E-8
10.00002,2.1622458228130812E-8
10.0166867,2.2132855456998386E-8
10.0333534,2.265518048567847E-8
10.0500201,2.3189730384643066E-8
10.0666868,2.373682729852905E-8
10.0833535,2.4297018791439864E-8
10.1000202,2.4870206379433686E-8
10.1166869,2.545724823157197E-8
10.1333536,2.6058190815986187E-8
10.1500203,2.667329585395177E-8
10.166687,2.7303768721588337E-8
10.1833537,2.7949069622242347E-8
10.2000204,2.8610011607497542E-8
10.2166871,2.9286342215389664E-8
10.2333538,2.997868084293676E-8
10.2500205,3.0687196339748924E-8
10.2666872,3.141257676376933E-8
10.2833539,3.2155465267550714E-8
10.3000206,3.291621445448554E-8
10.3166873,3.369551906220451E-8
10.333354,3.4494225263717627E-8
10.3500207,3.53128851110911E-8
10.3666874,3.615135896626223E-8
10.3833541,3.701001687304773E-8
10.4000208,3.788940891315844E-8
10.4166875,3.879022731575905E-8
10.4333542,3.9712903612761586E-8
10.4500209,4.06588453000697E-8
10.4666876,4.1628023968383656E-8
10.4833543,4.262084336692117E-8
10.500021,4.3638045768696383E-8
10.5166877,4.468047176940345E-8
10.5333544,4.574824538450175E-8
10.5500211,4.6842322196665076E-8
10.5666878,4.796414752519217E-8
10.5833545,4.911402061148283E-8
10.6000212,5.0291968579657926E-8
10.6166879,5.149905727205048E-8
10.6333546,5.273669336851158E-8
10.6500213,5.4005783572961575E-8
10.666688,5.530683387941138E-8
10.683354699999999,5.664059011286713E-8
10.700021399999999,5.8008093577520827E-8
10.716688099999999,5.941033577274136E-8
10.733354799999999,6.084820503441155E-8
10.750021499999999,6.232258387507522E-8
10.766688199999999,6.383430795870898E-8
10.783354899999999,6.538504423146405E-8
10.800021599999999,6.69749887563072E-8
10.8166883,6.860608998893138E-8
10.833355,7.027813505094071E-8
10.8500217,7.199320526531113E-8
10.8666884,7.375127220736046E-8
10.8833551,7.555368995148188E-8
10.9000218,7.740120149080188E-8
10.9166885,7.929465096724324E-8
10.9333552,8.12358849071252E-8
10.9500219,8.322506285066005E-8
10.9666886,8.526495866667935E-8
10.9833553,8.735538018167207E-8
11.000022,8.949878735684447E-8
11.0166887,9.16956156995051E-8
11.0333554,9.394743286194032E-8
11.0500221,9.625556947079987E-8
11.0666888,9.86205927061648E-8
11.0833555,1.0104494778770656E-7
11.1000222,1.0352843619095206E-7
11.1166889,1.0607383291615159E-7
11.1333556,1.0868137867489292E-7
11.1500223,1.1135342729102135E-7
11.166689,1.1409107628532878E-7
11.1833557,1.1689564815177041E-7
11.2000224,1.1976927002953195E-7
11.2166891,1.227121078845726E-7
11.2333558,1.2572714122292743E-7
11.2500225,1.2881417078102082E-7
11.2666892,1.3197587615611563E-7
11.2833559,1.3521281305084365E-7
11.3000226,1.3852677036836226E-7
11.3166893,1.4191934495956047E-7
11.333356,1.4539119232211934E-7
11.3500227,1.489446756768221E-7
11.3666894,1.5257958072300955E-7
11.3833561,1.5629859641207486E-7
11.4000228,1.601018600525645E-7
11.4166895,1.6399143951247056E-7
11.4333562,1.679683843545519E-7
11.4500229,1.7203389818301803E-7
11.4666896,1.7618949755780451E-7
11.4833563,1.804354789304735E-7
11.500023,1.8477732651222653E-7
11.5166897,1.8921333713893772E-7
11.533356399999999,1.937435108106066E-7
11.550023099999999,1.9837169027369822E-7
11.566689799999999,2.0310028238857576E-7
11.583356499999999,2.0792664131763423E-7
11.600023199999999,2.1285406959774117E-7
11.616689899999999,2.1789001142923785E-7
11.633356599999999,2.2302951798604228E-7
11.650023299999999,2.2827403260052103E-7
11.66669,2.3363627122668663E-7
11.6833567,2.391090914756641E-7
11.7000234,2.446924933474534E-7
11.7166901,2.5040220791186573E-7
11.7333568,2.5623173654643293E-7
11.7500235,2.621801019498491E-7
11.7666902,2.6826134802305286E-7
11.7833569,2.744752856770869E-7
11.8000236,2.8081793780913656E-7
11.8166903,2.8730009570483863E-7
11.833357,2.9392914574852503E-7
11.8500237,3.006979467864507E-7
11.8666904,3.076132110082444E-7
11.8833571,3.1468989309988647E-7
11.9000238,3.2191802771313525E-7
11.9166905,3.293001733049816E-7
11.9333572,3.368584209167749E-7
11.9500239,3.4458034571209447E-7
11.9666906,3.5246594769094007E-7
11.9833573,3.605390236913293E-7
12.000024,3.6878966505246957E-7
12.0166907,3.7721643701626275E-7
12.0333574,3.8583715164407015E-7
12.0500241,3.946514749674167E-7
12.0666908,4.036544143785026E-7
12.0833575,4.1285852083255497E-7
12.1000242,4.22272259872183E-7
12.1166909,4.3188739329770673E-7
12.1333576,4.4171173850191256E-7
12.1500243,4.5176251113133857E-7
12.166691,4.6202821172591373E-7
12.1833577,4.725118875750225E-7
12.2000244,4.832393328054306E-7
12.2166911,4.941960203478612E-7
12.2333578,5.053819502023143E-7
12.2500245,5.168259523603313E-7
12.2666912,5.285159283355759E-7
12.2833579,5.404501925522851E-7
12.3000246,5.526514568967572E-7
12.3166913,5.651191761651357E-7
12.333358,5.778470498008108E-7
12.3500247,5.90851782619653E-7
12.3666914,6.041444764569888E-7
12.383358099999999,6.177142556482908E-7
12.400024799999999,6.315715342300068E-7
12.416691499999999,6.457389812920428E-7
12.433358199999999,6.60201418115454E-7
12.450024899999999,6.749629730649952E-7
12.466691599999999,6.900579121846771E-7
12.483358299999999,7.054669110487178E-7
12.500024999999999,7.21189969657118E-7
12.516691699999999,7.372659380029522E-7
12.5333584,7.536783864741946E-7
12.5500251,7.704251143058467E-7
12.5666918,7.875368285998918E-7
12.5833585,8.050126317464696E-7
12.6000252,8.228440932167824E-7
12.6166919,8.410538569354881E-7
