% Model,COMSOL_3D_CNN_Design_3_Phase_1.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 11 2026, 14:52"
% Table,Table 9 - Concentration_CNN
% Time (s),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3)
0,1.9465818479250346E-205,2.381596811016702E-189,2.835307742256881E-150,1.0561120522445966E-140,-1.721901570568832E-146,-7.913019929044488E-146,1.3010169263168839E-154,-1.8438320634631596E-181
0.1,6.849870924263701E-33,5.825122913191991E-24,4.1679158512177704E-27,9.012465950749789E-26,1.6313450386171612E-29,4.5983556848938435E-29,2.943434492524072E-27,-8.057131528193186E-59
0.2,8.31182210993858E-31,3.970551181891206E-15,1.2422174664728012E-16,4.682230676617001E-16,6.056073677093295E-18,2.3409328252641757E-18,2.0979328168964967E-17,1.2010463694194905E-34
0.30000000000000004,2.732313162848697E-19,9.595733045359116E-14,2.8625101735244448E-15,1.0024341263452496E-14,3.834088054429577E-17,7.037668733695466E-17,1.7313195283653584E-16,1.3305598851533239E-20
0.4,1.1517614434049992E-18,6.326012436078246E-10,4.907008272682995E-11,7.116468587482287E-11,3.4283267550470508E-16,5.938139261063386E-12,3.365507309616315E-15,2.732022937662519E-20
0.5,1.458829996567247E-17,1.4932180491414452E-9,1.7624802848942169E-10,2.5760967296034973E-10,1.0991385727225128E-15,1.3890732023686631E-11,4.264476711049698E-11,3.894318338776572E-19
0.6000000000000001,3.966884841316849E-17,9.848711194099461E-9,7.390075981278245E-10,1.0678117097257894E-9,2.5584530338777004E-11,1.0241092965275495E-10,1.0763236312422725E-10,7.9038618809886315E-19
0.7000000000000001,5.371026225573164E-12,1.9498200486914773E-8,2.2232325840837343E-9,3.2385397280683138E-9,7.091664265331487E-11,2.1723414635887684E-10,2.97173062318722E-10,5.541259085539484E-13
0.8,1.2761376524696469E-11,6.872518391757284E-8,5.692907875321923E-9,7.875365774763841E-9,1.1624875496785273E-10,8.631333461751524E-10,1.076453397850064E-9,1.2061733260537338E-12
0.9,2.015172682381978E-11,1.3573762621264216E-7,1.4927670167243546E-8,2.0025035252750072E-8,1.6158086728239056E-10,1.9794295529390057E-9,1.8557337333814056E-9,1.8582207435535187E-12
1,4.0865116954073985E-11,3.1295021712421865E-7,2.9677021908932115E-8,3.861685479997349E-8,6.763574655942541E-10,5.377281580904813E-9,5.682097642451645E-9,2.5102681610533044E-12
1.1,1.4174922368959556E-10,5.755105743471803E-7,6.772948169313795E-8,8.657382910379131E-8,1.2205075183852507E-9,1.1638009210397779E-8,1.0860753963596286E-8,1.0022831366936204E-11
1.2000000000000002,2.426333304251171E-10,1.0646077178433207E-6,1.1617079207256001E-7,1.4550152247154413E-7,1.7646575711762474E-9,2.4201481613229755E-8,1.9494862239364836E-8,1.9819322111156623E-11
1.3,3.4351743716063843E-10,1.8033273064246019E-6,2.3631413117001283E-7,2.9080898194139814E-7,2.5149287675373824E-8,4.8296965423725814E-8,4.1060800264309016E-8,2.9615812855377025E-11
1.4000000000000001,7.982128606106E-10,2.903736152260338E-6,3.681557940743523E-7,4.4592935910616544E-7,9.754609011781868E-8,8.627440742066925E-8,6.262673828925329E-8,3.941230359959744E-11
1.5,1.5328856604265838E-9,4.545009646939414E-6,6.777613916690127E-7,8.070267440692775E-7,1.6994289256026352E-7,1.5956900678698433E-7,1.1959694241653026E-7,9.156345646881535E-11
1.6,2.2675584602425688E-9,6.641437695403556E-6,9.873669892636738E-7,1.1681241290323902E-6,2.423396950027086E-7,2.568846746267064E-7,1.8972131548158245E-7,1.6645544386424138E-10
1.7000000000000002,3.0022312600585546E-9,9.670012454142385E-6,1.662406270900731E-6,1.9226302569172898E-6,3.147364974451535E-7,4.426282134974888E-7,2.8855563017907903E-7,2.4134743125966737E-10
1.8,6.717726036327142E-9,1.3141869175937746E-5,2.338568421419221E-6,2.685880887732529E-6,3.8713329988759815E-7,6.599923854103473E-7,4.747496439005283E-7,3.1623941865509323E-10
1.9000000000000001,1.0512809151525249E-8,1.7342586895788886E-5,3.581315975249593E-6,4.03538937789069E-6,4.5953010233004336E-7,1.0077444986996788E-6,6.609436576219781E-7,7.340676758801077E-9
2,1.4307892266723363E-8,2.231885850962584E-5,4.865318543238804E-6,5.442145968385004E-6,5.532828062394424E-7,1.475522423765698E-6,1.0255641886553277E-6,2.0026577080475004E-8
2.1,2.218311382590918E-8,2.796523103354869E-5,6.603764775603861E-6,7.2924719758333895E-6,9.247377656548387E-7,2.0518309630948857E-6,1.444814033891097E-6,3.271247740214897E-8
2.2,3.644705945871452E-8,3.428888210097857E-5,8.745414932712083E-6,9.55785075113503E-6,1.2961927250702363E-6,2.76670273137224E-6,1.9782798073639644E-6,4.539837772382294E-8
2.3000000000000003,5.071100509151988E-8,4.13881345806658E-5,1.124445928366828E-5,1.2184385459195408E-5,1.6676476844856333E-6,3.8026705543822488E-6,2.79992485398132E-6,5.808427804549687E-8
2.4000000000000004,6.497495072432524E-8,4.920353377246362E-5,1.4100897828472456E-5,1.517207610001451E-5,2.039102643901031E-6,5.043459621532603E-6,3.6215699005986734E-6,7.07701783671708E-8
2.5,1.0248794039893972E-7,5.773507967637201E-5,1.7581651775843806E-5,1.8745093053447337E-5,2.410557603316427E-6,6.489069932823292E-6,4.7206697330483315E-6,8.345607868884475E-8
2.6,1.4561524144022176E-7,6.674576767287538E-5,2.164388314067545E-5,2.2882623007415146E-5,2.782012562731824E-6,8.25612583969012E-6,6.078061944835912E-6,9.614197901051871E-8
2.7,1.887425424815039E-7,7.581125021631262E-5,2.6212184737756745E-5,2.7511787881873358E-5,3.1534675221472208E-6,1.0465432724306495E-5,7.646132516687732E-6,1.3104573617313779E-7
2.8000000000000003,2.466517032070457E-7,8.526217115923984E-5,3.128655656708769E-5,3.2632587676821955E-5,4.070921629553179E-6,1.3005906296701203E-5,9.42488144860381E-6,2.0686834708371905E-7
2.9000000000000004,3.565948986224977E-7,9.509853050165686E-5,3.6897550779335594E-5,3.823527495810136E-5,5.10424056455375E-6,1.587754655687425E-5,1.1414308740584137E-5,2.826909579943004E-7
3,4.665380940379497E-7,1.0455239117138624E-4,4.3051359723538885E-5,4.43167211113345E-5,6.137559499554317E-6,1.9224226852820113E-5,1.3874645294856695E-5,3.5851356890488125E-7
3.1,5.764812894534014E-7,1.1346115374342857E-4,4.973244875148173E-5,5.08826022134344E-5,7.170878434554887E-6,2.3033172127719197E-5,1.669409127932642E-5,4.3433617981546246E-7
3.2,7.710327988809536E-7,1.2218651138751384E-4,5.6940817863164034E-5,5.793291826440108E-5,8.204197369555459E-6,2.7262412872488582E-5,1.9831185974534614E-5,5.101587907260438E-7
3.3000000000000003,1.0138035060474757E-6,1.3072846410364222E-4,6.445298603284865E-5,6.525394355015574E-5,9.23751630455603E-6,3.191179800740185E-5,2.3285929380481273E-5,5.85981401636625E-7
3.4000000000000004,1.2565742132139983E-6,1.3806079677221317E-4,7.209898544334853E-5,7.26351798125142E-5,1.02708352395566E-5,3.696110955198379E-5,2.70583214971664E-5,6.618040125472062E-7
3.5,1.5050237892429907E-6,1.446110807411895E-4,8.00695461733657E-5,8.028874733374475E-5,1.1878244118821697E-5,4.242205074511593E-5,3.128010200639185E-5,7.643035732126623E-7
3.6,1.8866777793984045E-6,1.50478803652921E-4,8.836466822290008E-5,8.821464611384744E-5,1.3903986570120622E-5,4.8294621586798304E-5,3.588668918602945E-5,1.0147915436230975E-6
3.7,2.3275607904438637E-6,1.5561366378541924E-4,9.668954416959024E-5,9.617639691360999E-5,1.5929729021419546E-5,5.4508222637157944E-5,4.086249546755968E-5,1.2652795140335338E-6
3.8000000000000003,2.8276728223793652E-6,1.5970632382371293E-4,1.0453419337510636E-4,1.0364707494155066E-4,1.7955471472718475E-5,6.088455927031385E-5,4.620752085098247E-5,1.5157674844439695E-6
3.9000000000000004,3.3870138752049087E-6,1.6295404342277843E-4,1.1232601111217668E-4,1.1104209156098804E-4,1.99812139240174E-5,6.75519971674604E-5,5.192176533629788E-5,1.7662554548544059E-6
