% Model,COMSOL_3D_CNN_Design_1_2_Phase_2.mph
% Version,COMSOL 6.3.0.290
% Date,"Oct 16 2025, 14:47"
% Table,Table 4 - Concentration_Outlet_Pipe_1
% Time (s),Concentration_Outlet_Pipe_1 (mol/m^3),Concentration_Outlet_Pipe_1 (mol/m^3),Concentration_Outlet_Pipe_1 (mol/m^3)
0,3.6551732573710604E-193,2.8655477702097754E-192,9.934255010543036E-195
0.05,3.052508809170581E-191,-1.2013380258574597E-192,-1.2892851567362921E-194
0.1,1.5690567793491195E-190,9.064647000761577E-191,3.208690651425717E-194
0.15000000000000002,1.2546176822068593E-188,3.798576671761948E-189,9.35562121374049E-194
0.2,-1.1009529785973636E-187,-1.815423849736436E-188,8.806257895521208E-192
0.25,-2.3238738477659623E-188,-1.1415457085819335E-185,1.8564285124899278E-190
0.30000000000000004,-4.214847420094525E-183,-1.3518569648933655E-183,-3.4580400274455734E-188
0.35000000000000003,-5.167401058224993E-180,-2.72999630387148E-180,-2.695325333515659E-186
0.4,-1.0718630399248181E-177,-1.0343893899659716E-177,9.040767638395515E-185
0.45,-2.2170377332009984E-175,-5.402339848205792E-175,4.1833956294449684E-182
0.5,-8.347333743935304E-147,-2.4240791035071497E-172,2.433359012133939E-180
0.55,-1.0826538871818558E-144,8.156240353344953E-170,-3.981226463682947E-138
0.6000000000000001,-1.6429229610345585E-142,-7.770290440292589E-117,-4.556777594381848E-137
0.65,5.383098990357684E-141,-1.7309137119956285E-112,-7.578598755874467E-136
0.7000000000000001,2.998985169130871E-137,-2.818089761489858E-111,-1.5823150998057567E-134
0.75,3.2203224650336326E-134,-6.438128106788597E-110,-3.524943778144589E-133
0.8,1.6765617186211011E-131,-1.4661685826962428E-108,-9.113103703166501E-132
0.8500000000000001,1.180816633919836E-128,-3.2395530916447294E-107,-3.052968746885849E-130
0.9,3.848603097273423E-126,-7.618027381919465E-106,-1.2689091994865957E-128
0.9500000000000001,3.416690915769893E-123,-2.0708403927673115E-104,-5.426474922272133E-127
