% Model,COMSOL_3D_Design_1_1_Transmitter_CNN.mph
% Version,COMSOL 6.3.0.290
% Date,"Oct 7 2025, 14:06"
% Table,Table 22 - Concentration_Outlet_Pipe_1
% Time (s),Concentration_Outlet_Pipe_1 (mol/m^3)
0,0
0.2,3.433545088993634E-265
0.4,2.644440203072806E-181
0.6000000000000001,7.060222147968405E-177
0.8,-5.944916265893443E-103
1,-1.7617809820869024E-100
1.2000000000000002,-1.335808682396349E-97
1.4000000000000001,-1.0143633144554234E-94
1.6,-8.190500403202884E-92
1.8,-6.197212192494379E-89
2,-3.749453069988113E-86
2.2,-3.065002214734663E-83
2.4000000000000004,-5.841940553944099E-80
2.6,9.655256046934186E-58
2.8000000000000003,1.4895466523723374E-55
3,2.015289996562277E-53
3.2,4.649803357540542E-51
3.4000000000000004,1.100392810365163E-48
3.6,4.278401190090684E-46
3.8000000000000003,7.636790278457707E-44
4,1.712577075248976E-41
4.2,2.040553153225028E-39
4.4,2.409923352335987E-37
4.6000000000000005,1.9761988106075133E-35
4.800000000000001,1.3479273300788623E-33
5,7.886034772541107E-32
5.2,3.388696020025354E-30
5.4,1.4521596769211107E-28
5.6000000000000005,4.3905229124492635E-27
5.800000000000001,1.3553781073851618E-25
6,3.157861401096686E-24
6.2,6.90861379320933E-23
6.4,1.260303693648518E-21
6.6000000000000005,2.031219134298568E-20
6.800000000000001,2.924040025657668E-19
7,3.5775047751028105E-18
7.2,4.0779738302277424E-17
7.4,3.8892788517714185E-16
7.6000000000000005,3.5245355982351145E-15
7.800000000000001,2.734255820915249E-14
8,1.9656938481597407E-13
8.200000000000001,1.2651707819316475E-12
8.4,7.482035908415996E-12
8.6,4.082028828467707E-11
8.8,2.0323236658360403E-10
9,9.443762527089905E-10
9.200000000000001,4.0097545449404624E-9
9.4,1.6806101004685612E-8
9.600000000000001,7.272614700568872E-8
9.8,3.1387312209829244E-7
10,1.2497626255384918E-6
10.200000000000001,4.758615422063372E-6
10.4,1.967622466047252E-5
10.600000000000001,6.871486652467961E-5
10.8,2.1062204218853561E-4
11,5.820354830516441E-4
11.200000000000001,0.001496290509041365
11.4,0.003505403692476529
11.600000000000001,0.007562020077844374
11.8,0.01514337112863944
12,0.028458804408861928
12.200000000000001,0.050174992974278035
12.4,0.08313910513413648
12.600000000000001,0.12997400566918565
12.8,0.1923516658211278
13,0.2700905598260089
13.200000000000001,0.3607505604376729
13.4,0.45968068134450224
13.600000000000001,0.5604536331254295
13.8,0.6554878832600872
14,0.7383753001239395
14.200000000000001,0.8045806693774317
14.4,0.8521274354676992
14.600000000000001,0.8819795914836582
14.8,0.8977652804017132
15,0.9041495646591942
15.200000000000001,0.9057019732829579
15.4,0.9058271506609978
15.600000000000001,0.9066958290370294
15.8,0.9089539642807958
16,0.9123405878305337
16.2,0.9162111393882075
16.400000000000002,0.9199906391451521
16.6,0.9233617862642466
16.8,0.9262271812021753
17,0.9286080238456672
17.2,0.9306225549227592
17.400000000000002,0.9324405070166603
17.6,0.9341704674149836
17.8,0.9358480375787898
18,0.9374552819399856
18.2,0.938965285228224
18.400000000000002,0.940371134290525
18.6,0.9416819129880962
18.8,0.9429104896576778
19,0.9440690033811288
19.200000000000003,0.9451704691445664
19.400000000000002,0.946226236848588
19.6,0.947246982316512
19.8,0.9482426167218669
20,0.9492251062463836
20.200000000000003,0.9502086185482569
20.400000000000002,0.9512079847613533
20.6,0.9522386114287142
20.8,0.9533154192732056
21,0.954452811059978
21.200000000000003,0.955658108556358
21.400000000000002,0.956932352687758
21.6,0.9582700080879063
21.8,0.9596563907206849
22,0.961069254572292
22.200000000000003,0.9624809920271982
22.400000000000002,0.9638596365174524
22.6,0.9651722282648504
22.8,0.9663850732380498
23,0.9674791157795145
23.200000000000003,0.968438990808093
23.400000000000002,0.9692589100924112
23.6,0.9699471158435771
23.8,0.9705200396656603
24,0.970999989355642
24.200000000000003,0.9714118010066617
24.400000000000002,0.9717793703025945
24.6,0.9721251048171968
24.8,0.9724658936041949
25,0.9728118707551103
25.200000000000003,0.9731691951926267
25.400000000000002,0.9735403748151586
25.6,0.9739263459879547
25.8,0.9743273786045351
26,0.9747443669497168
26.200000000000003,0.9751793641822785
26.400000000000002,0.9756353830686345
26.6,0.9761156787745534
26.8,0.9766225958638215
27,0.9771566549502423
27.200000000000003,0.9777163771164757
27.400000000000002,0.9782979106492244
27.6,0.978895053329288
27.8,0.9794999664568708
28,0.9801022601454132
28.200000000000003,0.9806907857939499
28.400000000000002,0.9812558802486214
28.6,0.9817880965692184
28.8,0.9822794368714519
29,0.9827235262324273
29.200000000000003,0.9831204155644908
29.400000000000002,0.9834708167854027
29.6,0.9837782200373858
29.8,0.9840452851470596
30,0.984290777925144
30.200000000000003,0.9845095602868983
