% Model,COMSOL_3D_CNN_Design_1_2_Phase_2.mph
% Version,COMSOL 6.3.0.290
% Date,"Oct 16 2025, 15:53"
% Table,Table 5 - Concentration_Outlet_Pipe_2
% Time (s),Concentration_Outlet_Pipe_2 (mol/m^3),Concentration_Outlet_Pipe_2 (mol/m^3),Concentration_Outlet_Pipe_2 (mol/m^3),Concentration_Outlet_Pipe_2 (mol/m^3)
0,5.664617526970447E-196,1.142241599687364E-197,1.142241599687364E-197,4.408096018304798E-197
0.05,3.951056904823233E-193,2.2529414867445815E-197,2.2529414867445815E-197,2.394912596637265E-194
0.1,5.6323497930191165E-192,4.735208270126992E-196,4.735208270126992E-196,-1.5988931432620202E-193
0.15000000000000002,3.216366210748457E-190,-2.2203439594852332E-194,-2.2203439594852332E-194,1.2987509259002979E-191
0.2,3.2342668717731424E-188,-4.3014485401600574E-193,-4.3014485401600574E-193,3.845506141828812E-190
0.25,5.009421005316169E-186,1.2859827144206061E-191,1.2859827144206061E-191,-7.889617470815464E-189
0.30000000000000004,-2.1089939868291064E-183,-2.1614808464125834E-189,-2.1614808464125834E-189,-2.7119659679148438E-186
0.35000000000000003,-1.327795793863651E-180,-1.581003316992432E-187,-1.581003316992432E-187,-1.3859843835887859E-183
0.4,-2.68637833649659E-178,1.569382631544003E-185,1.569382631544003E-185,-2.3404702253273407E-181
0.45,-5.506609639998445E-176,5.703962415500096E-183,5.703962415500096E-183,-2.9538540180640066E-156
0.5,-7.196504076488794E-149,5.880712691282195E-181,5.880712691282195E-181,-3.359958604341744E-155
0.55,-5.574369996970673E-147,-5.652272349910953E-140,-5.652272349910953E-140,-1.8300197039038703E-152
0.6000000000000001,-2.0222105942040862E-144,-4.127195287894278E-140,-4.127195287894278E-140,-3.623133436162134E-150
0.65,-8.770980779106266E-143,-1.2346126693432525E-138,-1.2346126693432525E-138,-6.36582823333714E-148
0.7000000000000001,9.165637078236111E-140,-1.1277969716785525E-136,-1.1277969716785525E-136,-1.5136338594527729E-145
0.75,1.3230924831867914E-136,-4.0850876697774076E-135,-4.0850876697774076E-135,-2.717126593588952E-143
0.8,7.387707295678456E-134,-8.12738519147817E-134,-8.12738519147817E-134,-7.319118360677972E-141
0.8500000000000001,3.5019754670120967E-131,-3.923054045491026E-132,-3.923054045491026E-132,-1.7890050973257003E-138
0.9,2.7738228172644973E-129,-2.6611282630829104E-130,-2.6611282630829104E-130,-3.3364700911113407E-136
0.9500000000000001,1.0522380782494459E-125,-1.512494123220133E-128,-1.512494123220133E-128,-2.1052032805746978E-91
1,3.140852279751168E-122,-7.994332849469023E-127,-7.994332849469023E-127,-6.476152295989744E-91
1.05,2.524887891877287E-119,-4.1818311466111045E-125,-4.1818311466111045E-125,-1.1797690793463648E-91
1.1,-2.404642497800536E-78,-2.0452016682353374E-123,-2.0452016682353374E-123,2.79391054519632E-90
1.1500000000000001,-1.2129931660296467E-78,-1.1373075362406758E-121,-1.1373075362406758E-121,2.7854398861346484E-89
1.2000000000000002,2.4836640353453907E-78,-5.099617781379575E-120,-5.099617781379575E-120,2.0267361635756285E-88
1.25,3.4643834876366124E-77,-6.467783294901119E-81,-6.467783294901119E-81,1.7845899763921202E-87
1.3,2.61394420258007E-76,-4.968331219591563E-80,-4.968331219591563E-80,1.2491064535411802E-86
1.35,2.2829256307012357E-75,-3.005630280722293E-80,-3.005630280722293E-80,9.532085986556643E-86
1.4000000000000001,1.5956459432399974E-74,3.2015213260900147E-81,3.2015213260900147E-81,5.584624141452118E-85
1.4500000000000002,1.151585440819366E-73,1.6559574217722102E-79,1.6559574217722102E-79,1.4942749146239286E-84
1.5,7.226302630135166E-73,1.1694994191674394E-78,1.1694994191674394E-78,-4.028323140513489E-83
1.55,3.8758896558502144E-72,6.672398814495224E-78,6.672398814495224E-78,-1.4254272426799605E-81
1.6,1.248709117845694E-71,3.502265111284439E-77,3.502265111284439E-77,-2.2130007826142726E-80
1.6500000000000001,-7.181238100338897E-71,1.7284954408472935E-76,1.7284954408472935E-76,-3.2431917672877343E-79
1.7000000000000002,-2.6755680638565455E-69,8.491623259014734E-76,8.491623259014734E-76,-3.514220868839489E-78
1.75,-3.255081483256888E-68,4.2368151009780523E-75,4.2368151009780523E-75,-3.8095066690448886E-77
1.8,-4.326455363065097E-67,1.9631946085604204E-74,1.9631946085604204E-74,-3.756062345415272E-76
1.85,-4.350989857636136E-66,8.46186892867903E-74,8.46186892867903E-74,-4.592091703504161E-75
1.9000000000000001,-5.0363849454745845E-65,3.342001190368366E-73,3.342001190368366E-73,-7.378119078252303E-74
1.9500000000000002,-6.228988245130591E-64,1.169742789051319E-72,1.169742789051319E-72,-1.370134108769709E-72
2,-9.686335945215412E-63,2.394108706961535E-72,2.394108706961535E-72,-2.40257268683913E-71
2.0500000000000003,-2.1525527674442074E-61,-9.246034450408894E-72,-9.246034450408894E-72,-3.2870265744865975E-70
2.1,-3.491624212707272E-60,-1.562960905783361E-70,-1.562960905783361E-70,-2.794758546547703E-69
2.15,-9.262941166879813E-59,-1.2829414373012577E-69,-1.2829414373012577E-69,-1.4075429222317539E-68
2.2,-1.4142340725378698E-57,-1.0246100620266854E-68,-1.0246100620266854E-68,2.269057096437458E-68
2.25,-5.598771422377574E-57,-7.088023673481421E-68,-7.088023673481421E-68,2.5993745584442006E-66
2.3000000000000003,-4.93276454358931E-56,-4.461242105407017E-67,-4.461242105407017E-67,-5.193016913321503E-47
2.35,-6.82608759824633E-55,-2.6764521609325845E-66,-2.6764521609325845E-66,-6.591889579511574E-46
2.4000000000000004,-8.967102824822198E-54,-1.6163719326652827E-65,-1.6163719326652827E-65,-6.686880217586939E-46
2.45,-9.471841095143963E-53,-1.2229844172121599E-64,-1.2229844172121599E-64,-3.910764325596186E-46
2.5,-1.1384660579694777E-51,-9.479404852187571E-64,-9.479404852187571E-64,-1.7714125317712464E-46
2.5500000000000003,-1.0104071439760764E-50,-7.664429435177015E-63,-7.664429435177015E-63,2.7414699871273625E-46
2.6,-2.8428989089768467E-37,-6.385524052815141E-62,-6.385524052815141E-62,1.5871290968606955E-45
2.6500000000000004,-5.150513526970935E-37,1.5739678039285667E-61,1.5739678039285667E-61,4.755461242806472E-45
2.7,-3.143348754129314E-37,2.6030294722574985E-60,2.6030294722574985E-60,4.0645840024581964E-45
2.75,-3.36912316710227E-37,1.8168299677282476E-59,1.8168299677282476E-59,-6.833182561206274E-44
2.8000000000000003,-9.061067001240602E-37,1.0480357412668249E-58,1.0480357412668249E-58,-6.70646582415096E-43
2.85,-4.518188835432247E-36,5.0888042516685895E-58,5.0888042516685895E-58,-4.375421126433072E-42
2.9000000000000004,-2.6887701028373013E-35,1.8045169729038564E-57,1.8045169729038564E-57,-2.3940847313623394E-41
2.95,-1.5572995395791342E-34,-2.3685983873159079E-57,-2.3685983873159079E-57,-1.1282673454639803E-40
3,-7.532860239944533E-34,-1.202611279941132E-55,-1.202611279941132E-55,-7.028624952709775E-40
3.0500000000000003,-4.7161170434629415E-33,-1.4214315047055854E-54,-1.4214315047055854E-54,-4.334095345354758E-39
3.1,-3.1010167753603044E-32,-1.250021138197353E-53,-1.250021138197353E-53,-2.5773135479577203E-38
3.1500000000000004,-1.8206974254627447E-31,-4.331794694621203E-38,-4.331794694621203E-38,-1.4477099107986556E-37
3.2,-9.302792105957644E-31,-1.0499745457640617E-37,-1.0499745457640617E-37,-7.4969905027132E-37
3.25,-3.985763346881862E-30,-7.869205886152641E-38,-7.869205886152641E-38,-3.487820864485788E-36
3.3000000000000003,-2.0763149842299018E-29,-6.193095530763841E-38,-6.193095530763841E-38,-1.7879864422737288E-35
3.35,-1.0675504933094785E-28,-7.466614905288213E-38,-7.466614905288213E-38,-9.653943262278947E-35
3.4000000000000004,-4.947682689591552E-28,-1.3959754542546258E-37,-1.3959754542546258E-37,-4.86832976621274E-34
3.45,-2.0506088571545344E-27,-4.04074492702885E-37,-4.04074492702885E-37,-2.2877030463451697E-33
3.5,-7.511204812010438E-27,-1.2288294442497612E-36,-1.2288294442497612E-36,-9.988826281821743E-33
3.5500000000000003,-3.188428704296832E-26,-3.5471041006221564E-36,-3.5471041006221564E-36,-4.7883762361152844E-32
3.6,-1.312658991465114E-25,-1.4388639233060905E-35,-1.4388639233060905E-35,-2.772879862950953E-31
3.6500000000000004,-4.977521264989617E-25,-5.327388769969485E-35,-5.327388769969485E-35,-1.258398348836425E-30
