% Model,COMSOL_3D_CNN_Design_1_1_Phase_1.mph
% Version,COMSOL 6.3.0.290
% Date,"Oct 13 2025, 09:10"
% Table,Table 46 - Concentration Pipe_2
% Time (s),Concentration Pipe_2 (mol/m^3),Concentration Pipe_2 (mol/m^3),Concentration Pipe_2 (mol/m^3)
0,-9.245160208703718E-164,-4.518953536025012E-163,-2.0766764482709176E-163
0.4,1.1614971151252182E-141,8.189419656579612E-138,-2.3248731819508064E-131
0.8,-4.583349516948433E-85,-8.044345525430723E-91,-7.260802490053027E-79
1.2000000000000002,-6.7205813561095125E-71,-2.0230577849073795E-57,-1.2427751297777132E-65
1.6,-4.581028714171684E-47,-1.3490110549142852E-47,-3.289367223187149E-54
2,-6.467592280616645E-40,-1.1468702206281658E-39,1.1224110185821516E-37
2.4000000000000004,6.521166661411265E-33,-7.708213620490206E-34,4.88834302811063E-31
2.8000000000000003,1.784398837097428E-27,-1.8081921408688518E-24,4.776454527865926E-26
3.2,2.093423129945701E-23,-1.7020899173712036E-19,-6.615760366625379E-22
3.6,-9.514580963617851E-18,-9.5865217755407E-16,-1.119500233914904E-17
4,-4.8899874467634627E-14,-8.495902459771671E-13,-2.1315964611066158E-14
4.4,9.003613420026324E-12,7.251769597730758E-10,3.927243216536861E-11
4.800000000000001,1.6916582065500933E-8,1.0110311349993511E-7,4.271253448425956E-8
5.2,1.1917176172616733E-6,5.836431508926954E-6,3.246212504452928E-6
5.6000000000000005,4.086339845894012E-5,1.7123271840936428E-4,1.0460625362093257E-4
6,7.532154432942878E-4,0.0027597598082218042,0.0017457800295314285
6.4,0.008113125296513288,0.02572466421002992,0.016399372024751235
6.800000000000001,0.054247470170336015,0.1463787076654193,0.09540993369896635
7.2,0.23701117430320973,0.5277102783571516,0.36553666419668973
7.6000000000000005,0.7084616571437043,1.2709241197790488,0.9680803132018131
8,1.5092801613678264,2.2264680458286747,1.8691448136780064
8.4,2.437734662942731,3.0557555559834704,2.7777452529597713
8.8,3.1881642253766214,3.5258733899242904,3.390390306284496
9.200000000000001,3.5903176059442723,3.678131275958369,3.655097261062817
9.600000000000001,3.705420340001754,3.6838237178515385,3.7010071588697087
10,3.694922195278621,3.6695058352635583,3.680591893999777
10.4,3.6738231037892843,3.666161614125597,3.6681400269614537
10.8,3.669084902153433,3.6674018327554543,3.667659912796462
11.200000000000001,3.671243470459346,3.6678242180111336,3.6697210662396644
11.600000000000001,3.672420540853531,3.6681160584943524,3.6704628020541983
12,3.6728145484867185,3.670484560773559,3.6720735513307345
12.4,3.675452264027625,3.6823057103465198,3.6804785460407436
12.8,3.6875791391779495,3.7307121820565006,3.71326877071896
13.200000000000001,3.7323166152942906,3.8980833341559755,3.8219170523808157
13.600000000000001,3.8742559011658484,4.393157364682949,4.133280874254059
