% Model,COMSOL_3D_CNN_Design_1_2_Phase_2.mph
% Version,COMSOL 6.3.0.290
% Date,"Oct 16 2025, 12:17"
% Table,Table 5 - Concentration_Outlet_Pipe_2
% Time (s),Concentration_Outlet_Pipe_2 (mol/m^3)
0,5.664617526970447E-196
0.05,3.951056904823233E-193
0.1,5.6323497930191165E-192
0.15000000000000002,3.216366210748457E-190
0.2,3.2342668717731424E-188
0.25,5.009421005316169E-186
0.30000000000000004,-2.1089939868291064E-183
0.35000000000000003,-1.327795793863651E-180
0.4,-2.68637833649659E-178
0.45,-5.506609639998445E-176
0.5,-7.196504076488794E-149
0.55,-5.574369996970673E-147
0.6000000000000001,-2.0222105942040862E-144
0.65,-8.770980779106266E-143
0.7000000000000001,9.165637078236111E-140
0.75,1.3230924831867914E-136
0.8,7.387707295678456E-134
0.8500000000000001,3.5019754670120967E-131
0.9,2.7738228172644973E-129
0.9500000000000001,1.0522380782494459E-125
1,3.140852279751168E-122
1.05,2.524887891877287E-119
1.1,-2.404642497800536E-78
1.1500000000000001,-1.2129931660296467E-78
1.2000000000000002,2.4836640353453907E-78
1.25,3.4643834876366124E-77
1.3,2.61394420258007E-76
1.35,2.2829256307012357E-75
1.4000000000000001,1.5956459432399974E-74
1.4500000000000002,1.151585440819366E-73
1.5,7.226302630135166E-73
1.55,3.8758896558502144E-72
1.6,1.248709117845694E-71
1.6500000000000001,-7.181238100338897E-71
1.7000000000000002,-2.6755680638565455E-69
1.75,-3.255081483256888E-68
1.8,-4.326455363065097E-67
1.85,-4.350989857636136E-66
1.9000000000000001,-5.0363849454745845E-65
1.9500000000000002,-6.228988245130591E-64
2,-9.686335945215412E-63
2.0500000000000003,-2.1525527674442074E-61
2.1,-3.491624212707272E-60
2.15,-9.262941166879813E-59
2.2,-1.4142340725378698E-57
2.25,-5.598771422377574E-57
2.3000000000000003,-4.93276454358931E-56
2.35,-6.82608759824633E-55
2.4000000000000004,-8.967102824822198E-54
2.45,-9.471841095143963E-53
2.5,-1.1384660579694777E-51
2.5500000000000003,-1.0104071439760764E-50
2.6,-2.8428989089768467E-37
2.6500000000000004,-5.150513526970935E-37
2.7,-3.143348754129314E-37
2.75,-3.36912316710227E-37
2.8000000000000003,-9.061067001240602E-37
2.85,-4.518188835432247E-36
2.9000000000000004,-2.6887701028373013E-35
2.95,-1.5572995395791342E-34
3,-7.532860239944533E-34
3.0500000000000003,-4.7161170434629415E-33
3.1,-3.1010167753603044E-32
3.1500000000000004,-1.8206974254627447E-31
3.2,-9.302792105957644E-31
3.25,-3.985763346881862E-30
3.3000000000000003,-2.0763149842299018E-29
3.35,-1.0675504933094785E-28
3.4000000000000004,-4.947682689591552E-28
3.45,-2.0506088571545344E-27
3.5,-7.511204812010438E-27
3.5500000000000003,-3.188428704296832E-26
3.6,-1.312658991465114E-25
3.6500000000000004,-4.977521264989617E-25
3.7,-1.734100129587038E-24
3.75,-5.5396212638172E-24
3.8000000000000003,-1.9773458842295528E-23
3.85,-6.809218761545206E-23
3.9000000000000004,-2.1967420256108235E-22
3.95,-6.640521491213502E-22
4,-1.885173416707927E-21
4.05,-5.810496375552872E-21
4.1000000000000005,-1.724539504053329E-20
4.15,-4.850412808957001E-20
4.2,-1.2950468867683474E-19
4.25,-3.2968053514162835E-19
4.3,-8.876459729158308E-19
4.3500000000000005,-2.2979758621823346E-18
4.4,-5.6783714597880756E-18
4.45,-1.3430715997759732E-17
4.5,-3.0564246312212126E-17
4.55,-7.157125900309009E-17
4.6000000000000005,-1.5997221713441815E-16
4.65,-3.1681989702944255E-16
4.7,-5.530071156969033E-16
4.75,-8.615002391457205E-16
4.800000000000001,-9.9797844381704E-16
4.8500000000000005,-4.6545342723661585E-17
4.9,4.533486727827532E-15
4.95,1.9200753987593376E-14
5,5.943098186538329E-14
5.050000000000001,1.999439954758021E-13
