% Model,COMSOL_3D_CNN_Design_1_2_Phase_2.mph
% Version,COMSOL 6.3.0.290
% Date,"Oct 2 2025, 23:09"
% Table,Table 31 - 3D_Pipe_2_Outlet_Concentration_Surface_Average
% Time (s),"Molar concentration, c2 (mol/m^3)"
0,1.8632929645072365E-131
0.1,6.742976220315091E-129
0.2,-1.3967890493325245E-111
0.30000000000000004,1.8123268104871659E-99
0.4,5.223009130543736E-65
0.5,9.768589991159894E-61
0.6000000000000001,9.987322771683672E-57
0.7000000000000001,1.0606742135345338E-52
0.8,4.76937088294126E-49
0.9,1.7936265553602797E-37
1,4.0370774735954245E-35
1.1,7.126666159172525E-33
1.2000000000000002,8.170418459099997E-31
1.3,5.9339497655107E-29
1.4000000000000001,2.8686441016498347E-27
1.5,9.815554926728003E-26
1.6,2.512436597517441E-24
1.7000000000000002,5.423129992939391E-23
1.8,8.972260338121972E-22
1.9000000000000001,1.1275311213257317E-20
2,9.872010853611904E-20
2.1,-8.732866160354226E-17
2.2,-1.320357083726721E-15
2.3000000000000003,-1.6508864423142787E-14
2.4000000000000004,-1.3934392448626428E-13
2.5,-4.556246067581264E-13
2.6,4.171878171892812E-12
2.7,1.1524886102696475E-10
2.8000000000000003,8.48196598592172E-10
2.9000000000000004,4.0024275461202515E-9
3,1.5902375324601848E-8
3.1,5.627252253054508E-8
3.2,1.8055979109649744E-7
3.3000000000000003,5.319916848643853E-7
3.4000000000000004,1.4516455890564049E-6
3.5,3.7858923877791518E-6
3.6,9.206776918849753E-6
3.7,2.0967839508888727E-5
3.8000000000000003,4.497280936425424E-5
3.9000000000000004,9.12304137957406E-5
4,1.757885092150826E-4
4.1000000000000005,3.2399364656957366E-4
4.2,5.681695838127763E-4
4.3,9.498971977172148E-4
4.4,0.001517107680930664
4.5,0.002319944031897714
4.6000000000000005,0.0034052603441860857
4.7,0.004806386759076875
4.800000000000001,0.006531520454657081
4.9,0.008564486541235527
5,0.010858299374438789
5.1000000000000005,0.013335088340806883
5.2,0.01588804459303895
5.300000000000001,0.01839592563112017
5.4,0.020727838354652042
5.5,0.022843393024625857
5.6000000000000005,0.024687199821061722
5.7,0.026198886327502252
5.800000000000001,0.027395531874265047
5.9,0.028281195013650645
6,0.02891122590243689
6.1000000000000005,0.0293053285622032
6.2,0.029517764996705123
6.300000000000001,0.029603570544723026
6.4,0.02958988554883223
6.5,0.02953814259452709
6.6000000000000005,0.029470901505602453
6.7,0.0294050309504679
6.800000000000001,0.02935694574027116
6.9,0.02932371264643716
7,0.0293067185661899
7.1000000000000005,0.029302114703072438
7.2,0.02930838422227273
7.300000000000001,0.029323735959117473
7.4,0.029348706298168607
7.5,0.02938680694652558
7.6000000000000005,0.02944219457713383
7.7,0.02953245264314096
7.800000000000001,0.02966780415484968
7.9,0.029870426281841663
8,0.03019170615242673
8.1,0.030656665092879957
8.200000000000001,0.031332842263932716
8.3,0.03232838260109321
8.4,0.033703299432608545
8.5,0.03561822885379969
8.6,0.0382568990169704
8.700000000000001,0.04174235900870998
8.8,0.046378339060708304
8.9,0.05240573863712597
9,0.06003384678863014
9.1,0.06970860715257324
9.200000000000001,0.08165981516302331
9.3,0.09616723284245174
9.4,0.11369978672611795
9.5,0.13438145464769213
9.600000000000001,0.15846681753126948
