% Model,COMSOL_3D_CNN_Design_1_1_Phase_1.mph
% Version,COMSOL 6.3.0.290
% Date,"Oct 9 2025, 16:34"
% Table,Table 32 - 3D_Pipe_2_Outlet_Concentration_Surface_Average
% Time (s),Concentration Pipe_2 (mol/m^3)
0,-1.5625403036078759E-142
0.2,6.907725075519261E-140
0.4,1.2395549167327214E-116
0.6000000000000001,1.0558227426687429E-104
0.8,-1.6443303597394982E-70
1,-3.286210146533454E-66
1.2000000000000002,-6.094684255658454E-62
1.4000000000000001,-6.902337941447491E-58
1.6,-3.555423013547461E-54
1.8,-8.071307499873502E-51
2,-6.395980694295259E-40
2.2,-1.3826011643760524E-37
2.4000000000000004,-3.9917327350111866E-35
2.6,-7.374425155301786E-33
2.8000000000000003,-8.361108063768637E-31
3,-6.026630270875124E-29
3.2,-2.872451593309693E-27
3.4000000000000004,-9.146584753128522E-26
3.6,-1.8110549008577053E-24
3.8000000000000003,-1.1726656085837739E-23
4,6.155855897111598E-22
4.2,3.1107075667074155E-20
4.4,8.105372953455259E-19
4.6000000000000005,1.5150764649702267E-17
4.800000000000001,2.226135575564622E-16
5,2.689911875675907E-15
5.2,2.336040924710011E-13
5.4,3.152880403741841E-12
5.6000000000000005,4.8433063204674345E-11
5.800000000000001,4.4670442883438367E-10
6,2.7184068542205035E-9
6.2,1.2791284554215588E-8
6.4,5.160310609083817E-8
6.6000000000000005,1.8734873731685254E-7
6.800000000000001,6.359846648855973E-7
7,1.9385672685349824E-6
7.2,5.379729997764065E-6
7.4,1.3732395736073414E-5
7.6000000000000005,3.2496806631082114E-5
7.800000000000001,7.216822754468304E-5
8,1.5087071845803118E-4
8.200000000000001,2.9549811400474406E-4
8.4,5.444976678158122E-4
8.6,9.473249127025809E-4
8.8,0.0015610737570401667
9,0.0024448946922028592
9.200000000000001,0.0036426572784182157
9.4,0.00517249126384707
9.600000000000001,0.007016772052994051
9.8,0.009114480515462013
10,0.011363189427153147
10.200000000000001,0.01362196192907467
10.4,0.015750496062167038
10.600000000000001,0.017619727292201872
10.8,0.019134089354556794
11,0.020248144620377648
11.200000000000001,0.02097273390825576
11.4,0.02136836504914214
11.600000000000001,0.021503848904934317
11.8,0.0214671868277232
12,0.02136615512823183
12.200000000000001,0.021258722474405196
12.4,0.021169724615192217
12.600000000000001,0.021102594749996824
12.8,0.021071560639404383
13,0.021063434269620464
13.200000000000001,0.02107346213499947
13.4,0.021088856382934618
13.600000000000001,0.02110486390112151
13.8,0.02111794194795943
14,0.0211252977266915
14.200000000000001,0.021129017556955794
14.4,0.021130066586199227
14.600000000000001,0.021132237448343937
14.8,0.02113751572725782
15,0.02114880623235376
15.200000000000001,0.021173324909903396
15.4,0.021216595346539295
15.600000000000001,0.021287493367663567
15.8,0.021414602284817414
16,0.021614491508273343
16.2,0.021923652422918233
16.400000000000002,0.022429033251796786
16.6,0.023174868936069352
16.8,0.024278901212071515
17,0.025934748286667933
17.2,0.028250300584472775
17.400000000000002,0.031513326431639996
17.6,0.03605454297925719
17.8,0.0420924444020859
18,0.05016347367601893
18.2,0.06068528334008231
18.400000000000002,0.07401071389864922
18.6,0.09086659929577072
18.8,0.11159172518772807
19,0.13659401398796542
19.200000000000003,0.16646126742858636
19.400000000000002,0.20125694985319068
19.6,0.24119453948954084
19.8,0.2861795979099002
20,0.33593291738017794
20.200000000000003,0.3901053344424405
20.400000000000002,0.44751367972659634
20.6,0.5077148626803906
20.8,0.5695036113805861
21,0.6311000244435252
21.200000000000003,0.6919233251613816
21.400000000000002,0.7502530267993152
21.6,0.804647984305829
21.8,0.8545297840648305
22,0.8985554033091572
22.200000000000003,0.9362548993539808
22.400000000000002,0.9673620690355056
22.6,0.9916995486131206
22.8,1.0096957436365612
23,1.0216623521330501
23.200000000000003,1.0286526393696618
23.400000000000002,1.031318118801334
23.6,1.0304266550387584
23.8,1.0274062114112748
24,1.0226994841888057
24.200000000000003,1.0171673113367794
24.400000000000002,1.0118621318413263
24.6,1.0068736620210528
24.8,1.0027259058372204
25,0.9996429097744587
25.200000000000003,0.9974626155987237
25.400000000000002,0.9960351389223999
25.6,0.9954092392050012
25.8,0.9953796347560138
26,0.9956145941942465
26.200000000000003,0.9963446456499115
26.400000000000002,0.99716559410323
26.6,0.9979297943162381
26.8,0.9988076828344958
27,0.9994684854847288
27.200000000000003,0.9999939591825818
27.400000000000002,1.000415865667561
27.6,1.000664450764751
27.8,1.0007742373055297
28,1.0007741118701317
28.200000000000003,1.0007279732884502
28.400000000000002,1.000597820566025
28.6,1.0004485366614821
28.8,1.000315626843927
29,1.0001659129722158
29.200000000000003,1.0000536337917938
29.400000000000002,0.9999704981657802
29.6,0.999908038342889
29.8,0.9998740494595714
30,0.9998647755949793
30.200000000000003,0.9998747608305788
30.400000000000002,0.999888360223744
30.6,0.9999144552063225
30.8,0.9999425796570518
31,0.9999647646206974
31.200000000000003,0.9999874600582873
31.400000000000002,1.0000038428538316
31.6,1.0000142344098073
31.8,1.0000201137999154
32,1.000022796023776
32.2,1.0000216631113208
32.4,1.000017645076412
32.6,1.0000142543526125
32.800000000000004,1.0000095758476313
33,1.000004965767805
33.2,1.0000018038529639
33.4,0.9999990853141554
33.6,0.9999972873203141
33.800000000000004,0.9999964444025855
34,0.999996424913733
34.2,0.9999962064023854
34.4,0.9999962064047584
34.6,0.9999964568247127
34.800000000000004,0.9999969576622484
35,0.9999977089173663
35.2,0.9999984079330966
35.4,0.9999987972286047
35.6,0.9999992035757681
35.800000000000004,0.9999996269745894
36,1.0000000674250664
36.2,1.000000408356148
36.4,1.0000005639174525
36.6,1.0000006440571836
36.800000000000004,1.0000006487753432
37,1.0000005780719294
37.2,1.0000004744726332
37.4,1.0000003955647765
37.6,1.0000003166569202
37.800000000000004,1.000000237749064
38,1.0000001588412082
38.2,1.0000001091830542
38.400000000000006,1.0000000864148801
38.6,1.0000000636467068
38.800000000000004,1.000000040878533
39,1.0000000181103594
39.2,1.0000000070930943
39.400000000000006,1.0000000057058835
39.6,1.0000000043186714
39.800000000000004,1.0000000029314606
40,1.00000000154425
