% Model,CNN_Q_5uL_min_Design_1_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Nov 19 2025, 10:38"
% Table,Table 1 - Concentration_Outlet_Pipe_1
% Time (s),Concentration_Outlet_Pipe_1 (mol/m^3),Concentration_Outlet_Pipe_2 (mol/m^3),Concentration_Outlet_Pipe_3 (mol/m^3)
0,1.4334289993145292E-198,3.71371897950451E-201,-1.7634360135067437E-200
0.4,1.3829733132998126E-12,7.747082690056971E-15,2.858907362832225E-14
0.8,2.9051795140224245E-8,4.304486223423543E-10,1.028790044661857E-9
1.2000000000000002,6.797253428792295E-7,1.5656265359749295E-8,3.361530667913051E-8
1.6,3.995319387374145E-6,9.617447181322874E-8,2.0662021319412088E-7
2,1.4707282582063572E-5,3.648354335914778E-7,7.820094035291586E-7
2.4000000000000004,4.218081372551873E-5,1.08482892906499E-6,2.307942761851931E-6
2.8000000000000003,8.91165662391432E-5,2.382847799370572E-6,4.9925612638895E-6
3.2,1.5165656709012818E-4,4.308926761873868E-6,8.696351402289131E-6
3.6,2.262735222295407E-4,6.98134557800261E-6,1.3261785935720452E-5
4,3.0735158225907963E-4,1.062261778685421E-5,1.8384424202754617E-5
4.4,3.8204474598602014E-4,1.5832108772937492E-5,2.331831810638113E-5
4.800000000000001,4.4561826725670743E-4,2.318312131404727E-5,2.7738114864797193E-5
5.2,4.894490451238436E-4,3.383450781665088E-5,3.1033889754700336E-5
5.6000000000000005,5.134734230566356E-4,5.0059507629317145E-5,3.324481271744861E-5
6,5.184696573777573E-4,7.208552565798151E-5,3.4441470865128786E-5
6.4,5.105890512465373E-4,1.0271013150162598E-4,3.514841828860928E-5
6.800000000000001,5.005577858887034E-4,1.4382132992548686E-4,3.6056681848647695E-5
7.2,4.950575020511638E-4,1.954283390029361E-4,3.830184462536451E-5
7.6000000000000005,4.93667166559396E-4,2.5480430871890067E-4,4.294126849732209E-5
8,4.940518932246061E-4,3.162249763136827E-4,5.106338922108403E-5
8.4,4.95005280081036E-4,3.7166366500664263E-4,6.429840531649247E-5
8.8,4.981078818781881E-4,4.1314072630753846E-4,8.487144217589256E-5
9.200000000000001,5.193089840258679E-4,4.36220279159286E-4,1.1582080938523697E-4
9.600000000000001,7.299465390604412E-4,4.4581961343606824E-4,1.6641953226402876E-4
10,0.0018143430898842597,4.6579758496540397E-4,2.785123168777345E-4
10.4,0.0029341574286783642,4.943274773421647E-4,4.273244136645007E-4
10.8,0.003147902704491869,5.002562788186128E-4,5.290790857902026E-4
11.200000000000001,0.0029314058573447323,4.9474116545197E-4,5.983903914868707E-4
11.600000000000001,0.0024877993373059386,4.8318875104916466E-4,6.411044916763512E-4
12,0.0019276756138401862,4.6746429900330585E-4,6.563484537146468E-4
12.4,0.0014109918327132704,4.569041473244007E-4,6.516698332756496E-4
12.8,9.431714704288849E-4,5.035616521921605E-4,6.280041806137744E-4
13.200000000000001,7.443710517458718E-4,8.441299970669602E-4,6.088584152148828E-4
13.600000000000001,6.410072634422552E-4,0.001664541992562137,5.929863836204178E-4
14,4.2270849293608626E-4,0.0024646414626113456,5.748071023445946E-4
14.4,5.148990508871218E-5,0.002668986555861818,5.480503184906951E-4
14.8,1.1852287159053946E-5,0.002410073222936192,5.423446337153912E-4
15.200000000000001,1.4139989807556763E-5,0.0019946404833808334,5.480715529285624E-4
15.600000000000001,1.1281789268103266E-5,0.00154104894670667,5.822964728005758E-4
