% Model,COMSOL_Single_Pipe.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 16 2026, 14:05"
% Table,Table_c_Pipe_1 - c_Pipe_1
% Time (s),c_Pipe_1 (mol/m^3)
0,1.3881831742552736E-186
0.01,8.30777219665286E-188
0.02,3.477768911588354E-184
0.03,3.328471846586853E-173
0.04,4.130218661030957E-166
0.05,1.1891461482525887E-158
0.06,2.1218419638308524E-108
0.07,2.4440951102686554E-104
0.08,2.0551732510478276E-100
0.09,2.9493155014071472E-96
0.1,2.4755533480755504E-92
0.11,1.6140409132083886E-88
0.12,9.115004506893781E-85
0.13,2.9513511882197583E-61
0.14,5.558027500892404E-59
0.15,1.0293535798458548E-56
0.16,1.8284089492665003E-54
0.17,2.953097447660857E-52
0.18,4.1057196661277757E-50
0.19,4.750031303177668E-48
0.2,4.518557808494776E-46
0.21,3.5401063320469834E-44
0.22,2.302865923879344E-42
0.23,3.452776315130626E-31
0.24,6.230142305665302E-30
0.25,9.60277031817802E-29
0.26,1.401221101373946E-27
0.27,2.321340733147956E-26
0.28,3.6789311524877324E-25
0.29,4.696787862319784E-24
0.3,5.089640583966083E-23
0.31,4.811574762945067E-22
0.32,4.038902713321549E-21
0.33,3.048942578826526E-20
0.34,2.090344565180972E-19
0.35000000000000003,1.3781819495504631E-18
0.36,8.973422093197388E-18
0.37,5.2122407002463505E-17
0.38,1.8650228725045357E-14
0.39,1.2533402964234112E-13
0.4,1.1022225019028661E-12
0.41000000000000003,3.642498868331311E-12
0.42,1.967272470483892E-11
0.43,5.192349831009699E-11
0.44,2.1361401521931202E-10
0.45,5.819703607845266E-10
0.46,1.6963298481077406E-9
0.47000000000000003,4.5851377628968495E-9
0.48,1.1250691863033572E-8
0.49,2.9874274339540226E-8
0.5,6.505199106547195E-8
0.51,1.63592709005257E-7
0.52,3.357324966145933E-7
0.53,7.604213307304139E-7
0.54,1.525563847945883E-6
0.55,3.0681016554930766E-6
0.56,5.944765318503581E-6
0.5700000000000001,1.0922782909064942E-5
0.58,2.032191431462701E-5
0.59,3.475252955681343E-5
0.6,6.192317446704211E-5
0.61,1.0220322208989706E-4
0.62,1.7021763331259926E-4
0.63,2.7140518962517186E-4
0.64,4.260970838752216E-4
0.65,6.555224960834761E-4
0.66,9.788209712990547E-4
0.67,0.0014524885709328356
0.68,0.002082159891740964
0.6900000000000001,0.002973829739565942
0.7000000000000001,0.004126566831158805
0.71,0.005661181448785431
0.72,0.007611606029219596
0.73,0.010076843947818553
0.74,0.013144672824075526
0.75,0.016859551827627828
0.76,0.021371266883664555
0.77,0.026666615738295447
0.78,0.03288904134885683
0.79,0.040025954886402364
0.8,0.04816134580430835
0.81,0.057288118810437605
0.8200000000000001,0.06742645239297401
0.8300000000000001,0.07856654505847704
0.84,0.09070544390904721
0.85,0.10371546085100758
0.86,0.1176694160717831
0.87,0.13256730957137364
0.88,0.14828469275526604
0.89,0.16470502162188824
0.9,0.18193622594410783
0.91,0.19997830572192482
0.92,0.21843960899025391
0.93,0.2374832009884962
0.9400000000000001,0.2571427645938709
0.9500000000000001,0.2772679157554962
0.96,0.2975587549571398
0.97,0.31823614393639005
0.98,0.33930008269324524
0.99,0.36035525724921436
1,0.3814709945589767
1.01,0.40273710540135466
1.02,0.42406791088289086
1.03,0.44509075472994425
1.04,0.46604549071592594
1.05,0.48693211884083676
1.06,0.5075027610398168
1.07,0.5277177639998282
1.08,0.54768166808978
1.09,0.5673744046447412
1.1,0.5865098083963535
1.11,0.6052559535487027
1.12,0.6236128401017904
1.1300000000000001,0.6414835092765881
1.1400000000000001,0.6588039807410843
1.1500000000000001,0.6756430107524303
1.16,0.6920005993106243
1.17,0.7077710192082464
1.18,0.7230065916226565
1.19,0.7377115098265786
1.2,0.7518759265124612
1.21,0.7654851947627871
1.22,0.7785509442828578
1.23,0.7910731750726733
1.24,0.8030820880736367
1.25,0.8145692071980399
1.26,0.8255295288509559
1.27,0.8359811121001414
1.28,0.8459804489411041
1.29,0.8554894306923226
1.3,0.8645080573537941
1.31,0.8731057237609916
1.32,0.8812832025544863
1.33,0.8890172036880549
1.34,0.8963203274151297
1.35,0.903292975996288
1.36,0.9098741978457233
1.37,0.9160639929634382
1.3800000000000001,0.9219200521122779
1.3900000000000001,0.9274673534428147
1.4000000000000001,0.9326724947867244
1.41,0.9375357158034783
1.42,0.9421652898054138
1.43,0.9465003006046806
1.44,0.9505407482012819
1.45,0.9543265095531269
1.46,0.9579013935391408
1.47,0.9612271289136266
1.48,0.9643037156765829
1.49,0.9672134826399914
1.5,0.9699256574532413
1.51,0.9724310970734004
1.52,0.974755027716872
1.53,0.9769557124513184
1.54,0.9789915954465201
1.55,0.9808626767024748
1.56,0.9826207775085203
1.57,0.984259809903137
1.58,0.9857662530508959
1.59,0.9871474099132614
1.6,0.9884413711199516
1.61,0.9896241264474173
1.62,0.9906956758956603
1.6300000000000001,0.9916801633685807
1.6400000000000001,0.9925834656375521
1.6500000000000001,0.9933942377258618
1.6600000000000001,0.9941147296814139
1.67,0.99479412908681
1.68,0.9954039793772335
1.69,0.9959442805526855
1.7,0.9964345697310176
1.71,0.9968902963113014
1.72,0.9972961427036364
1.73,0.9976521089080241
1.74,0.9979824735870211
1.75,0.9982761476978236
1.76,0.9985316213722443
1.77,0.9987550593272267
1.78,0.998957080457436
1.79,0.9991295809806308
1.8,0.9992725608968122
1.81,0.9994019694073354
1.82,0.9995141419557927
1.83,0.9996059614205818
1.84,0.9996809263664223
1.85,0.9997518798288174
1.86,0.9998103668474821
1.87,0.9998563874224138
1.8800000000000001,0.9998966786640883
1.8900000000000001,0.9999317971754218
1.9000000000000001,0.9999592029291507
1.9100000000000001,0.999979458983034
1.92,0.9999983895140072
1.93,1.0000125184452746
1.94,1.0000218457768355
1.95,1.0000286253377801
1.96,1.000034076245393
1.97,1.0000367539035337
1.98,1.0000366583122082
1.99,1.0000368162756708
2,1.000035620109638
2.0100000000000002,1.0000330147818344
2.02,1.000029807799788
2.0300000000000002,1.0000270333312526
2.04,1.0000238326398814
2.05,1.0000202057256729
2.06,1.0000171164013105
2.07,1.000014247888619
2.08,1.0000114676257519
2.09,1.0000088643165057
2.1,1.0000066758215282
2.11,1.0000047373504428
2.12,1.000003048903248
2.13,1.0000016378893208
2.14,1.0000005027865397
2.15,0.9999996354562519
