% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 21 2026, 16:01"
% Table,Table 1 - c_Sensor
% Time (s),c_CNN (mol/m^3)
0.01,6.506955083285005E-160
0.02,7.71105202204327E-157
0.03,-3.404932409516635E-156
0.04,-9.66371608821076E-155
0.05,-5.5461450309572604E-154
0.06,-1.9457929278080188E-153
0.07,-5.14290223286282E-153
0.08,-1.077266924267062E-152
0.09,-1.790840943970799E-152
0.1,-2.4914994849019545E-152
0.11,-3.5913530979784177E-152
0.12,-6.3845546913040596E-152
0.13,-1.283599220296402E-151
0.14,-2.43143746237657E-151
0.15,-3.939828816988443E-151
0.16,-5.354717391497497E-151
0.17,-6.731456915155095E-151
0.18,-8.762833893574854E-151
0.19,-1.1483060176564217E-150
0.2,-1.6154690235679214E-150
0.21,-2.3396743558152476E-150
0.22,-3.309507507198056E-150
0.23,-4.557254880606559E-150
0.24,-5.829150822699992E-150
0.25,-6.75133651433673E-150
0.26,-6.971162374268662E-150
0.27,-5.016375195759478E-150
0.28,-9.684847639678469E-151
0.29,8.068063151444584E-150
0.3,2.113411798502668E-149
0.31,4.097765514500397E-149
0.32,6.6551180221494E-149
0.33,9.819560065104032E-149
0.34,1.3579102238541102E-148
0.35000000000000003,1.7999029707160252E-148
0.36,2.3068724283380044E-148
0.37,2.9494612960466726E-148
0.38,3.733292192069844E-148
0.39,4.7949998434191286E-148
0.4,6.194297689507427E-148
0.41000000000000003,8.225847417854845E-148
0.42,1.117759577785425E-147
0.43,1.4879669514725304E-147
0.44,1.933206862846774E-147
0.45,2.480765134692682E-147
0.46,3.180477321408322E-147
0.47000000000000003,3.9906404000440014E-147
0.48,4.9112543705997297E-147
0.49,6.007180507535807E-147
0.5,7.31131290887439E-147
0.51,8.781221463781003E-147
0.52,1.0416906172255463E-146
0.53,1.2337103008809686E-146
0.54,1.4525510102120755E-146
0.55,1.6950091204895884E-146
0.56,1.9610846317134975E-146
0.5700000000000001,2.2826297854756467E-146
0.58,2.6434527554306945E-146
0.59,3.0421008262924306E-146
0.6,3.487614827314081E-146
0.61,4.0408797188421745E-146
0.62,4.66297859316263E-146
0.63,5.353911450275546E-146
0.64,6.1567612560501375E-146
0.65,7.1484203018956535E-146
0.66,8.268228520027574E-146
0.67,9.516185910446129E-146
0.68,1.1002956421809573E-145
0.6900000000000001,1.2778918429242497E-145
0.7000000000000001,1.4775088330373612E-145
0.71,1.699146612520263E-145
0.72,1.9677457900201733E-145
0.73,2.27918827735116E-145
0.74,2.6271616703432594E-145
0.75,3.011665968996505E-145
0.76,3.503991060976487E-145
0.77,4.066659020638175E-145
0.78,4.6971725908281736E-145
0.79,5.422150439127255E-145
0.8,6.403540529792706E-145
0.81,7.53687431359053E-145
0.8200000000000001,8.822151790520881E-145
0.8300000000000001,1.042911019975668E-144
0.84,1.2640052904602714E-144
0.85,1.522812531784245E-144
0.86,1.819332743947579E-144
0.87,2.224265078759641E-144
0.88,2.766281365533315E-144
0.89,3.4033968273004057E-144
0.9,4.1356114640609333E-144
0.91,5.2140145267107E-144
0.92,6.59038032586497E-144
0.93,8.205227245488565E-144
0.9400000000000001,1.005855528558149E-143
0.9500000000000001,1.2974103679584618E-143
0.96,1.6504867231817315E-143
0.97,2.0630497107077405E-143
0.98,2.5649048293019915E-143
0.99,3.3207392000607366E-143
1,4.223305066855429E-143
1.01,5.272602429685977E-143
1.02,6.6310481859587325E-143
1.03,8.550302781216023E-143
1.04,1.0824159214693621E-142
1.05,1.3452617486391468E-142
1.06,-4.0376841891682846E-110
1.07,-1.3558276915514075E-109
1.08,-2.627824298398501E-109
1.09,-4.219758239458564E-109
1.1,-6.131629514730609E-109
1.11,-8.363438124215955E-109
1.12,-1.0915184067912544E-108
1.1300000000000001,-1.3786867345823198E-108
1.1400000000000001,-2.0054517428419088E-108
1.1500000000000001,-2.7422876496239453E-108
1.16,-3.584170840414164E-108
1.17,-4.53110131521183E-108
1.18,-5.583079074017983E-108
1.19,-6.7401041168320345E-108
1.2,-8.085487465147464E-108
1.21,-1.011588095263015E-107
1.22,-1.2414527364314728E-107
1.23,-1.4981426700201204E-107
1.24,-1.7816578960288248E-107
1.25,-2.0919984144578545E-107
1.26,-2.4291642253071074E-107
1.27,-2.8442326429145236E-107
1.28,-3.429652562367819E-107
1.29,-4.087920571553286E-107
1.3,-4.819036670470651E-107
