% Model,COMSOL_Three_Pipes_Phases_1_to_4.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 28 2026, 10:06"
% Table,Table 35 - c_CNN_Sensor_Phase_1
% Time (s),c_CNN_Sensor_Phase_1 (mol/m^3),c_CNN_Sensor_Phase_1 (mol/m^3)
0,3.0691806112592015E-185,-8.348097491542046E-231
0.5,-1.5024018248458742E-132,3.4674729237014756E-168
1,-4.483301282433274E-127,-1.3113529666314047E-112
1.5,5.897651593402974E-96,-4.1204952423631794E-99
2,2.2031985745575413E-87,9.833972687085785E-65
2.5,5.842209375281503E-63,3.4082980446165363E-57
3,2.777813045224112E-58,5.030768361380301E-50
3.5,1.5681656659983528E-53,1.0991462148646335E-43
4,4.914747950129892E-49,4.0848165461607744E-38
4.5,7.130657305431947E-45,3.484061376372953E-33
5,4.799028445268187E-41,3.759785692556532E-24
5.5,2.310783562438529E-37,2.3769050878969983E-20
6,4.76501696288482E-34,3.904482950731622E-17
6.5,5.1147778984878344E-31,1.834606100692633E-14
7,7.9293613177812E-24,3.425491173842494E-12
7.5,3.620316785693768E-21,3.025148769558625E-10
8,5.753440812749579E-19,1.4597472797830307E-8
8.5,6.008116365183687E-17,4.012671649485761E-7
9,3.847070958588263E-15,6.8613528275327144E-6
9.5,1.404523911257859E-13,7.693111850256155E-5
10,4.170797676725735E-12,5.882668458137937E-4
10.5,8.441709920766801E-11,0.0031380319148670956
11,1.1841975318209429E-9,0.011929980707628615
11.5,1.3729208043199941E-8,0.03328628841107178
12,1.2160553568794011E-7,0.07055465258351785
12.5,8.813605765713213E-7,0.11909361913505437
13,5.364961444908796E-6,0.1702751711849417
13.5,2.6873595335451454E-5,0.2194508843662551
14,1.1521540419638756E-4,0.2654200871283288
14.5,4.2096680008596384E-4,0.30595170007161404
15,0.0013176591328119618,0.33861172321837574
15.5,0.003599828596903784,0.36321816539853546
16,0.008569851721138957,0.3817137727141904
16.5,0.017962675663336522,0.3962504763311036
17,0.03344606036524141,0.4079345251512383
17.5,0.055825764185009646,0.41719265807952866
18,0.0845051258067486,0.42440221777569515
18.5,0.1175776078428005,0.4299702693722091
19,0.15265208093933802,0.43437289547054975
19.5,0.1877331563222727,0.4383814133932197
20,0.2216863845328133,0.44325894583057535
20.5,0.25386209792408304,0.45077563161383033
21,0.2836285125383889,0.46279966693670355
21.5,0.3102911575495763,0.48048149973489007
22,0.33332606766509515,0.5035707005125918
22.5,0.35264209757390236,0.5304576944188686
23,0.3685897594947965,0.5589909038576778
23.5,0.3817911561836106,0.5872152524362774
24,0.3928707756047667,0.6136916698558625
24.5,0.4023040825141492,0.6373978910993745
25,0.4103824498795882,0.6578099274904388
25.5,0.41727053358418514,0.6748716082028566
26,0.4230938998287893,0.6890565896601112
26.5,0.42797838871048427,0.7008761085719063
27,0.43205325559485674,0.7107336943352502
27.5,0.4354727355211215,0.7190125241160849
28,0.4384123171071786,0.7259942961603679
28.5,0.4411018515762781,0.7321148885746056
29,0.4438563032568382,0.7379929580794825
29.5,0.4470695442835281,0.7443829740091074
30,0.45122688259437777,0.7522547110256522
30.5,0.4568472224364001,0.762459746174429
31,0.46441234656181096,0.7755464572077474
31.5,0.47427552214191837,0.7916015409580998
32,0.4865843453394545,0.8100615757131117
32.5,0.5012348038315357,0.829963074100851
33,0.5178697567115231,0.8502171750258727
33.5,0.5359735247266495,0.8698036307192268
34,0.5549172253525382,0.8875857829729838
34.5,0.5740814400260181,0.9028610895572942
35,0.5929262691255804,0.9162529274656044
35.5,0.6109797865277384,0.92789655768063
36,0.6278948805354522,0.9379619192013116
36.5,0.6434463564014671,0.9462141856156928
37,0.6575137559696779,0.9530374597598876
37.5,0.6700882229487516,0.9593346602121866
38,0.6812298099127293,0.9643430882633867
38.5,0.6910707008105684,0.9691148157604269
39,0.6997419061139936,0.9727804122631984
39.5,0.7073912659350654,0.9763845355317502
40,0.7141491422968584,0.9790691831875574
40.5,0.7201293113695555,0.9817538308433676
41,0.7254480765094563,0.9837673855419347
41.5,0.73020910185149,0.985744923241534
42,0.7345480141575937,0.987507178511318
42.5,0.738619335190681,0.9890666581254196
43,0.7426053906470353,0.990451383520701
43.5,0.7467264967816567,0.9916613546971591
44,0.7512525523528844,0.9927330632634278
44.5,0.7563912763429258,0.9936734734743977
45,0.7623629669089395,0.9944639435460569
45.5,0.7693482588782516,0.9951044734784145
46,0.7774685600904637,0.995671510355907
46.5,0.7867630783888988,0.9962729058141262
47,0.7971767510054365,0.9968114315594695
47.5,0.8085818247216678,0.9972870875919775
48,0.8207717155015775,0.9976998739116286
48.5,0.833474502686003,0.9980497905184305
49,0.8463917383847482,0.9983368374123788
49.5,0.8592599169348096,0.9985610145934725
50,0.8718296858704851,0.9987223220617213
50.5,0.8838901799345767,0.9987796754447955
51,0.8952323115264922,0.9988314702863578
51.5,0.905787323616626,0.9988832651279568
52,0.9155005589346762,0.9989350599695102
52.5,0.924382691439035,0.9989868548110928
53,0.9324180529278253,0.9990386496526767
53.5,0.9396565873736561,0.9990904444942532
54,0.9461202802399193,0.9991422393358209
54.5,0.952011299536467,0.9991848213788258
55,0.9572726910849086,0.9992171071069423
55.5,0.9619044548852603,0.9992493928350604
56,0.9660801916428424,0.999281678563177
56.5,0.9698094135872393,0.9993139642912912
57,0.973033104279407,0.9993462500194047
57.5,0.975840650104707,0.9993785357475227
58,0.9784342465268232,0.9994108214756439
58.5,0.9806744665818322,0.9994428259648434
59,0.9825613102697268,0.9994593295311236
59.5,0.9843388610382274,0.9994758330973911
60,0.985892626551579,0.9994923366636767
60.5,0.9872122804672133,0.999508840229952
61,0.9883928716647251,0.9995253437962234
61.5,0.9894747811140641,0.9995418473625065
62,0.9904060106674872,0.9995583509287689
62.5,0.9912064635472319,0.9995748544950506
63,0.991965235479167,0.9995913580613285
63.5,0.9926272205173726,0.999607861627602
64,0.9931924186618509,0.9996243651938753
64.5,0.9937489836171737,0.9996408687601619
65,0.9942721081852913,0.9996573723264216
65.5,0.9947485924120766,0.9996738758927033
66,0.9951784362975304,0.9996903794589795
66.5,0.9955616398416578,0.9997067398054905
67,0.9958982030444544,0.9997152063706793
67.5,0.9961790012675703,0.999723672935877
68,0.9963512304500929,0.9997321395010546
68.5,0.9965234596326165,0.9997406060662449
69,0.9966956888151429,0.9997490726314301
69.5,0.9968679179976708,0.9997575391966111
70,0.9970401471801968,0.9997660057617981
70.5,0.9972123763627164,0.999774472326993
71,0.9973657172998446,0.999782938892183
71.5,0.9974844608064753,0.9997914054573663
72,0.9976032043131179,0.9997998720225553
72.5,0.9977219478197498,0.9998083385877361
73,0.9978406913263786,0.9998168051529239
73.5,0.9979594348330135,0.9998252717181212
74,0.998078178339645,0.9998337382833044
74.5,0.9981619537953129,0.9998421329918425
75,0.9982235423224767,0.9998465672084684
75.5,0.9982851308496472,0.9998510014250966
