% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 23 2026, 19:10"
% Table,c_CNN_Outlet_Phase_2 - Surface Average 2
% Time (s),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3)
0,1.0865803846061856E-112,-1.8038253677938136E-111,8.738863392880522E-111
0.1,1.0360531982995308E-109,-8.502225124863406E-110,6.788115143491252E-109
0.2,3.8167798179764686E-109,-1.924783540505238E-109,6.5716333091264025E-109
0.30000000000000004,8.114752338747369E-109,-2.279618113774178E-109,3.6617719662035974E-109
0.4,1.37014566599442E-108,-9.526230083327083E-110,2.282359950092221E-109
0.5,2.0348378680898914E-108,3.0183049997796323E-109,6.657226096161611E-109
0.6000000000000001,5.789639485631318E-96,-1.301463699327466E-101,6.1526008765249855E-99
0.7000000000000001,1.563761189979207E-95,-3.62792709695496E-101,1.6925430806058063E-98
0.8,1.8262498178395792E-95,-4.612498307935479E-101,2.0791030744795943E-98
0.9,2.38287925735401E-96,-1.888285477505095E-101,6.221941648269585E-99
1,-4.328266392742176E-95,6.91160324910014E-101,-3.830929552799003E-98
1.1,-6.28722930180065E-97,-1.4704603734257095E-99,-3.5782304135894864E-96
1.2000000000000002,-8.359019492390638E-95,-4.824958834029471E-99,-1.0277167485641831E-95
1.3,-8.015089574007935E-94,-7.719232494812304E-99,-1.4443945481179692E-95
1.4000000000000001,-2.663726887853037E-93,-7.878134501266237E-99,-1.0387389369697662E-95
1.5,-6.179585863772816E-93,-3.0265179988833023E-99,7.583675879309516E-96
1.6,3.376253563319074E-58,1.4832412724764645E-62,6.386735243232635E-63
1.7000000000000002,9.74149299322752E-58,3.2467262848762325E-62,1.163356955946015E-62
1.8,1.345043639965219E-57,1.2610968296548869E-62,-5.129554171522968E-63
1.9000000000000001,8.857801892519935E-58,-8.503005300732005E-62,-6.477269306992231E-62
2,-9.681692418242321E-58,-3.007493831382879E-61,-1.8816590425594315E-61
2.1,-3.6565962019767534E-57,-4.984429247574224E-61,-2.5458564243073618E-61
2.2,-8.662906283346174E-57,-9.730485793141632E-61,-6.0036259056566016E-61
2.3000000000000003,-1.9617048740080798E-56,-2.41142292706652E-60,-1.931948148186235E-60
2.4000000000000004,-4.0148972826328912E-56,-5.500422548272497E-60,-4.9557937148179756E-60
2.5,-7.38886277962387E-56,-1.092690402319007E-59,-1.037835068998637E-59
2.6,2.0330282086376483E-56,1.1005411306951525E-59,-1.1863033729224869E-59
2.7,1.6124970710385561E-55,4.664464344714337E-59,-1.530231733760755E-59
2.8000000000000003,1.1603179821278204E-56,3.0281697836457835E-59,-3.9746242688971136E-59
2.9000000000000004,-7.658757671962752E-55,-1.0379252008603277E-58,-1.0424485095715225E-58
3,-2.5084536013837147E-54,-4.212871048812545E-58,-2.2784818331598686E-58
3.1,2.643446287264229E-53,1.609727481878131E-56,8.89146090222806E-57
3.2,6.988159727012666E-53,4.395418556754664E-56,2.485756464741039E-56
3.3000000000000003,5.574787875342703E-53,4.930795920882559E-56,3.010421066067E-56
3.4000000000000004,-8.80517635150992E-53,-1.6828901899712227E-57,7.065146550445776E-57
3.5,-4.336024003730926E-52,-1.4285984856143197E-55,-6.182588007482286E-56
3.6,1.2232294726667383E-50,1.1686228050842282E-53,6.38390644935902E-54
3.7,3.1685820637066336E-50,3.08043681182086E-53,1.7102765852633626E-53
3.8000000000000003,2.8699363651444153E-50,3.2065223382764257E-53,1.8874228676168693E-53
3.9000000000000004,-2.595468790957876E-50,-9.677543126264005E-54,-1.522228733616088E-54
4,-1.6150394572538127E-49,-1.195702683796488E-52,-5.73071300303007E-53
4.1000000000000005,5.316050674844576E-48,8.127753605165036E-51,4.685125990219889E-51
4.2,1.3586194226214415E-47,2.0472292115404765E-50,1.2165593834373592E-50
4.3,1.1847928048365502E-47,1.7860846145901137E-50,1.203019123416188E-50
4.4,-1.2699746518721096E-47,-1.875978341978466E-50,-6.07498697868448E-51
4.5,-7.2857828135063695E-47,-1.084427956980906E-49,-5.250384597243423E-50
4.6000000000000005,2.25817209942911E-45,4.6971590271809804E-33,4.24083032251968E-33
4.7,5.722521426641048E-45,1.270311456527797E-32,1.1723500034805556E-32
4.800000000000001,4.780388616197048E-45,1.488958429912237E-32,1.4588277253948226E-32
4.9,-6.108027869206554E-45,2.1282859135454516E-33,4.9754300970381155E-33
5,-3.2482529566873355E-44,-3.4709062906621277E-32,-2.4974773318834115E-32
5.1000000000000005,3.559511324883659E-30,-8.527674719386589E-32,-6.418289886473281E-32
5.2,7.777685336370087E-30,-1.5741717427976011E-31,-1.1895336799236282E-31
5.300000000000001,2.9639820897122954E-30,-2.875408099281025E-31,-2.2322169595559727E-31
5.4,-2.0572138359836523E-29,-5.12058119902687E-31,-4.109233980083057E-31
5.5,-7.252121595702321E-29,-8.673795699673111E-31,-7.159939894043612E-31
5.6000000000000005,-1.404107725210593E-28,-7.582875402625255E-31,-6.072736123405833E-31
5.7,-2.28564639209901E-28,-6.0488789580812835E-31,-3.7109136708158017E-31
5.800000000000001,-3.7186781997641747E-28,-1.9665763296867885E-30,-1.2676162059829E-30
5.9,-6.052053187734732E-28,-6.402748534981131E-30,-4.557017081400063E-30
6,-9.634621395539357E-28,-1.5472800204773802E-29,-1.1499462945688595E-29
6.1000000000000005,-9.820719662680805E-28,1.771714897890753E-29,2.133034834209899E-29
6.2,-1.219381442682354E-27,6.922650873109161E-29,7.66133274052175E-29
6.300000000000001,-3.2446450124738916E-27,3.1244177454282255E-29,6.197271801477442E-29
6.4,-8.62711711931977E-27,-2.040409464490156E-28,-1.1496823605812259E-28
6.5,-1.8936052206897094E-26,-7.444399645762983E-28,-5.465862910423647E-28
6.6000000000000005,1.818584173956444E-27,1.344252421243937E-27,-1.0985344935915297E-27
6.7,2.9706689793610733E-26,4.6843994549545164E-27,-2.7572223140469365E-27
6.800000000000001,-2.672119480979912E-26,2.7004269536150514E-27,-7.296161144169162E-27
6.9,-2.589145290981366E-25,-1.1183239265714795E-26,-1.6488862375718672E-26
7,-7.583227725332659E-25,-4.354217338597531E-26,-3.210883740045596E-26
7.1000000000000005,4.379896540888424E-25,3.599531609414419E-26,-5.191244524118386E-26
7.2,2.357472321547667E-24,1.6598744950725385E-25,-1.3017180579010763E-25
7.300000000000001,5.054467577445818E-25,5.213844591736633E-26,-3.5343407174309555E-25
7.4,-9.612765509418992E-24,-5.9984747561150265E-25,-8.082463957960085E-25
7.5,-3.249184295204164E-23,-2.084266096015337E-24,-1.5811559306447127E-24
7.6000000000000005,-6.245275421759534E-23,-4.129539503304974E-24,-2.4614603949956136E-24
7.7,-1.328188351151977E-22,-8.951175081752168E-24,-5.345945005975783E-24
7.800000000000001,-3.0658831485941956E-22,-2.0574096556684536E-23,-1.3482388163912223E-23
7.9,-6.467594226648257E-22,-4.302322765342931E-23,-3.0118568269131683E-23
8,-1.2163303877459843E-21,-8.032349209731398E-23,-5.850226372196107E-23
8.1,-1.885291712914375E-21,-1.3459870375588813E-22,-8.876648386737608E-23
8.200000000000001,-3.703157698631075E-21,-2.8081693704931614E-22,-1.7188334127767153E-22
8.3,-8.502212270584956E-21,-6.322695065318373E-22,-4.0235926919414764E-22
8.4,-1.8114739354464903E-20,-1.302247726757697E-21,-8.74700700858108E-22
8.5,-3.437302287595985E-20,-2.4040429122811385E-21,-1.6834140695108536E-21
8.6,-5.896439822809506E-20,-4.073872214028686E-21,-2.545977638469205E-21
8.700000000000001,-1.060536664177372E-19,-7.742331436002468E-21,-4.549049186215409E-21
8.8,-1.9618930979133376E-19,-1.5464279872369923E-20,-9.8409044187388E-21
8.9,-3.4991981069533437E-19,-2.92945768172986E-20,-2.0569819042028767E-20
9,-5.877936514761881E-19,-5.1288081564956076E-20,-3.888406876207467E-20
9.1,-1.682952871884162E-18,-9.662945891216552E-20,-5.981664527769624E-20
9.200000000000001,-3.372314986216102E-18,-1.6787669563099972E-19,-1.0123557010866095E-19
9.3,-4.122091688638195E-18,-2.4814463397849703E-19,-1.9954166369237718E-19
9.4,-2.3984946733167414E-18,-3.205481162116982E-19,-3.911357464662541E-19
9.5,3.3322643655819832E-18,-3.682019845876441E-19,-7.124186388677016E-19
9.600000000000001,-3.937189429831415E-17,-1.412663310098163E-18,-1.1253961399193794E-18
9.700000000000001,-1.0749211683626602E-16,-2.338609668565673E-18,-1.829552156638721E-18
9.8,-8.63032146097797E-17,7.61633405067174E-20,-3.21750467145533E-18
9.9,1.389200010196387E-16,9.053860117615921E-18,-5.6818716667987934E-18
10,6.829027186904825E-16,2.7816685063258824E-17,-9.615271125098709E-18
10.100000000000001,1.3651433077683308E-15,7.018623036921921E-18,-1.6345571865111896E-17
10.200000000000001,3.1378956332325465E-15,5.590278363195093E-18,-2.6587183609374157E-17
10.3,7.815018127142333E-15,1.891687846402249E-16,-3.9812535695984224E-17
10.4,1.7210369221556893E-14,7.233912754661581E-16,-5.549405746304068E-17
10.5,3.313780734853541E-14,1.7738948844391402E-15,-7.310417824864242E-17
10.600000000000001,4.8729037754287745E-14,1.4635764250529176E-15,-1.8052105725041023E-16
10.700000000000001,9.921183946054255E-14,1.8535821312273777E-15,-3.349650925999321E-16
10.8,2.4954418156263767E-13,9.016923267199732E-15,-3.3992207203627244E-16
10.9,5.646840331559106E-13,2.902661109720722E-14,1.122216701504895E-18
11,1.1095893633356981E-12,6.795565688548687E-14,8.846819858743371E-16
11.100000000000001,1.5590448397453801E-12,7.172986798665872E-14,-9.861304156613994E-16
11.200000000000001,2.700115827567048E-12,9.65998317596467E-14,-3.748123744173827E-15
11.3,6.266181342204115E-12,3.141257294751411E-13,5.353345549108999E-16
11.4,1.399062039905999E-11,8.958677424038325E-13,1.9800877036166598E-14
11.5,2.760681201353809E-11,2.013386051816409E-12,6.198513625416712E-14
11.600000000000001,3.937356365342687E-11,2.5695407709171868E-12,1.2677010131668699E-13
11.700000000000001,6.196202054239976E-11,3.720668133769274E-12,2.668066047717646E-13
11.8,1.27724068329688E-10,9.018542502931533E-12,5.694845443343755E-13
11.9,2.690115926645227E-10,2.2014938240962815E-11,1.1221938177194944E-12
12,5.18176479196135E-10,4.6261629710421976E-11,2.0123243226420935E-12
12.100000000000001,7.972908247861499E-10,6.69012911926732E-11,3.473583790483593E-12
12.200000000000001,1.2435493128398295E-9,1.0150757831515155E-10,6.878039925065968E-12
12.3,2.2119877088218755E-9,2.0227873745952345E-10,1.402062258276518E-11
12.4,4.0576417781969855E-9,4.2141301500745397E-10,2.6696261619957144E-11
12.5,7.135547286429859E-9,8.111086573406095E-10,4.6699886893017846E-11
12.600000000000001,1.1654660439427724E-8,1.4223666847896543E-9,7.735095373676037E-11
12.700000000000001,1.8630294806720657E-8,2.427453224663742E-9,1.3874635237625078E-10
12.8,2.9627022199207897E-8,4.060464183812327E-9,2.578471650032461E-10
12.9,4.620941442778868E-8,6.55549546908485E-9,4.616144738095038E-10
13,6.994204330336234E-8,1.0146642987330768E-8,7.770093609867802E-10
13.100000000000001,1.041791094395073E-7,1.5642504602098125E-8,1.2472239298269514E-9
13.200000000000001,1.587544821509957E-7,2.481364525312468E-8,2.056550289989814E-9
13.3,2.4495223630051923E-7,3.9337111461545006E-8,3.4435995332190384E-9
13.4,3.7405644675076927E-7,6.088994974849362E-8,5.646982751258294E-9
13.5,5.573511883644372E-7,9.114920663510498E-8,8.905311035851251E-9
13.600000000000001,8.055439879085366E-7,1.444184809734944E-7,1.3384406253913675E-8
13.700000000000001,1.1699594328009798E-6,2.4930288867657914E-7,2.0303030278614666E-8
13.8,1.7228071888808328E-6,4.2893175185670227E-7,3.147920421107826E-8
13.9,2.5362969219871605E-6,7.064343926262048E-7,4.873094915242844E-8
14,3.68263829795903E-6,1.10494013309743E-6,7.387628620378916E-8
14.100000000000001,5.181502706104672E-6,1.565460841397463E-6,1.0774705516762109E-7
14.200000000000001,7.244336020266705E-6,2.171622544409308E-6,1.5747764657976373E-7
14.3,1.0231009633085915E-5,3.1604758023792283E-6,2.3433990764141215E-7
14.4,1.4501394937202994E-5,4.769071175553472E-6,3.4960568555376143E-7
14.5,2.0415363325258697E-5,7.234459224178287E-6,5.145468275180065E-7
14.600000000000001,2.795257262517939E-5,1.0614761913949172E-5,7.367402838323927E-7
14.700000000000001,3.842287940133596E-5,1.5087301763975417E-5,1.0888517722860731E-6
14.8,5.418145315103646E-5,2.1067930164624296E-5,1.6797862913166246E-6
14.9,7.75834633715889E-5,2.897249850626303E-5,2.618448839361622E-6
15,1.109840795603011E-4,3.921685817925876E-5,4.013744414858636E-6
15.100000000000001,1.5436321655810527E-4,5.229237296993491E-5,5.936633532498173E-6
15.200000000000001,2.08783643566421E-4,6.964262524588504E-5,8.51594544566463E-6
15.3,2.782248116232922E-4,9.311179426938336E-5,1.194738826083672E-5
15.4,3.6666617176676203E-4,1.245440593027036E-4,1.6426670084493062E-5
15.5,4.7808717503487324E-4,1.6578359960811977E-4,2.2149499023112293E-5
15.600000000000001,6.143862839929966E-4,2.1847688858047773E-4,2.971757347904118E-5
15.700000000000001,7.830671091860037E-4,2.8438595183665106E-4,4.018504330664585E-5
15.8,9.965168236212114E-4,3.6552829697195874E-4,5.4426293790434834E-5
15.9,0.001267122600305927,4.639214315817205E-4,7.331571021491667E-5
16,0.001607271612247464,5.815828632612539E-4,9.772767786459954E-5
16.1,0.0020205574441876954,7.281729962525548E-4,1.2713504714706114E-4
16.2,0.0025110336791524172,9.148489200635146E-4,1.6300025447749854E-4
16.3,0.0030917774875749227,0.001145873170188328,2.0918206415185584E-4
16.400000000000002,0.0037758660398884442,0.0014255082821211704,2.6953924046607366E-4
16.5,0.004576376506526204,0.0017580167913562109,3.479305477160905E-4
16.6,0.005512234375156631,0.0021464242861258705,4.450408976726867E-4
16.7,0.006607644600519584,0.0026020061477728764,5.61962007666162E-4
16.8,0.00788360355365574,0.0031413996014569632,7.031628503317669E-4
16.900000000000002,0.00936110760560569,0.0037812418723378333,8.731123983047406E-4
17,0.01106115312740993,0.004538170185575174,0.0010762796242203142
17.1,0.012992956037444589,0.005417125671165635,0.001317066794192181
17.2,0.0151618277451031,0.006420550758355165,0.0016032549607474225
17.3,0.017582907857952666,0.007561334621177644,0.0019443812761414478
17.400000000000002,0.020271335983560283,0.00885236643366687,0.0023499828926296217
17.5,0.023242251729492857,0.010306535369856562,0.002829596962467327
17.6,0.0265233803581315,0.011944960462745381,0.0033880435923485546
17.7,0.030131173062274606,0.013786627315201853,0.004028772564258445
17.8,0.034063858345116126,0.015841224956065113,0.004759265543389216
17.900000000000002,0.03831966470984975,0.0181184424141742,0.005587004194933024
18,0.04289682065966901,0.02062796871836798,0.006519470184082003
18.1,0.04778798440936548,0.023374905016636346,0.0075765585830385946
18.2,0.05298307606035414,0.026360458768048257,0.008776321222435423
18.3,0.05847621694576459,0.029588478468062,0.010123474905110253
18.400000000000002,0.0642615283987264,0.033062812612135686,0.011622736433900747
18.5,0.0703331317523689,0.03678730969572728,0.013278822611644535
18.6,0.07663822251390591,0.040758729201772856,0.01509697808563363
18.7,0.08311145725152058,0.04496428506115561,0.017082657699042637
18.8,0.08972814888979806,0.04939350744125573,0.01924089354853374
18.900000000000002,0.09646361035332329,0.05403592650945282,0.021576717730768823
19,0.1032931545666807,0.058881072433126506,0.024095162342409798
19.1,0.110201468835235,0.06391722090629715,0.026796329149117823
19.200000000000003,0.11714257786666314,0.06911487584741931,0.02967420507683462
19.3,0.12404580068901976,0.07443690976052464,0.03272464996264297
19.400000000000002,0.1308404563303602,0.07984619514964542,0.03594352364362615
19.5,0.13745586381873887,0.0853056045188132,0.039326685956866926
19.6,0.14388341549591513,0.09079900025981913,0.04286520921892711
19.700000000000003,0.15013168880036606,0.09631597317468744,0.0465399391356449
19.8,0.15615578040522338,0.10182798838279966,0.05033139562801855
19.900000000000002,0.1619107869836195,0.107306511003538,0.05422009861704654
20,0.1673518052086859,0.1127230061562838,0.05818656802372707
20.1,0.1724518930267535,0.11800901559350276,0.06221734918461695
20.200000000000003,0.17720380686779505,0.12310856712485774,0.0663015596600564
20.3,0.1815921911304063,0.1280118549555274,0.07042357770671913
20.400000000000002,0.18560169021318443,0.1327090732906906,0.07456778158127951
20.5,0.18921694851472484,0.13719041633552614,0.07871854954041124
20.6,0.19243952570396622,0.14143908546428124,0.0828236148774288
20.700000000000003,0.19528984687676612,0.14543512438172118,0.08683616517383545
20.8,0.19778085457209954,0.14916399078880213,0.09074876011858861
20.900000000000002,0.1999254913289415,0.1526111423864808,0.09455395940064648
21,0.2017366996862667,0.1557620368757128,0.0982443227089663
21.1,0.20323361084015185,0.1586173831242415,0.10180864441920122
21.200000000000003,0.20444822194323234,0.1611900871642548,0.10522914721580189
21.3,0.20541277446932218,0.16348390244337466,0.10848853325092238
21.400000000000002,0.2061595098922353,0.16550258240922414,0.11156950467671768
21.5,0.20672066968578565,0.16724988050942577,0.11445476364534225
21.6,0.20711061758826418,0.1687442610746399,0.11714209964757598
21.700000000000003,0.2073362390886374,0.17001417599976573,0.11963966673628508
21.8,0.20741855828673067,0.17107836007878266,0.1219457139067527
21.900000000000002,0.20737859928237104,0.17195554810567043,0.12405849015426186
22,0.20723738617538479,0.17266447487440917,0.12597624447409575
22.1,0.20704892835801786,0.17321720669301746,0.12770543825296882
22.200000000000003,0.206854474733591,0.17362340405446036,0.12925849103646775
22.3,0.2066559086685401,0.17389819303013623,0.13064258905818427
22.400000000000002,0.20645511352930257,0.17405669969144433,0.13186491855171018
22.5,0.2062539726823148,0.17411405010978284,0.13293266575063703
22.6,0.20605794692744356,0.1741079370212639,0.13385550511926414
22.700000000000003,0.20587459440858732,0.17406926834678357,0.1346442092106343
22.8,0.2057089445082267,0.1740029929349161,0.13530761139145495
22.900000000000002,0.20556602660884493,0.17391405963423523,0.13585454502843328
23,0.20545087009292337,0.17380741729331572,0.13629384348827714
23.1,0.20535574969900858,0.1736898759327375,0.13665287010814767
23.200000000000003,0.20527075699703426,0.173568852460319,0.13695553691980072
23.3,0.20519764661656487,0.17345020605549144,0.1372055003318364
23.400000000000002,0.20513817318716382,0.17333979589768708,0.13740641675285353
23.5,0.20509409133839512,0.1732434811663374,0.13756194259145207
23.6,0.20506284715862852,0.17316132992281066,0.13767991344268604
23.700000000000003,0.20504049589546589,0.17308884910716713,0.13776827416030551
23.8,0.2050267059173191,0.17302505621687664,0.13783084504095328
23.900000000000002,0.2050211455925991,0.17296896874940898,0.1378714463812721
24,0.20502348328971762,0.1729196042022343,0.1378938984779045
24.1,0.20503480222513756,0.17288296243648651,0.13789992439664847
24.200000000000003,0.20505270583526072,0.1728622876576094,0.13789436353205528
24.3,0.20507164281840556,0.17285246387953784,0.13788571067389918
24.400000000000002,0.20508606187289133,0.17284837511620674,0.1378824606119541
24.5,0.20509041169703754,0.17284490538155092,0.13789310813599412
24.6,0.2050906010378247,0.17284066465936024,0.13790443195527374
24.700000000000003,0.20509462805266088,0.17283736324515706,0.13790154033023938
24.8,0.20510007555550638,0.17283453562047313,0.1378904223774536
24.900000000000002,0.2051045263603202,0.1728317162668407,0.13787706721347925
25,0.20510556328106275,0.17282843966579192,0.13786746395487903
25.1,0.20510259279837992,0.17282579613726537,0.1378661870599652
25.200000000000003,0.20509904729693149,0.17282533023037147,0.1378719091478142
25.3,0.2050985484466965,0.17282725777040003,0.1378817665761341
25.400000000000002,0.20510471791765364,0.17283179458264036,0.13789289570263316
25.5,0.20512117737978228,0.17283915649238224,0.1379024328850194
25.6,0.20513635523176874,0.17284910502508724,0.13790814064035398
25.700000000000003,0.20514044244773752,0.1728613625069794,0.13791074716671306
25.8,0.20513970456082517,0.1728760859644907,0.13791183734332776
25.900000000000002,0.20514040710416864,0.17289343242405317,0.13791299604942978
26,0.2051488156109046,0.17291355891209953,0.1379158081642498
26.1,0.20516616106253152,0.17293612037755268,0.13792047266196625
26.200000000000003,0.20518927440481405,0.17295987505429755,0.1379271605110821
26.3,0.20521782111728434,0.17298363489620622,0.13793741458231532
26.400000000000002,0.20525146667947647,0.17300621185715215,0.13795277774638381
26.5,0.2052898765709236,0.17302641789100826,0.1379747928740063
26.6,0.20532791616758392,0.17305213491169036,0.13800309965146573
26.700000000000003,0.20536452822107354,0.17309027814161462,0.13803523419775984
26.8,0.20540549427441396,0.17313820949740377,0.13806958403267788
26.900000000000002,0.2054565958706262,0.17319329089568058,0.1381045366760096
27,0.2055236145527311,0.1732528842530681,0.13813847964754403
27.1,0.20560699954108985,0.17332137354333157,0.13817959293024346
27.200000000000003,0.20570328903281798,0.17340560026377982,0.13823688221493916
27.3,0.20581239803606804,0.1735066126163529,0.13830997358322472
27.400000000000002,0.20593424155899373,0.17362545880298955,0.13839849311669347
27.5,0.206068734609748,0.17376318702562946,0.13850206689693897
27.6,0.20622578351511328,0.1739186365530654,0.13861453769796134
27.700000000000003,0.2064163768088432,0.17409167327874617,0.13873576499536794
27.8,0.20664205280954864,0.17428488534159658,0.13887439992316197
27.900000000000002,0.20690434983584108,0.1745008608805402,0.1390390936153471
28,0.20720480620633067,0.17474218803450164,0.13923849720592707
28.1,0.20753915715082982,0.17502385023181186,0.13947638650043134
28.200000000000003,0.20791032737329493,0.17535966087266172,0.13975081635046716
28.3,0.20833063940355123,0.1757504530537645,0.1400618564591525
28.400000000000002,0.20881241577142431,0.17619705987183337,0.14040957652960628
28.5,0.20936797900673979,0.17670031442358178,0.1407940462649469
28.6,0.2100008896293106,0.17726397757152,0.14122500768234494
28.700000000000003,0.21070876695351318,0.17789590305038405,0.14171685070492102
28.8,0.2114950217010212,0.1786030632652258,0.14227661689471782
28.900000000000002,0.21236306459350746,0.17939243062109622,0.1429113478137782
29,0.21331630635264484,0.18027097752304702,0.14362808502414542
29.1,0.21436868310065968,0.18125304406405093,0.1444315850624399
29.200000000000003,0.2155403910129493,0.18235261406512035,0.1453264823399833
29.3,0.21684423089094249,0.18357612552336547,0.14631963523087213
29.400000000000002,0.2182930035360694,0.184930016435898,0.14741790210920247
29.5,0.21989950974975905,0.18642072479982863,0.14862814134907032
29.6,0.22166576073092698,0.18804806886449746,0.14997390667954863
29.700000000000003,0.22358892290730298,0.1898213706152646,0.1514768272017893
29.8,0.22567452992353734,0.19176132365326876,0.1531408743480073
29.900000000000002,0.2279281154242801,0.19388862157964937,0.15497001955041725
30,0.2303552130541822,0.19622395799554584,0.15696823424123352
30.1,0.23299236290807618,0.19877314792046746,0.15914161988086709
30.200000000000003,0.23587301588078458,0.20153372146450182,0.16150508321045987
30.3,0.23899807181694108,0.20451394486465588,0.1640758035833238
30.400000000000002,0.24236843056117988,0.20772208435793568,0.166870960352771
30.5,0.24598499195813434,0.21116640618134827,0.1699077328721131
30.6,0.24985042827050383,0.21486745456494802,0.17318973732467183
30.700000000000003,0.25397150319207634,0.21884167098897891,0.17671779854700276
30.8,0.25835525371412343,0.22309116756573072,0.18050490887226786
30.900000000000002,0.26300871682791577,0.22761805640749272,0.18456406063362982
31,0.2679389295247238,0.2324244496265547,0.1889082461642507
31.1,0.27315661107508554,0.2375148731782738,0.1935423503115439
31.200000000000003,0.27866488337922246,0.24289532397460165,0.1984668628410956
31.3,0.2844593873729331,0.24857012056271724,0.20368818346332573
31.400000000000002,0.29053576399201575,0.25454358148980155,0.20921271188865706
31.5,0.2968896541722678,0.2608200253030339,0.2150468478275106
31.6,0.3035183634935809,0.2673921426194073,0.22119193283503621
31.700000000000003,0.3104210365637075,0.2742470177783253,0.2276455331393029
31.8,0.31759607286024055,0.2813805599105877,0.23440838546010864
31.900000000000002,0.32504187186077427,0.2887886781469928,0.24148122651725287
32,0.3327568330429009,0.296467281618341,0.2488647930305343
32.1,0.340702746683803,0.3044175636325813,0.2565411182064522
32.2,0.3488379734599109,0.3126246456850934,0.2644877065652493
32.300000000000004,0.35715576844769076,0.32106032918781774,0.2726985017973363
32.4,0.3656493867236085,0.3296964155526953,0.28116744759312434
32.5,0.37431208336413146,0.3385047061916686,0.2898884876430262
32.6,0.38314438694347214,0.34747357434530757,0.298846011383792
