% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 22 2026, 14:46"
% Table,Table 22 - c_CNN_Sensor_Phase_2
% Time (s),c_CNN_Sensor_Phase_2 (mol/m^3),c_CNN_Sensor_Phase_2 (mol/m^3),c_CNN_Sensor_Phase_2 (mol/m^3),c_CNN_Sensor_Phase_2 (mol/m^3),c_CNN_Sensor_Phase_2 (mol/m^3),c_CNN_Sensor_Phase_2 (mol/m^3)
0,7.380401458492666E-186,2.0643356984803435E-181,-1.554185799595333E-189,-6.353175914822566E-195,2.123677781738011E-187,2.4697661431962114E-192
0.5,2.7792673867837566E-146,3.6230425196264627E-143,-1.1673872486554352E-146,-2.402005597984091E-151,8.553186224814496E-144,2.6190591392691232E-149
1,-1.8291952299661307E-144,-4.1276251157254165E-141,-2.7000858522036676E-116,-3.4498241704537446E-148,-2.014709481786164E-141,-2.267195266096358E-146
1.5,-2.0964961363265476E-108,-2.6647134858814084E-101,-4.000749283086585E-113,-8.891676240263942E-104,1.3734064428983887E-105,-5.552845201351441E-107
2,-1.8061552024873066E-106,-2.449242777971883E-99,-9.184316281642633E-111,-6.772165086091361E-101,3.349035460318759E-103,-9.568098639108014E-105
2.5,4.0161754923590764E-66,-1.3613672103494053E-97,-8.20990506388794E-69,-1.5583759741885628E-98,2.0971242803504844E-101,-1.3969311374855459E-102
3,2.7143503538357017E-56,-1.0331862269880711E-60,-2.8300208477947042E-67,-3.4098885571272806E-61,-1.8708964066890303E-63,-1.8796669192088579E-63
3.5,1.4648827606889022E-46,-2.2726937042470378E-59,-8.457563009147593E-66,-1.1711725709620773E-59,-3.735068407538394E-62,-4.070545994856281E-62
4,7.867379502047103E-37,-2.5201368505798222E-58,-1.849439937561756E-64,-6.749851261450883E-58,-7.863293918691763E-61,-9.065038946582426E-61
4.5,3.099129203504623E-29,-2.6700054541319166E-57,-1.1679231249183934E-62,-2.7677738881614565E-56,-1.3264490510566108E-59,-7.949214357465175E-60
5,2.172428975804764E-22,-2.1081020117433897E-56,-3.19793141687391E-60,-9.183565573999882E-55,-3.450027653035383E-58,4.9107556617433364E-58
5.5,1.522990767261681E-15,-1.0947272542934018E-53,-1.3866870931517098E-57,-5.335310433346397E-53,-7.589334694691276E-56,-8.788911490379876E-57
6,-1.5839907599107254E-11,-3.485596790311272E-51,-2.7268295842487616E-37,-1.0484910674528435E-50,-1.894539547768412E-53,-2.4109209370941796E-53
6.5,-6.012156142141584E-10,-7.810173552944934E-49,-9.447595595575393E-36,-2.2933314764462552E-48,-3.989282287967163E-51,-9.42100929305363E-51
7,-1.669551885736179E-10,-1.696031949144521E-46,-7.818442672472698E-35,-5.784764270523864E-46,-6.330124569532618E-34,-2.797843871671483E-48
7.5,-4.7486158500406104E-9,-1.9037909432852633E-31,-1.1806065052268218E-33,-1.149749313969753E-43,-1.5253514732492805E-32,-1.9176340718886125E-32
8,-7.23744051905317E-9,-2.4278496013578595E-30,-3.2364325347393924E-32,-1.4432890440618669E-30,-1.0732347250430137E-31,-1.4374018243838254E-31
