% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 23 2026, 19:48"
% Table,Table 34 - c_CNN_Sensor_Phase_3
% Time (s),c_CNN_Sensor_Phase_2 (mol/m^3)
0.01,-4.479878961087968E-112
0.02,-1.751543470129381E-111
0.03,-3.850054550603014E-111
0.04,-6.682908966070996E-111
0.05,-1.0189494545074572E-110
0.06,-1.4309199116155177E-110
0.07,-1.8981410507853837E-110
0.08,-2.4145516548712003E-110
0.09,-2.9740905067270894E-110
0.1,-3.57069638920723E-110
0.11,-4.198308085165666E-110
0.12,-4.850864377456577E-110
0.13,-5.522304048934096E-110
0.14,-6.206565882452278E-110
0.15,-6.897588660865345E-110
0.16,-7.58931116702743E-110
0.17,-8.275672183792466E-110
0.18,-8.950610494014904E-110
0.19,-9.608064880548648E-110
0.2,-1.024197412624795E-109
0.21,-1.084627701396671E-109
0.22,-1.1414912326559358E-109
0.23,-1.19418188468799E-109
0.24,-1.2420935357782307E-109
0.25,-1.2846200642120893E-109
0.26,-1.3211553482749676E-109
0.27,-1.3510932662523064E-109
0.28,-1.373827696429488E-109
0.29,-1.3887525170919212E-109
0.3,-1.3952616065250454E-109
0.31,-1.392748843014258E-109
0.32,-1.3806081048449819E-109
0.33,-1.358233270302599E-109
0.34,-1.3250182176725777E-109
0.35000000000000003,-1.2803568252402703E-109
0.36,-1.2236429712911198E-109
0.37,-1.1542705341105597E-109
0.38,-1.0716333919839588E-109
0.39,-9.751254231967524E-110
0.4,-8.641405060343546E-110
0.41000000000000003,-7.38072518782183E-110
0.42,-5.963153397256365E-110
0.43,-4.3826284715013113E-110
0.44,-2.6330891934108707E-110
0.45,-7.084743458391721E-111
0.46,1.397277288359721E-110
0.47000000000000003,3.690226926331667E-110
0.48,6.176435785222515E-110
0.49,8.861965082178189E-110
0.5,1.1752876034344349E-109
0.51,5.313619140020759E-92
0.52,2.0801635843369808E-91
0.53,4.578478903497766E-91
0.54,7.958381763977356E-91
0.55,1.2151946058268851E-90
0.56,1.709124567886528E-90
0.5700000000000001,2.2708354518259543E-90
0.58,2.8935346468944786E-90
0.59,3.5704295423413907E-90
0.6,4.294727527416035E-90
0.61,5.059635991367645E-90
0.62,5.858362323445565E-90
0.63,6.6841139128991E-90
0.64,7.530098148977457E-90
0.65,8.389522420930125E-90
0.66,9.25559411800627E-90
0.67,1.0121520629455204E-89
0.68,1.0980509344526296E-89
0.6900000000000001,1.1825767652468775E-89
0.7000000000000001,1.2650502942531926E-89
0.71,1.3447922603965193E-89
0.72,1.4211234026017646E-89
0.73,1.4933644597938775E-89
0.74,1.5608361708977917E-89
0.75,1.6228592748384217E-89
0.76,1.6787545105406938E-89
0.77,1.72784261692956E-89
0.78,1.7694443329299407E-89
0.79,1.8028803974667526E-89
0.8,1.8274715494649514E-89
0.81,1.8425385278494354E-89
0.8200000000000001,1.8474020715451808E-89
