% Model,COMSOL_Single_Pipe.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 17 2026, 11:12"
% Table,Table_c_Sensor - c_Pipe_1_Sensor
% Time (s),c_Pipe_1 (mol/m^3),c_Pipe_1_Phase_2 (mol/m^3)
0,3.05243778183384E-295,1.057034532268275E-121
0.01,1.2268450935603556E-260,1.6339743344518654E-19
0.02,5.453629657001382E-256,5.9362138098392E-14
0.03,-6.789692549805058E-253,5.784409100656086E-13
0.04,-6.578860010715538E-250,-4.431123355508654E-13
0.05,-4.3796074786690995E-188,-3.4797338376343182E-12
0.06,-4.911328955564635E-185,-5.029127405164568E-12
0.07,-3.620264473546096E-182,-1.0802752719895242E-11
0.08,-2.608778243268096E-179,-1.247947552436979E-11
0.09,-2.518655274503483E-176,-2.0549658898549054E-11
0.1,-2.6221659681758953E-115,-3.141421558258159E-11
0.11,-1.4645784558160327E-112,-4.3311541417344906E-11
0.12,-1.2017309388039605E-109,-5.729600916759192E-11
0.13,-3.8215245831415756E-107,-7.035318403888933E-11
0.14,-4.055988425016768E-105,-8.487052999666815E-11
0.15,-2.8358909027135777E-103,-9.861123884261402E-11
0.16,-6.886783250870723E-101,-1.1060773117502918E-10
0.17,-4.442349591348391E-99,-1.2288560294141613E-10
0.18,-1.937107486163548E-97,-1.372025373260242E-10
0.19,-1.7050567903994324E-95,-1.5200880736102134E-10
0.2,-8.498766781357618E-94,-1.6553606920876579E-10
0.21,2.3766785645069895E-61,-1.7864407192646756E-10
0.22,1.358534420378714E-60,-1.9272276100802292E-10
0.23,9.547769495627314E-60,-2.0745387323934468E-10
0.24,7.359497754257019E-59,-2.2128357852591559E-10
0.25,4.5739833195866305E-58,-2.336741586760566E-10
0.26,2.0597410947881872E-57,-2.455075368268234E-10
0.27,1.7187448193444362E-56,-2.572989680084967E-10
0.28,1.2401642470890606E-55,-2.685179945488563E-10
0.29,6.514055898949258E-55,-2.762989897343135E-10
0.3,3.764666403285601E-54,-2.802300062484976E-10
0.31,2.9413735147353727E-53,-2.76413760896855E-10
0.32,1.8847551137331195E-52,-2.661214999848808E-10
0.33,7.565178903793857E-52,-2.4893880304042606E-10
0.34,6.056081067744557E-51,-2.2778133910526053E-10
0.35000000000000003,4.1726915744763777E-50,-2.0476448664059732E-10
0.36,2.2101091503344E-49,-1.8056162920393096E-10
0.37,1.0433589169741742E-48,-1.5531532723212235E-10
0.38,7.219878338401204E-48,-1.2747391389938899E-10
0.39,4.167822057489513E-47,-9.712939876060226E-11
0.4,1.737463363179517E-46,-6.283311691329064E-11
0.41000000000000003,9.777180354295864E-46,-2.4665025075975435E-11
0.42,1.924372793260492E-33,1.8108748538928287E-11
0.43,6.97808425463184E-33,6.491639984333994E-11
0.44,1.4715561395862736E-32,1.1558859161886487E-10
0.45,6.530442697428445E-32,1.6839431174108772E-10
0.46,1.445804900366362E-31,2.2326262804398053E-10
0.47000000000000003,4.548035558546377E-31,2.786874103083109E-10
0.48,1.2920462389778523E-30,3.3508069932394943E-10
0.49,2.479471068849543E-30,3.920510269846926E-10
0.5,1.0326317400353599E-29,4.49553333802738E-10
0.51,2.270770775994513E-29,5.073161966657831E-10
0.52,6.855904608934936E-29,5.651387865284111E-10
0.53,1.8631894157182186E-28,6.228729013748552E-10
0.54,3.5244918226379245E-28,6.808358862022966E-10
0.55,1.3230782311476442E-27,7.390870299269381E-10
0.56,2.821765248849588E-27,7.987435124507561E-10
0.5700000000000001,7.805988670676677E-27,8.601184140969076E-10
0.58,1.983724212363527E-26,9.254335400733007E-10
0.59,3.667501191213163E-26,9.973040635922836E-10
0.6,1.2054415567176393E-25,1.0799836476121936E-9
0.61,2.4696688304979717E-25,1.1876254880663128E-9
0.62,6.209331806639126E-25,1.3257849888691496E-9
0.63,1.4655934288104598E-24,1.5576332020270068E-9
0.64,2.6363910946134567E-24,1.8917448070528937E-9
0.65,7.620688096139246E-24,2.5123739948455925E-9
0.66,1.4953192208624343E-23,3.4959361511518703E-9
0.67,3.4432428757356583E-23,5.219533555379008E-9
0.68,7.566453096345519E-23,8.116620708548295E-9
0.6900000000000001,1.3350205962849863E-22,1.2777765255139026E-8
0.7000000000000001,3.4110684880419513E-22,2.0897013032074864E-8
0.71,6.412071183535857E-22,3.29355081319187E-8
0.72,1.366725421000866E-21,5.442631729290721E-8
0.73,2.811398615863384E-21,9.126922295084253E-8
0.74,4.856354624664833E-21,1.9623070919318917E-7
0.75,1.1153732396214018E-20,3.5215298240293834E-7
0.76,2.011759374703417E-20,5.590360425800931E-7
0.77,4.0076471465454175E-20,9.27924592177058E-7
0.78,7.762490827879196E-20,1.4981345493662526E-6
0.79,1.3081872616811096E-19,2.2101112898681855E-6
0.8,2.7466940427134583E-19,3.2515329180918475E-6
0.81,4.762828830164341E-19,4.965871237506873E-6
0.8200000000000001,8.937889506027725E-19,7.112619451289947E-6
0.8300000000000001,1.6389968300607645E-18,9.84482692766217E-6
0.84,2.6898068850796267E-18,1.4385668015318485E-5
0.85,5.230833810987718E-18,2.0039509921511648E-5
0.86,8.737392695581194E-18,2.6806352646241263E-5
0.87,1.55432507286291E-17,3.741949429000025E-5
0.88,2.711301640477622E-17,5.081363024110561E-5
0.89,4.328975035234545E-17,6.677779895467633E-5
0.9,7.876842067663815E-17,8.905020998501607E-5
0.91,1.2697378775480506E-16,1.1800169649885E-4
0.92,2.1519683309948777E-16,1.5233135199997137E-4
0.93,3.5852477776717845E-16,1.961346102859202E-4
0.9400000000000001,5.566754496995587E-16,2.537768309413521E-4
0.9500000000000001,9.552650738310033E-16,3.2168630643325405E-4
0.96,1.4884561269421348E-15,4.0292344571346827E-4
0.97,2.4128033531516297E-15,5.094978854719819E-4
0.98,3.852074067874705E-15,6.340811481802148E-4
0.99,5.8150866826416784E-15,7.767199698156736E-4
1,9.468309243353261E-15,9.610585702315998E-4
1.01,1.4278692922327978E-14,0.0011746257364136966
1.02,2.220640326481526E-14,0.0014174214683619624
1.03,3.406683011758581E-14,0.0017126636028144998
1.04,5.988245905049304E-14,0.00205709652544982
1.05,1.8937739153309871E-13,0.0024457020388361774
1.06,3.8109875771969987E-13,0.0028974807087788234
1.07,6.350465576102946E-13,0.0034231518541331784
1.08,9.51220791204868E-13,0.004011289549023378
1.09,1.4279310228280105E-12,0.0046736818583333105
1.1,2.635440568616353E-12,0.0054367308577284185
1.11,4.1487807815348234E-12,0.006282754958293443
1.12,5.967951661583547E-12,0.007215136492461701
1.1300000000000001,8.092953208762355E-12,0.008273226662021023
1.1400000000000001,1.3273892827690822E-11,0.00943515232353055
1.1500000000000001,2.1420824973961262E-11,0.01070091347699
1.16,3.1457785869182635E-11,0.012104288354581397
1.17,4.3384775513355494E-11,0.013634192245888244
1.18,1.0164362570413307E-10,0.015286853713416558
1.19,4.116885180734453E-10,0.01708048492281996
1.2,8.240345314279686E-10,0.01901889246338079
