% Model,COMSOL_Single_Pipe.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 16 2026, 17:05"
% Table,c_Pipe_1_Sensor - c_Pipe_1_Sensor
% Time (s),c_Pipe_1 (mol/m^3),c_Pipe_1_Biff (mol/m^3)
0,1.4272016112057487E-190,-5.491927054053012E-193
0.01,9.854320465483558E-191,8.557920648849111E-192
0.02,8.791017132791327E-187,-7.637878173208611E-189
0.03,5.521882294573397E-176,1.2124369653343714E-166
0.04,6.852076017011912E-169,1.240275659043327E-159
0.05,1.972885716619513E-161,9.969920723302255E-153
0.06,5.8876302166335145E-111,6.922225057394785E-146
0.07,6.781828477268676E-107,5.240612986380734E-102
0.08,5.703269375395157E-103,4.0413680254701024E-98
0.09,8.19708498047657E-99,2.823554028658037E-94
0.1,6.917020000476661E-95,1.6766300909831475E-90
0.11,4.551386656882419E-91,9.827230564401536E-87
0.12,2.605455411466431E-87,2.7285149518126626E-83
0.13,1.3631181948716044E-63,7.995367082144806E-62
0.14,2.5671300072874785E-61,1.3719247496536168E-59
0.15,4.756549083738042E-59,1.5503841988599344E-57
0.16,8.466980840576762E-57,2.141140853723831E-55
0.17,1.3745658438208682E-54,2.8965254015970613E-53
0.18,1.927107847406895E-52,3.3724239766913154E-51
0.19,2.253995087055064E-50,3.2455588359054982E-49
0.2,2.1715557934862803E-48,2.547221143579737E-47
0.21,1.7251591971337232E-46,1.635527278671513E-45
0.22,1.1389232640571088E-44,8.683929652145999E-44
0.23,2.7420594450727598E-33,3.863310441801799E-42
0.24,4.949545515557854E-32,1.459333856837932E-40
0.25,7.642207619801978E-31,2.5680393389996373E-31
0.26,1.1198121390146136E-29,1.639185187813022E-29
0.27,1.8726971843959202E-28,4.886546402161295E-28
0.28,3.0071494190813672E-27,9.794655187551659E-27
0.29,3.8943770033986753E-26,1.4832299086795046E-25
0.3,4.285310666872079E-25,1.8083373564439637E-24
0.31,4.117375589252322E-24,1.8476384400643817E-23
0.32,3.515250500565231E-23,1.6263570957416376E-22
0.33,2.7007483407900344E-22,1.2584875852320868E-21
0.34,1.885615084169889E-21,8.693935516706292E-21
0.35000000000000003,1.2687516671159386E-20,5.427554769436556E-20
0.36,8.453506647437825E-20,3.0923314192917845E-19
0.37,5.021859112219397E-19,1.620998657496128E-18
0.38,2.5703613896408214E-16,7.871124015876573E-18
0.39,1.7310468485713017E-15,3.560706654609654E-17
0.4,1.5933879681817454E-14,1.5080160624625701E-16
0.41000000000000003,5.3062761550203456E-14,6.00457678389152E-16
0.42,2.9905281241768213E-13,2.268233969871521E-15
0.43,7.974243455106817E-13,8.266920794800214E-15
0.44,3.4104531923736643E-12,2.8460832809171986E-14
0.45,9.469253181219077E-12,9.289918551483999E-14
0.46,2.814112717450805E-11,2.8849399148374297E-13
0.47000000000000003,7.644624648970958E-11,8.546746935497371E-13
0.48,1.876562802676633E-10,2.4192343408212478E-12
0.49,4.995963539554844E-10,6.550326677813294E-12
0.5,1.0895989762452494E-9,1.701801750851551E-11
