% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 23 2026, 11:30"
% Table,Table 34 - c_CNN_Sensor_Phase_3
% Time (s),c_CNN_Sensor_Phase_2 (mol/m^3)
0.01,4.654923880759062E-162
0.02,1.2060706001875672E-155
0.03,1.2860389041348907E-153
0.04,2.3657742536345095E-152
0.05,1.4596515670993045E-151
0.06,5.495406802126065E-151
0.07,1.634520158284176E-150
0.08,3.865172211311674E-150
0.09,6.807591571060554E-150
0.1,8.515550742611861E-150
0.11,4.3532786161901273E-150
0.12,-1.3858222414617362E-149
0.13,-5.641444855159669E-149
0.14,-1.2426794272181579E-148
0.15,-2.0855325171623994E-148
0.16,-2.711569391674165E-148
0.17,-2.2764709192665277E-148
0.18,-9.604178596172734E-149
0.19,2.1810531549995393E-148
0.2,6.939832274913653E-148
0.21,1.349695571691388E-147
0.22,2.1959669051922906E-147
0.23,3.155448211938874E-147
0.24,4.125965030645187E-147
0.25,5.055660589615383E-147
0.26,5.440717686738347E-147
0.27,5.496271538744369E-147
0.28,3.639921560575839E-147
0.29,4.719621025221684E-148
0.3,-6.326165141331812E-147
0.31,-1.6826465874183548E-146
0.32,-3.2833938881937635E-146
0.33,-5.603875642379765E-146
0.34,-8.645130729637495E-146
0.35000000000000003,-1.2670245847991144E-145
0.36,-1.7554268030529513E-145
0.37,-2.3309462020584653E-145
0.38,-2.9930812353735597E-145
0.39,-3.691192008542546E-145
0.4,-4.4370184646126946E-145
0.41000000000000003,-5.175914655419515E-145
0.42,-5.891405005682137E-145
0.43,-6.567632348720965E-145
0.44,-7.163116428298078E-145
0.45,-7.700733037615159E-145
0.46,-8.180482176672073E-145
0.47000000000000003,-8.604313158356647E-145
0.48,-9.033501320130829E-145
0.49,-9.428475566797057E-145
0.5,-9.789235898355644E-145
0.51,-1.0122746455906435E-144
0.52,-1.0616492613616445E-144
0.53,-1.1155316026698344E-144
0.54,-1.1739216695152294E-144
0.55,-1.2382421646785079E-144
0.56,-1.341358029986862E-144
0.5700000000000001,-1.4630029947530657E-144
0.58,-1.6031770589771096E-144
0.59,-1.7637523030045162E-144
0.6,-1.982499852865182E-144
0.61,-2.2360345389088772E-144
0.62,-2.5243563611355415E-144
0.63,-2.848188156129696E-144
0.64,-3.220444066997565E-144
0.65,-3.633095985290109E-144
0.66,-4.0861439110072727E-144
0.67,-4.5783992193431235E-144
0.68,-5.090849948872006E-144
0.6900000000000001,-5.635363888258648E-144
0.7000000000000001,-6.211941037503138E-144
0.71,-6.818761131627039E-144
0.72,-7.429523754027914E-144
0.73,-8.060715453770572E-144
0.74,-8.712336230855236E-144
0.75,-9.381094415217797E-144
0.76,-1.0023706621471875E-143
0.77,-1.0667421340336066E-143
0.78,-1.1312238571810284E-143
0.79,-1.1937886115569867E-143
0.8,-1.2300241786536612E-143
0.81,-1.2553657952117725E-143
0.8200000000000001,-1.269813461231406E-143
0.8300000000000001,-1.2629531040954592E-143
0.84,-1.1193185684148097E-143
0.85,-9.122390950790347E-144
0.86,-6.417146840880963E-144
0.87,-2.731029427243758E-144
0.88,5.488813931326255E-144
0.89,1.597592001276482E-143
0.9,2.8730288817071747E-143
0.91,4.454779369459299E-143
