% Model,COMSOL_Three_Pipes_Phases_1_to_4.mph
% Version,COMSOL 6.3.0.420
% Date,"May 2 2026, 12:25"
% Table,Table 36 - c_CNN_Surface_Phase_2
% Time (s),c_CNN_Outlet_Phase_2 (mol/m^3)
0,-4.48822421969712E-68
0.5,-1.7428390564465234E-65
1,-9.019755669012581E-55
1.5,-1.2538650072702956E-53
2,-1.3159717074421226E-52
2.5,-4.8717987010357975E-51
3,-6.08697872172869E-34
3.5,-3.389979681284821E-33
4,-1.8634604088144738E-32
4.5,-9.329806549346786E-32
5,-4.491615830589139E-31
5.5,-1.1788947242200554E-30
6,2.4157107313573624E-28
6.5,2.904162790113553E-26
7,1.772491093100291E-24
7.5,8.168639431394216E-23
8,3.618747630356659E-21
8.5,1.115834293385433E-19
9,2.8958465693680616E-18
9.5,6.557234211194379E-17
10,1.1438778680753417E-15
10.5,1.7942758557986274E-14
11,2.4174975289961203E-13
11.5,2.7561610834050913E-12
12,3.06593999244587E-11
12.5,2.935569585904499E-10
13,2.1593386248098197E-9
13.5,1.2667920588948438E-8
14,6.432350861675152E-8
14.5,2.9096174289597184E-7
15,1.1935633036846526E-6
15.5,4.368759381922006E-6
16,1.4480229472989869E-5
16.5,4.362308056423002E-5
17,1.1909670341494525E-4
17.5,2.9734479527514945E-4
18,6.792299687739482E-4
18.5,0.0014228044284071563
19,0.002750059084361809
19.5,0.004911350571659987
20,0.008139828704217653
20.5,0.012573727963557053
21,0.01818371564256884
21.5,0.02474375391010915
22,0.03185370807840657
22.5,0.0390306437430301
23,0.04580120045262108
23.5,0.05181079930901596
24,0.056874921351367395
24.5,0.06099191713789971
25,0.06432940910779983
25.5,0.06717480068462887
26,0.06980878307064624
26.5,0.07238183770110997
27,0.0749591935112624
27.5,0.07761588621483874
28,0.0804812581162012
28.5,0.0837355008447994
29,0.08760352882681263
29.5,0.09235772012281906
30,0.09831447136797891
30.5,0.10576050492694727
31,0.11487453467840492
31.5,0.1256633703542327
32,0.13794618211515727
32.5,0.15137312300173458
33,0.16546505822119886
33.5,0.17968969002962248
34,0.19352210248932794
34.5,0.2065310906116234
35,0.2184282595897659
35.5,0.2290712467786371
36,0.23845190927873802
36.5,0.24666041740595135
37,0.25385208168241896
37.5,0.260204378079209
38,0.2658894942954153
38.5,0.2710499760423921
39,0.2757852085148919
39.5,0.28016319923421285
40,0.2842323466409541
40.5,0.2880325236897502
41,0.2916011338714287
41.5,0.29497328089926933
42,0.2981792167485239
42.5,0.30124500484586436
43,0.3041919712943789
43.5,0.3070376156880695
44,0.3097960988682245
44.5,0.3124180761844364
45,0.3150060096243614
45.5,0.3175016951882456
46,0.31996621255667757
46.5,0.32237762763090283
47,0.3247380199393028
47.5,0.3270739478014454
48,0.329341719579194
48.5,0.3315897772959694
49,0.3337921963710325
49.5,0.3359593067406113
50,0.33810229095026545
50.5,0.34015229457545565
51,0.3421919816816352
51.5,0.3442316687878153
52,0.34622638427780617
52.5,0.3481782765270529
53,0.3501301687762985
53.5,0.3520459705025391
54,0.3539199356663121
54.5,0.3557939008300852
55,0.3576387306343534
55.5,0.3594423254115662
56,0.36124592018878104
56.5,0.36302539625987074
57,0.3647628988903542
57.5,0.36650040152083824
58,0.36821813792375485
58.5,0.36989305398520894
59,0.37156797004665887
59.5,0.37322712980616257
60,0.3748429713159922
60.5,0.37645881282582316
61,0.37806969682359065
61.5,0.379654266034022
62,0.38122488789129555
62.5,0.38278156239541944
63,0.38432428954638687
63.5,0.3858530693442018
64,0.38736712394587497
64.5,0.38886032215362937
65,0.3903374776401851
65.5,0.39179859040553755
66,0.39324366044968573
66.5,0.39467268777263226
67,0.3960857700049207
67.5,0.39748808493429966
68,0.398875862069209
68.5,0.40024910140964354
69,0.40160780295560833
69.5,0.4029519667070972
70,0.40428159266411634
70.5,0.4056018441556182
71,0.4069095207535609
71.5,0.4082042530434889
72,0.40948604102539654
72.5,0.4107548846992874
73,0.41201078406516084
73.5,0.41325749165394865
74,0.41449325130855597
74.5,0.4157173810231168
75,0.4169298807976294
75.5,0.418130750632095
76,0.41931999052651436
76.5,0.42050015296186366
77,0.42167053470972443
77.5,0.42283031599750764
78,0.42397949682521363
78.5,0.42511807719284417
79,0.42624605710039337
79.5,0.4273664459386099
80,0.42847917343849296
80.5,0.4295827244258934
81,0.430677098900812
81.5,0.43176229686324635
82,0.4328383183131996
82.5,0.4339051632506675
83,0.43496283167565397
83.5,0.4360113235881565
84,0.43705063898817925
84.5,0.438080777875716
85,0.4391017402507701
85.5,0.4401158531809228
86,0.44112446058105187
86.5,0.44212474465573354
87,0.4431167054049662
87.5,0.44410034282875305
88,0.44507565692708945
88.5,0.44604264769998014
89,0.44700131514742053
89.5,0.44795165926941444
90,0.44889368006595964
