% Model,COMSOL_Three_Pipes_Phases_1_to_4.mph
% Version,COMSOL 6.3.0.420
% Date,"May 2 2026, 17:39"
% Table,Table 36 - c_CNN_Sensor_Phase_3
% Time (s),c_CNN_Sensor_Phase_3 (mol/m^3),c_CNN_Sensor_Phase_3 (mol/m^3),c_CNN_Sensor_Phase_3 (mol/m^3),c_CNN_Sensor_Phase_3 (mol/m^3),c_CNN_Sensor_Phase_3 (mol/m^3),c_CNN_Sensor_Phase_3 (mol/m^3)
0,-2.001810133995848E-124,9.499967364790104E-126,5.043111666520474E-122,-9.62748955378176E-124,-9.513686775304624E-124,-3.437263345348512E-125
0.5,-2.2252930241073136E-84,8.468801229560703E-86,2.0949735265557058E-82,-2.4020687605746597E-86,1.0815332442269092E-84,-7.911498319265653E-86
1,-1.5525537456679908E-82,7.505869468073898E-84,-2.8774348046130857E-81,-3.223905733300262E-83,2.4409171733509664E-82,4.781334365225809E-84
1.5,-1.3479472247297102E-82,-1.1234589297843693E-82,4.941307742661467E-81,3.426800094624966E-81,3.535860585765466E-82,-7.385691766539262E-83
2,-2.905610042152531E-60,-2.580532784665191E-64,-3.820309286572016E-60,-5.980336074880525E-63,-1.2187918428935438E-79,-1.4273019854060951E-80
2.5,-2.660065351076435E-58,-2.3812728480356006E-62,-4.2547054348389036E-58,-6.887861902063896E-61,-3.463638279262784E-53,-2.4023457859471793E-52
3,-8.210205891202347E-57,-3.307436959920034E-61,-6.04739272079904E-57,-1.1960621016227732E-59,-1.6849093549031856E-51,-9.517089447862817E-51
3.5,-3.8992663731708956E-55,-4.5292585415662866E-60,-1.665843361259588E-55,-1.292106469104324E-58,-1.9309241969181145E-50,-1.1389397872251851E-49
4,-3.567654009801819E-36,-1.4293989962297074E-38,-1.5357235651850018E-36,-4.839101870535117E-38,-2.969127790654797E-49,-1.5382612426544345E-48
4.5,-3.316649504490707E-34,-1.6044064645706532E-36,-2.578067875246299E-34,-5.6898038811502065E-36,-1.3632421312473387E-47,-2.575560314530333E-47
5,-3.862105827763003E-33,-1.5643359525481387E-35,-2.645464664578256E-33,-5.865377262021422E-35,-1.7026972947665184E-45,-1.2449787701061915E-45
5.5,-4.4680441568270555E-32,-1.036880340879465E-34,-2.0564343918364352E-32,-4.280905484375404E-34,-1.8476070251537356E-30,-2.810142739254035E-30
6,-6.00248051768145E-31,-9.159731430224657E-34,-2.1204487199753404E-31,-3.899173097287221E-33,-7.644203794561942E-29,-1.0832301851874584E-28
