% Model,COMSOL_Three_Pipes_Phases_1_to_4.mph
% Version,COMSOL 6.3.0.420
% Date,"Mar 4 2026, 09:32"
% Table,c_CNN_Outlet_Phase_2 - Surface Average 2
% Time (s),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3)
0,1.0865803846061856E-112,-1.8038253677938136E-111,8.738863392880522E-111,9.901205612219543E-133,9.761833139469714E-133,-7.673658961710806E-129,4.659745377116686E-129,-4.4262142859879284E-132,1.7195655504886951E-134,-6.22943176108219E-130,8.423411110205441E-132,-8.71334161899192E-132,-1.228602367754581E-129,8.279757870387699E-131
0.1,1.0360531982995308E-109,-8.502225124863406E-110,6.788115143491252E-109,5.886189913343236E-107,4.326145771162955E-128,1.1519806636037916E-126,-1.856944984307886E-128,3.0059955180338887E-129,9.567298449718256E-131,-3.765440021130803E-130,-1.88244279285904E-127,-3.0706201340289424E-128,-1.9700594343661596E-127,4.535995375964195E-129
0.2,3.8167798179764686E-109,-1.924783540505238E-109,6.5716333091264025E-109,1.7492388827252403E-106,1.2532889723548414E-127,2.1028485232534453E-126,1.6843509067325885E-126,7.522928885786413E-129,3.468656683424727E-130,-1.0396654674154017E-127,-4.632937887227553E-127,-9.168051906328127E-128,-1.3312779888645739E-126,1.486498134995444E-128
0.30000000000000004,8.114752338747369E-109,-2.279618113774178E-109,3.6617719662035974E-109,2.5740040502546514E-106,1.780587657291247E-127,2.5323128367692918E-126,4.1565747531460744E-126,9.738059202467065E-129,5.6852070168898705E-130,-1.8991078604122753E-127,-5.9175626477520456E-127,-1.372869661261844E-127,-2.1828533215368644E-126,1.9358845315265663E-128
0.4,1.37014566599442E-108,-9.526230083327083E-110,2.282359950092221E-109,2.1550588700044846E-106,1.3330653416679775E-127,2.1277565209333662E-126,6.441256027439338E-126,5.843071781571317E-129,5.755635390343376E-130,-1.3672709654801337E-127,-3.4024786731901537E-127,-1.2188084214458884E-127,-1.5305405243387288E-126,6.306677086488683E-129
0.5,2.0348378680898914E-108,3.0183049997796323E-109,6.657226096161611E-109,-4.1545228194334864E-107,-7.707232647724947E-128,5.765624925277057E-127,7.581548667654325E-126,-7.970348063405327E-129,1.829196348761381E-130,1.770666870912648E-127,5.246152437700512E-127,1.8255326591560712E-130,1.846851819844594E-126,-3.6002433521785446E-128
0.6000000000000001,5.789639485631318E-96,-1.301463699327466E-101,6.1526008765249855E-99,-5.340645128710216E-103,6.082820429202035E-95,5.068207412629669E-100,2.704108919736888E-97,3.913186415635096E-101,6.848685926673899E-96,-4.703642265823105E-102,6.4640925316422164E-99,-4.124802551602118E-100,-2.116973710993703E-99,-1.5973906801957058E-99
0.7000000000000001,1.563761189979207E-95,-3.62792709695496E-101,1.6925430806058063E-98,-1.415732308799619E-102,1.646970390277928E-94,1.331905143117298E-99,7.440637629151932E-97,1.1046103993936542E-100,1.637610265019646E-95,-1.2534237301846695E-101,1.6093648296041675E-98,-1.1931930688181648E-99,-5.761231401374845E-99,-6.228079703751512E-99
0.8,1.8262498178395792E-95,-4.612498307935479E-101,2.0791030744795943E-98,-1.5656279463178912E-102,1.9368283699688438E-94,1.4321864726611437E-99,9.145889053551761E-97,1.4488790231998591E-100,1.2054288585819075E-95,-1.4071287465902166E-101,1.4244584547407625E-98,-1.6570465132398432E-99,-6.872777907243506E-99,-1.364984254512047E-98
0.9,2.38287925735401E-96,-1.888285477505095E-101,6.221941648269585E-99,9.566556127025343E-104,2.986193098886297E-95,-2.3540200300734694E-100,2.7561661182429805E-97,7.331282626915539E-101,-2.2644717851206943E-95,1.0570488417901462E-103,-1.3727181460050665E-98,-1.1189486606912293E-99,-1.3916180646997514E-99,-2.3620454678755648E-98
1,-4.328266392742176E-95,6.91160324910014E-101,-3.830929552799003E-98,4.647565200660907E-102,-4.446893462067042E-94,-4.713927016790024E-99,-1.679222825146783E-96,-1.7336381324218392E-100,-1.0424887824563006E-94,3.941723739056545E-101,-8.24657324721239E-98,1.1061924165616978E-99,1.4742243290156363E-98,-3.5897691579110073E-98
1.1,-6.28722930180065E-97,-1.4704603734257095E-99,-3.5782304135894864E-96,3.4884090298712933E-65,2.7955813309377874E-58,2.196943313179533E-62,1.2400287018968273E-60,8.107013900780402E-62,1.2756571667124655E-58,9.253098585241195E-64,3.1540480800761986E-62,8.097981073683952E-63,9.882937977306092E-63,1.199724184971176E-60
1.2000000000000002,-8.359019492390638E-95,-4.824958834029471E-99,-1.0277167485641831E-95,8.851931285012105E-65,8.220098984852552E-58,5.634956006029637E-62,3.2852762327310356E-60,2.1503006011359933E-61,3.757367564248847E-58,2.461493950416528E-63,8.280396339151393E-62,2.196304831597449E-62,2.4871685257757573E-62,3.250670358829794E-60
1.3,-8.015089574007935E-94,-7.719232494812304E-99,-1.4443945481179692E-95,8.438009513712856E-65,1.1830213453396417E-57,5.584812208517582E-62,3.6234847302182286E-60,2.3800401944096053E-61,5.4272395387076166E-58,2.7489340501573006E-63,8.875350805495477E-62,2.5951887758729707E-62,2.297614186415425E-62,3.830498949993486E-60
1.4000000000000001,-2.663726887853037E-93,-7.878134501266237E-99,-1.0387389369697662E-95,-5.405913535736099E-65,9.182585228221498E-58,-2.682713949389372E-62,-2.5760366792599776E-61,-1.3883726886537158E-62,4.2673814361872705E-58,-7.198806777348219E-65,-1.5647824926216514E-62,4.4211854338076987E-63,-1.779379218070404E-62,6.1687038687988975E-61
1.5,-6.179585863772816E-93,-3.0265179988833023E-99,7.583675879309516E-96,-4.033239511504422E-64,-4.1661251990200535E-58,-2.3896848337723857E-61,-1.0870246823986013E-59,-7.04508922745317E-61,-1.740098397213719E-58,-7.860890628895726E-63,-2.954369752693001E-61,-5.8272372626933315E-62,-1.194282168540171E-61,-8.712554902093336E-60
1.6,3.376253563319074E-58,1.4832412724764645E-62,6.386735243232635E-63,-6.204158803979096E-64,1.1917803927873622E-56,3.368863337948158E-60,2.1523598222172807E-58,1.6200975894481605E-59,1.1866952502861044E-57,6.712567724563359E-62,2.1888688817948694E-60,1.497709605410883E-60,2.3508483686549544E-61,3.6876783098834185E-59
1.7000000000000002,9.74149299322752E-58,3.2467262848762325E-62,1.163356955946015E-62,-2.2565017056058354E-63,2.6711675713356747E-56,8.80130031304889E-60,5.7731181916512315E-58,4.172834572960263E-59,1.4171683107317702E-57,1.6166951754532285E-61,5.628796361105949E-60,3.712496700135381E-60,2.7919361234476792E-61,7.1973359221886305E-59
1.8,1.345043639965219E-57,1.2610968296548869E-62,-5.129554171522968E-63,-8.229354880816726E-63,4.596827090464665E-57,7.09383929480499E-60,5.5654546924824345E-58,3.5200116152028247E-59,-7.991230347792013E-57,4.74685387106519E-62,2.8373742080524004E-60,2.6408823807090244E-60,-1.9344375788749087E-60,-9.541429387982338E-59
1.9000000000000001,8.857801892519935E-58,-8.503005300732005E-62,-6.477269306992231E-62,-2.145674886007316E-62,-9.379491768688559E-56,-1.0718022863903482E-59,-3.658748622868706E-58,-4.406119726883077E-59,-3.554714041469299E-56,-5.0377935081790115E-61,-1.3372368831977361E-59,-5.662339883705699E-60,-8.353144425252266E-60,-6.57277643553183E-58
2,-9.681692418242321E-58,-3.007493831382879E-61,-1.8816590425594315E-61,-4.485645709741755E-62,-3.078317343647761E-55,-5.3598789310196415E-59,-2.708760970198168E-57,-2.3673307896356317E-58,-8.975920157937857E-56,-1.7203762425998545E-60,-5.018740401359474E-59,-2.5142376623946244E-59,-2.0924262615245957E-59,-1.8056081571450764E-57
2.1,-3.6565962019767534E-57,-4.984429247574224E-61,-2.5458564243073618E-61,1.5241992483096233E-59,8.839070346781657E-54,3.7911020228145976E-56,1.2143050366626077E-54,1.1105907148797277E-55,3.7371701915000416E-54,3.802920409343068E-58,1.6483596522276044E-56,2.934897732701452E-57,4.7707112786428685E-57,4.991302786743849E-56
2.2,-8.662906283346174E-57,-9.730485793141632E-61,-6.0036259056566016E-61,4.376654820254814E-59,2.4450275257877977E-53,1.0805375830155063E-55,3.439116771730349E-54,3.110258745148903E-55,1.0608513184167673E-53,1.0505591930784304E-57,4.630158724139296E-56,8.206395134966538E-57,1.37781691611583E-56,1.401231033161571E-55
