% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 23 2026, 16:42"
% Table,Table 34 - c_CNN_Sensor_Phase_3
% Time (s),c_CNN_Sensor_Phase_2 (mol/m^3)
0.01,-6.689512885216926E-111
0.02,-2.631665615266829E-110
0.03,-5.821933672005473E-110
0.04,-1.0173546150507738E-109
0.05,-1.5620293742543585E-109
0.06,-2.2095967139883167E-109
0.07,-2.9534357034296674E-109
0.08,-3.786925411755416E-109
0.09,-4.703444908142533E-109
0.1,-5.696373261768072E-109
0.11,-6.759089541809004E-109
0.12,-7.88497281744244E-109
0.13,-9.06740215784519E-109
0.14,-1.0299756632194425E-108
0.15,-1.157541530966707E-108
0.16,-1.2887757259440235E-108
0.17,-1.4230161550690716E-108
0.18,-1.5596007252595815E-108
0.19,-1.6978673434332248E-108
0.2,-1.8371539165077293E-108
0.21,-1.9767983514007767E-108
0.22,-2.1161385550300708E-108
0.23,-2.254512434313329E-108
0.24,-2.3912578961682247E-108
0.25,-2.525712847512481E-108
0.26,-2.6572151952637767E-108
0.27,-2.7851028463398248E-108
0.28,-2.9087137076583466E-108
0.29,-3.0273856861370178E-108
0.3,-3.1404566886935336E-108
0.31,-3.247264622245631E-108
0.32,-3.3471473937109433E-108
0.33,-3.439442910007232E-108
0.34,-3.5234890780522E-108
0.35000000000000003,-3.5986238047635115E-108
0.36,-3.664184997058872E-108
0.37,-3.719510561856009E-108
0.38,-3.763938406072598E-108
0.39,-3.796806436626342E-108
0.4,-3.8174525604349645E-108
0.41000000000000003,-3.825214684416159E-108
0.42,-3.8194307154876E-108
0.43,-3.799438560567011E-108
0.44,-3.764576126572106E-108
0.45,-3.714181320420529E-108
0.46,-3.647592049030053E-108
0.47000000000000003,-3.564146219318334E-108
0.48,-3.463181738203086E-108
0.49,-3.3440365126019823E-108
0.5,-3.2060484494328095E-108
0.51,-2.1678557843159825E-108
0.52,5.648088229539883E-109
0.53,4.861965829198534E-108
0.54,1.05936356912393E-107
0.55,1.7629838865897452E-107
0.56,2.584059580999452E-107
0.5700000000000001,3.509592698035171E-107
0.58,4.5265852833790835E-107
0.59,5.622039382713321E-107
0.6,6.782957041720042E-107
0.61,7.996340306081451E-107
0.62,9.249191221479533E-107
0.63,1.052851183359646E-106
0.64,1.182130418811449E-106
0.65,1.3114570330715834E-106
0.66,1.4395312307082343E-106
0.67,1.5650532162896462E-106
0.68,1.6867231943840203E-106
0.6900000000000001,1.803241369559537E-106
0.7000000000000001,1.91330794638449E-106
0.71,2.0156231294270116E-106
0.72,2.1088871232553848E-106
0.73,2.1918001324377863E-106
0.74,2.2630623615424135E-106
0.75,2.321374015137525E-106
0.76,2.365435297791326E-106
0.77,2.393946414071989E-106
0.78,2.405607568547774E-106
0.79,2.399118965786873E-106
0.8,2.3731808103575096E-106
0.81,2.3264933068279296E-106
0.8200000000000001,2.257756659766282E-106
0.8300000000000001,2.1656710737408406E-106
0.84,2.0489367533197274E-106
0.85,1.906253903071259E-106
0.86,1.7363227275635907E-106
0.87,1.5378434313650126E-106
0.88,1.3095162190436804E-106
0.89,1.0500412951677516E-106
0.9,7.581188643055275E-107
0.91,4.3244913102522133E-107
0.92,7.173229989500703E-108
0.93,-3.253314245168772E-107
0.9400000000000001,-7.600418376422266E-107
0.9500000000000001,-1.2336987349128182E-106
0.96,-1.747601911760431E-106
0.97,-2.303051163616904E-106
0.98,-2.9013462859139433E-106
0.99,-3.5437870740834064E-106
1,-4.231673323557045E-106
1.01,6.54482869503576E-81
1.02,2.5463501396248206E-80
1.03,5.568229802779542E-80
1.04,9.612749851383445E-80
1.05,1.4572538277852415E-79
1.06,2.0340223074602307E-79
1.07,2.6808432234048903E-79
1.08,3.3869793748607845E-79
1.09,4.1416935610694923E-79
1.1,4.9342485812726415E-79
1.11,5.753907234711695E-79
1.12,6.589932320628438E-79
1.1300000000000001,7.431586638264156E-79
1.1400000000000001,8.268132986860717E-79
1.1500000000000001,9.08883416565948E-79
1.16,9.882952973902241E-79
1.17,1.0639752210830321E-78
1.18,1.1348494675685492E-78
1.19,1.199844316770939E-78
1.2,1.2578860486143312E-78
1.21,1.3079009430229228E-78
1.22,1.3488152799208292E-78
1.23,1.379555339232239E-78
1.24,1.3990474008813023E-78
1.25,1.4062177447921542E-78
1.26,1.3999926508890129E-78
1.27,1.3792983990959594E-78
1.28,1.3430612693372046E-78
1.29,1.2902075415368886E-78
1.3,1.2196634956191685E-78
1.31,1.1303554115082018E-78
1.32,1.0212095691281673E-78
1.33,8.911522484031914E-79
1.34,7.391097292574547E-79
1.35,5.640082916151017E-79
1.36,3.64774215400299E-79
1.37,1.4033378053719196E-79
1.3800000000000001,-1.1038673305004618E-79
1.3900000000000001,-3.884610454372637E-79
1.4000000000000001,-6.949628767003074E-79
1.41,-1.0309659469149933E-78
1.42,-1.3975439761572123E-78
1.43,-1.7957706845027663E-78
1.44,-2.2267197920274968E-78
1.45,-2.6914650188072903E-78
