% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 22 2026, 17:03"
% Table,c_CNN_Outlet_Phase_2 - Surface Average 2
% Time (s),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3)
0,5.830782796522685E-149,-2.138412363261371E-145,1.7977272723121668E-148
0.1,-5.488649153837506E-146,2.371831071810116E-143,5.223548237557077E-145
0.2,-6.110728362005645E-146,3.074016454010496E-143,5.9413086528961406E-145
0.30000000000000004,-4.035101923552573E-146,1.8524574739161E-143,4.0378851877367365E-145
0.4,-1.4364649203229617E-146,-1.525560417525512E-143,1.3960840565261013E-145
0.5,-4.895124341614705E-147,-7.292751769366776E-143,-1.012885262885357E-146
0.6000000000000001,-1.1824675095474119E-146,2.440739537549591E-129,3.5031039105195908E-146
0.7000000000000001,-1.8259807774617988E-146,6.53037966657371E-129,1.3554460168715717E-145
0.8,-2.078388699501863E-146,7.420052661634775E-129,1.4969579504648264E-145
0.9,-1.5980277372648368E-146,2.608907972952947E-130,-6.423142088737595E-146
1,-4.32343523479487E-148,-1.9795973651882255E-128,-6.47953086184967E-145
1.1,1.1272847745665381E-97,-4.861905863411777E-127,-8.330814749258172E-111
1.2000000000000002,2.8703243616667447E-97,-1.4203357072146392E-126,-2.258637936313852E-110
1.3,2.770896656401517E-97,-2.209039275430855E-126,-2.666137439079975E-110
1.4000000000000001,-1.6292204461282493E-97,-2.239109230148419E-126,-4.4504803814006064E-111
1.5,-1.2788249050821627E-96,-8.973535105259252E-127,6.015162211589994E-110
1.6,-2.1554226785289325E-96,5.352932779919226E-81,-2.397134135072253E-109
1.7000000000000002,-4.348236485113963E-96,9.096994410299637E-81,-6.983179914232271E-109
1.8,-1.1809164571426795E-95,-7.2399201729246575E-81,-3.8067787852745122E-109
1.9000000000000001,-2.849010518405699E-95,-6.21299160338196E-80,1.648191158284757E-108
2,-5.834295656959405E-95,-1.7404509823645058E-79,6.323273352118048E-108
2.1,4.3896212910072094E-95,-2.966059335189685E-79,7.411703310076649E-107
2.2,1.7830478323791356E-94,-6.128389629916601E-79,2.3895769356239666E-106
2.3000000000000003,-2.6848971315365966E-95,-1.4853254032767967E-78,4.619638771106723E-106
2.4000000000000004,-9.43296776479062E-94,-3.276646470996651E-78,7.042542061192593E-106
2.5,-2.9427703579824624E-93,-6.349383382773475E-78,9.269473029618185E-106
2.6,7.774343730722364E-93,-1.1280664618641203E-77,3.334239798006369E-67
2.7,2.1019002253078578E-92,-1.945282466347077E-77,-2.3852767501742125E-66
2.8000000000000003,4.364884586996798E-94,-3.243625374114016E-77,-1.3734561193989694E-65
2.9000000000000004,-9.032791440280077E-92,-5.180134207552722E-77,-3.929288835571096E-65
3,-2.876289230818084E-91,-7.911847989050981E-77,-8.46387172394028E-65
3.1,2.028500201603029E-56,-7.322477534850623E-76,-1.2719539837411448E-64
3.2,4.948505288676261E-56,-1.7865787813827034E-75,-2.1588754199477073E-64
3.3000000000000003,4.011771984615904E-56,-1.9799762521441266E-75,-4.6354549666425194E-64
3.4000000000000004,-5.5299429871818365E-56,-5.030485433002936E-77,-9.829996109454387E-64
3.5,-2.8424882903320614E-55,5.264570723498865E-75,-1.8870802334012045E-63
3.6,-6.1426377115748645E-55,-1.4657625454110825E-73,-2.708211756256111E-63
3.7,-1.114747439284817E-54,-3.76142621647156E-73,-4.2771250552841774E-63
3.8000000000000003,-1.9859871004622598E-54,-3.222157992480342E-73,-8.654110204372534E-63
3.9000000000000004,-3.4282700217368663E-54,3.764229440028658E-73,-1.789945727740825E-62
4,-5.64188347015569E-54,2.080992339452144E-72,-3.40734563482784E-62
4.1000000000000005,-8.417379836691955E-54,-3.1611722394342525E-71,-5.0898664935233645E-62
4.2,-1.2729375357549966E-53,-7.996256738494337E-71,-8.14323738191554E-62
4.3,-2.0554253067623447E-53,-5.689677092018648E-71,-1.5673697296787664E-61
4.4,-3.3868396001806344E-53,1.236604387120948E-70,-3.078748523492323E-61
4.5,-5.464818719499213E-53,5.477838332240628E-70,-5.659084019310528E-61
4.6000000000000005,-7.089871766956641E-53,-2.569942015472114E-45,1.0983405993359985E-60
4.7,-1.0379493219331886E-52,-1.4816067686816908E-44,4.285115103497512E-60
4.800000000000001,-2.050679944192508E-52,-4.354282645142755E-44,5.319949817080141E-60
4.9,-4.2644906800036066E-52,-9.555466774669631E-44,5.283794466105102E-61
5,-8.196693165896495E-52,-1.776560410100162E-43,-1.3764061301384686E-59
5.1000000000000005,-1.0050755234668791E-51,-2.8974272012249867E-43,1.0353421099416425E-57
5.2,-1.4747386953776726E-51,-4.597497546267869E-43,2.8042216569612766E-57
5.300000000000001,-3.587976331173844E-51,-7.36540507452578E-43,3.1644130365896635E-57
5.4,-8.704105929707139E-51,-1.168978341529563E-42,-1.2545294341060412E-59
5.5,-1.8182444989829366E-50,-1.8059266197874368E-42,-8.855114878998722E-57
5.6000000000000005,7.135423182664511E-49,-2.4992367079287093E-42,3.6728248771170245E-55
5.7,2.0395300441404388E-48,-3.4060670579385694E-42,9.987295668057746E-55
5.800000000000001,2.6196632379183006E-48,-5.033241662170765E-42,1.1028829422084647E-54
5.9,1.1138244048861758E-48,-7.887584512978983E-42,-1.0286056627498377E-55
6,-3.8181039496697486E-48,-1.2475919602716948E-41,-3.4011041388393166E-54
6.1000000000000005,5.640858354129473E-47,-1.870196889413569E-41,1.0790711730904441E-52
6.2,1.3868158974844663E-46,-2.897991188984773E-41,2.94530034405093E-52
6.300000000000001,7.411529343251007E-47,-4.758225889199959E-41,3.2169894228389886E-52
6.4,-3.061759266457903E-46,-7.878152020273737E-41,-4.535486391994552E-53
6.5,-1.1710776917257281E-45,-1.268502061242073E-40,-1.0414000890718443E-51
6.6000000000000005,1.1188658837097746E-45,-1.4813226310778657E-40,2.684040308291699E-50
6.7,7.795317606883243E-47,-2.5438405248966173E-40,7.355994456526308E-50
6.800000000000001,-1.965043769955134E-44,-6.829967068992E-40,7.956203079879427E-50
6.9,-7.342292862805296E-44,-1.671361358965755E-39,-1.4708531775661787E-50
7,-1.765961414943384E-43,-3.456869141318689E-39,-2.6880693671727657E-49
7.1000000000000005,1.5633801590010443E-42,9.20901867071154E-40,1.0951385003156958E-33
7.2,4.0431168028207535E-42,3.539568069402092E-39,3.237313426353457E-33
7.300000000000001,2.7533480600748E-42,-1.816246994370145E-38,4.7116639157493716E-33
7.4,-6.815191799126781E-42,-8.674681158161433E-38,3.8033291061394886E-33
7.5,-2.917176850467393E-41,-2.247750562537118E-37,-1.2025518648400933E-33
7.6000000000000005,3.273701624724233E-41,3.2532537289190306E-37,-1.057044807887845E-32
7.7,4.753262451371557E-41,9.93550682104795E-37,-2.604742088407523E-32
7.800000000000001,-3.3194211380521703E-40,-2.3402528392789175E-37,-5.157221954241082E-32
7.9,-1.4528443688095076E-39,-5.371328680518975E-36,-9.108359331586497E-32
8,-3.662331310599115E-39,-1.6432285662981288E-35,-1.48520291466418E-31
