% Model,COMSOL_Single_Pipe.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 15 2026, 13:46"
% Table,Table_c_Pipe_1 - c_Pipe_1
% Time (s),c_Pipe_1 (mol/m^3),c_Pipe_1_Biff (mol/m^3),c_Pipe_1_Biff_2 (mol/m^3)
0,0,-1.4260971256162368E-157,1.360357094849359E-159
0.01,0,-1.4049017755444876E-158,-2.4019102528242616E-159
0.02,0,8.769832162718773E-158,2.859109653216831E-159
0.03,-3.779110836441882E-307,-5.089574995945365E-158,-1.0744420218258554E-158
0.04,-2.9948595934920096E-303,-1.6872696479981517E-157,-1.7919424292972418E-159
0.05,-3.9109346051759875E-299,-1.1355601931844467E-156,1.4594972893023875E-158
0.06,-4.1379365565676375E-295,-1.9781745239077318E-156,-2.453698919551391E-157
0.07,2.1048008476638067E-196,-2.413387393960059E-156,-5.564230908505496E-158
0.08,7.794034338147145E-193,6.3745551627641555E-155,1.0709569266796932E-156
0.09,1.6840021286383338E-189,1.1748198331131114E-153,-7.230900066284288E-155
0.1,4.353480115040157E-186,7.68127708108972E-152,5.852200323152431E-153
0.11,1.4849181278019826E-182,1.2587924108885928E-149,1.1437981135466956E-150
0.12,4.51801575406392E-179,2.1225055912849202E-147,1.9161083276209072E-148
0.13,1.1691041503147149E-175,3.553334060825098E-145,3.2045649730306804E-146
0.14,3.161461602477383E-112,5.943018681948568E-143,5.358434083242643E-144
0.15,1.3684581774142903E-109,1.2304783463097812E-99,4.516153959427441E-99
0.16,4.383106124129442E-107,3.830602350951921E-98,1.4059239480964504E-97
0.17,8.578802412538644E-105,6.879539786586237E-97,2.5249573156775965E-96
0.18,2.3231347145043206E-102,1.1828576948738892E-95,4.34136496205785E-95
0.19,2.428159777407593E-100,1.954660756868577E-94,7.173989249975354E-94
0.2,6.127379008611075E-98,3.13663302131908E-93,1.1511610966598982E-92
0.21,4.346005062449093E-96,4.918372330422256E-92,1.804860500885291E-91
0.22,9.413255069454351E-94,7.562982441047256E-91,2.774557366666366E-90
0.23,8.770915854862462E-92,1.1420614342734734E-89,4.1873634380315924E-89
0.24,8.769627127639711E-90,2.3398717780831723E-88,8.565639602024352E-88
0.25,8.823110797170787E-88,4.573330015606441E-87,1.6702043537130673E-86
0.26,5.194670597636381E-86,7.933318850576743E-86,2.888355054022822E-85
0.27,4.9270045342493295E-84,1.263025550529531E-84,4.580857384601515E-84
0.28,2.0386501648771312E-82,1.872741200373483E-83,6.761482150420967E-83
0.29,1.7271493964552542E-80,2.6053432029142338E-82,9.357516764559701E-82
0.3,1.6892086597768806E-56,3.415332696329003E-81,1.2194460555963117E-80
0.31,4.463000559168991E-55,2.285085437314352E-59,4.7110707715933834E-61
0.32,9.51038057136356E-54,8.446640072723689E-59,1.7414105623790345E-60
0.33,1.4811604698931259E-52,6.033644543495075E-58,1.2442983803161366E-59
0.34,1.58305549560185E-51,2.9716496797195116E-57,6.139296259650096E-59
0.35000000000000003,3.2804774463089415E-50,1.1569808714678596E-56,2.392492574179648E-58
0.36,5.8316734190132556E-49,7.318050631511747E-56,1.5284008876774887E-57
0.37,8.95814630984486E-48,2.683393063329642E-55,5.668261427841489E-57
0.38,1.1946525233232188E-46,1.500767765201E-54,3.2368765170161315E-56
0.39,1.378192951844727E-45,8.139946943701104E-54,1.8462570104704346E-55
0.4,1.355100652133856E-44,2.754042378488863E-53,6.351223336564344E-55
0.41000000000000003,1.0946610743694306E-43,1.7713904982619114E-52,4.48194116626731E-54
0.42,8.927502919120562E-43,7.501835464589418E-52,2.0625371310284476E-53
0.43,9.06720997812439E-42,3.23880021869774E-51,9.453778725358996E-53
0.44,8.391259876164171E-41,1.7522461200662208E-50,5.825582684010269E-52
0.45,7.0833154748450074E-40,5.218890377755395E-50,1.792362769057392E-51
0.46,5.439013351697366E-39,3.1328924871725764E-49,1.2473936129203018E-50
0.47000000000000003,3.7915339816047064E-38,1.3522301132274238E-48,6.043999784523681E-50
0.48,2.381858721933212E-37,4.7390303924216454E-48,2.2394354067805294E-49
0.49,1.3292230833921102E-36,2.3745016090983515E-47,1.2784200458560164E-48
0.5,8.27378469297133E-36,7.780162160406115E-47,4.48415264632949E-48
0.51,5.371304011876664E-35,3.365856943686892E-46,2.123705575449292E-47
0.52,3.2627756328361193E-34,1.3829697262711938E-45,9.6528609021929E-47
0.53,1.8534663853479875E-33,4.1151024649162693E-45,2.9901707559445898E-46
0.54,9.846993412226359E-33,1.8575996796182306E-44,1.4987942018433536E-45
0.55,4.8858868986929307E-32,6.172008807483688E-44,5.3332193611653525E-45
0.56,2.259421018301441E-31,2.1021628875914513E-43,1.9215182132256045E-44
0.5700000000000001,9.71279342769993E-31,8.005482267639098E-43,7.947684428541308E-44
0.58,4.724400193026253E-30,2.1221799193175625E-42,2.174652342224941E-43
0.59,2.227166770973713E-29,8.479449883698584E-42,9.439974122916345E-43
0.6,9.981778280084202E-29,2.7202894061221224E-41,3.225096853024849E-42
0.61,4.255012124904007E-28,7.807466330809996E-41,9.634164596852323E-42
0.62,1.7256617425734455E-27,2.7296989592662096E-40,3.62017102810129E-41
0.63,6.66041906522857E-27,7.382044695129533E-40,1.0219998728667316E-40
0.64,2.448310756133774E-26,2.342254478158606E-39,3.4338583879627467E-40
0.65,8.743708013976897E-26,7.09408967599771E-39,1.1063073697593078E-39
0.66,3.3549557841879493E-25,1.7866113169845837E-38,2.881340368584687E-39
