% Model,COMSOL_Single_Pipe.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 16 2026, 18:20"
% Table,c_Pipe_1_Sensor - c_Pipe_1_Sensor
% Time (s),c_Pipe_1 (mol/m^3),c_Pipe_1_Biff (mol/m^3),c_Pipe_1_Biff_Phase_2 (mol/m^3)
0,1.4272016112057487E-190,-5.491927054053012E-193,-1.7533810264933115E-197
0.01,9.854320465483558E-191,8.557920648849111E-192,-4.092944179080852E-174
0.02,8.791017132791327E-187,-7.637878173208611E-189,-1.2434831919792787E-164
0.03,5.521882294573397E-176,1.2124369653343714E-166,-4.5223915946126134E-156
0.04,6.852076017011912E-169,1.240275659043327E-159,-7.0990234924616755E-149
0.05,1.972885716619513E-161,9.969920723302255E-153,1.7318271533061186E-102
0.06,5.8876302166335145E-111,6.922225057394785E-146,4.0210196149791796E-99
0.07,6.781828477268676E-107,5.240612986380734E-102,9.286661667222024E-96
0.08,5.703269375395157E-103,4.0413680254701024E-98,2.0831710034574606E-92
0.09,8.19708498047657E-99,2.823554028658037E-94,4.220597879718263E-89
0.1,6.917020000476661E-95,1.6766300909831475E-90,6.999933631122447E-86
0.11,4.551386656882419E-91,9.827230564401536E-87,4.04219720206634E-61
0.12,2.605455411466431E-87,2.7285149518126626E-83,3.523891747035422E-59
0.13,1.3631181948716044E-63,7.995367082144806E-62,1.6992345702071551E-57
0.14,2.5671300072874785E-61,1.3719247496536168E-59,1.690883812137463E-55
0.15,4.756549083738042E-59,1.5503841988599344E-57,1.3107713285865101E-53
0.16,8.466980840576762E-57,2.141140853723831E-55,5.577442013910393E-52
0.17,1.3745658438208682E-54,2.8965254015970613E-53,4.470057805873181E-50
0.18,1.927107847406895E-52,3.3724239766913154E-51,2.568135676781666E-48
0.19,2.253995087055064E-50,3.2455588359054982E-49,8.751307053741795E-47
0.2,2.1715557934862803E-48,2.547221143579737E-47,4.190356582329565E-45
0.21,1.7251591971337232E-46,1.635527278671513E-45,7.765112345137833E-33
0.22,1.1389232640571088E-44,8.683929652145999E-44,9.636515543565105E-32
0.23,2.7420594450727598E-33,3.863310441801799E-42,1.0593264835253549E-30
