% Model,2D_straight.mph
% Version,COMSOL 6.3.0.290
% Date,"Jun 15 2025, 15:42"
% Table,Table 1 - Concentration_versus_L
% Time (s),"Molar concentration, c (mol/m^3)"
0,0
0.001,0
0.002,0
0.003,0
0.004,4.822625233177488E-302
0.005,1.0042137700677261E-289
0.006,3.272952428754655E-277
0.007,7.145935209308657E-265
0.008,1.2023611692879186E-154
0.009000000000000001,1.0646685685226642E-147
0.01,2.0321912485584734E-140
0.011,2.142960443771236E-133
0.012,2.339289551793204E-126
0.013000000000000001,2.3232609153873935E-119
0.014,8.888285783989902E-75
0.015,5.139758228601859E-71
0.016,6.490089989824493E-67
0.017,4.6861576513843847E-63
0.018000000000000002,3.540156493119312E-59
0.019,1.7530880294771082E-55
0.02,5.331769705841623E-52
0.021,1.211524444852037E-48
0.022,1.4853090487608394E-45
0.023,1.5702082782395224E-42
0.024,8.93055672076551E-40
0.025,2.407325936828993E-28
0.026000000000000002,3.6111683534974767E-26
0.027,4.462736231535089E-24
0.028,4.0897191556628916E-22
0.029,2.720308332946072E-20
0.03,1.3374103723548289E-18
0.031,4.9998003443942764E-17
0.032,1.4612144942168336E-15
0.033,3.4201494446354954E-14
0.034,6.54309117140457E-13
0.035,1.0406175818937837E-11
0.036000000000000004,1.3954969749892753E-10
0.037,1.5973574132209336E-9
0.038,1.578501326183038E-8
0.039,1.3588124691787197E-7
0.04,1.856470460137576E-6
0.041,2.4116457968068735E-5
0.042,1.6413304469345004E-4
0.043000000000000003,8.68532788067729E-4
0.044,0.003786523399168446
0.045,0.01410897756734622
0.046,0.04602322510586054
0.047,0.13366598421578305
0.048,0.3499919210006613
0.049,0.8342022295554897
0.05,1.8249870738953233
0.051000000000000004,3.7016573351126625
0.052000000000000005,6.944762755440933
0.053,12.121998879638587
0.054,19.788672247643767
0.055,30.36187514804906
0.056,43.99904589164927
0.057,60.355173008005934
0.058,78.99984895623624
0.059000000000000004,99.33862867554687
0.06,121.26301505036326
0.061,143.97590087443717
0.062,167.62785857266752
0.063,191.82783685470412
0.064,216.69864015182944
0.065,242.1947848822462
0.066,268.3285178341864
0.067,295.0931324662031
0.068,322.3796071482394
0.069,350.11781252594
0.07,377.8489134475304
0.07100000000000001,405.5256001151153
0.07200000000000001,433.22289710739545
0.073,460.85838699525425
0.074,487.86560669466184
0.075,514.5980240630926
0.076,541.0556391005456
0.077,566.9290350987413
0.078,591.9770492352881
0.079,616.4450624399703
0.08,640.3330747127877
0.081,663.2825513949552
0.082,685.4033148229975
0.083,706.7519188655353
0.084,727.2945381552249
0.085,746.8442975779095
0.08600000000000001,765.520186887897
0.08700000000000001,783.3222060851867
0.088,800.2236884512439
0.089,816.2075054253613
0.09,831.2926832397955
0.091,845.4792218945456
0.092,858.8453292673603
0.093,871.3632141775462
0.094,883.02281815651
0.095,893.8909112157028
0.096,904.2705078032391
0.097,913.9644166839067
0.098,922.9726378577104
0.099,931.2951713246463
0.1,938.9320170847162
0.101,945.883175137919
0.10200000000000001,952.148645484256
0.10300000000000001,958.2233419419221
0.10400000000000001,963.8050910678999
0.105,968.8375146693999
0.106,973.3206127464215
0.107,977.2543852989645
0.108,980.6388323270302
0.109,983.6722997372858
0.11,986.7407551845196
0.111,989.4510927582895
0.112,991.8033124585957
0.113,993.7974142854384
0.114,995.4333982388182
0.115,996.7112643187339
0.116,998.0245262405111
0.117,999.2636335594083
0.11800000000000001,1000.2948594662508
0.11900000000000001,1001.1182039610391
0.12,1001.7336670437736
0.121,1002.1412487144545
0.122,1002.3880924366979
0.123,1002.7921894187299
0.124,1003.093428867896
0.125,1003.2918107841994
0.126,1003.3873351676355
0.127,1003.3800020182075
0.128,1003.2698113359149
0.129,1003.1820885445916
0.13,1003.1436486664755
0.131,1003.0662580565794
0.132,1002.9499167149036
0.133,1002.7946246414473
0.134,1002.6003818362112
0.135,1002.367188299195
0.136,1002.2155353597421
0.137,1002.0616579686955
0.138,1001.9018734175522
0.139,1001.7361817063139
0.14,1001.5645828349789
0.14100000000000001,1001.3870768035481
0.14200000000000002,1001.2488520733433
0.14300000000000002,1001.181868249676
0.14400000000000002,1001.114884426011
0.145,1001.0479006023456
0.146,1000.9809167786786
0.147,1000.9139329550131
0.148,1000.8469491313476
0.149,1000.7799653076826
0.15,1000.7129814840164
0.151,1000.6459976603493
0.152,1000.5790138366835
0.153,1000.5120300130185
0.154,1000.4450461893523
0.155,1000.3889534218082
0.156,1000.3727551740736
0.157,1000.3565569263383
0.158,1000.3403586786038
0.159,1000.3241604308687
0.16,1000.307962183133
0.161,1000.2917639353984
0.162,1000.2755656876633
0.163,1000.259367439929
0.164,1000.2431691921934
0.165,1000.2269709444583
0.166,1000.2107726967232
0.167,1000.1945744489891
0.168,1000.178376201254
0.169,1000.1621779535176
0.17,1000.1459797057835
0.171,1000.1297814580481
0.17200000000000001,1000.1135832103137
0.17300000000000001,1000.0973849625778
0.17400000000000002,1000.081186714843
0.17500000000000002,1000.0678109190648
0.176,1000.0647739154334
0.177,1000.0617369117994
0.178,1000.0586999081685
0.179,1000.0556629045371
0.18,1000.052625900904
0.181,1000.0495888972728
0.182,1000.04655189364
0.183,1000.0435148900095
0.184,1000.0404778863762
0.185,1000.0374408827442
0.186,1000.0344038791117
0.187,1000.0313668754799
0.188,1000.0283298718476
0.189,1000.0252928682157
0.19,1000.0222558645837
0.191,1000.0192188609519
0.192,1000.0161818573202
0.193,1000.0131448536875
0.194,1000.0101078500555
0.195,1000.0075838791192
0.196,1000.0069391743273
0.197,1000.0062944695351
0.198,1000.0056497647447
0.199,1000.005005059952
0.2,1000.0043603551602
