% Model,2D_turn.mph
% Version,COMSOL 6.3.0.290
% Date,"Jun 15 2025, 15:55"
% Table,Table 1 - Outlet Concentration
% Time (s),"Molar concentration, c (mol/m^3)"
0,-2.3218584538085045E-74
0.001,2.158698156865808E-71
0.002,-6.449217679619275E-72
0.003,-4.625525893660283E-71
0.004,1.1933544603467297E-70
0.005,-1.3474500650203204E-70
0.006,-4.674698732791435E-69
0.007,1.1061850081595172E-67
0.008,-2.079879712867046E-66
0.009000000000000001,-1.4635799413845942E-64
0.01,-9.28767858803481E-64
0.011,7.288902663021562E-57
0.012,1.0378220038126296E-53
0.013000000000000001,3.4223991869835336E-51
0.014,3.9393953928605034E-49
0.015,2.1447634514296256E-47
0.016,3.150902953814659E-47
0.017,-1.5558614770185228E-43
0.018000000000000002,-2.037078875684901E-41
0.019,-1.7330969672403938E-39
0.02,-8.892194275169559E-38
0.021,-2.996323904618645E-36
0.022,-7.360170170331696E-35
0.023,-1.5359125611858874E-33
0.024,-4.7922950064017356E-32
0.025,-2.421180909626518E-30
0.026000000000000002,-1.1831943782201076E-28
0.027,-3.99605859376648E-27
0.028,-8.794089822642056E-26
0.029,-8.443749011593553E-25
0.03,2.6241442732514344E-23
0.031,1.5092977682192864E-21
0.032,4.5163939909335366E-20
0.033,1.0445242684659704E-18
0.034,1.9646381200165614E-17
0.035,3.1393345891301492E-16
0.036000000000000004,4.538224215612689E-15
0.037,5.717894661301069E-14
0.038,6.356754881262023E-13
0.039,6.212012450716358E-12
0.04,5.2571744293180265E-11
0.041,3.834755008198554E-10
0.042,2.6428382196803574E-9
0.043000000000000003,2.2130650121760654E-8
0.044,1.7622563350707482E-7
0.045,1.2754363384595128E-6
0.046,8.428536812743084E-6
0.047,4.99055126838573E-5
0.048,3.023156809888325E-4
0.049,0.001751775833202774
0.05,0.00809144708798909
0.051000000000000004,0.03222362598706537
0.052000000000000005,0.11316024284698263
0.053,0.3449195209234623
0.054,0.9434787447323503
0.055,2.3638545336952883
0.056,5.38528970642474
0.057,10.79163705194371
0.058,19.269792862569993
0.059000000000000004,31.274459666720674
0.06,46.949874151406895
0.061,65.97242685466296
0.062,87.6092320572902
0.063,110.90555419551396
0.064,135.36718092740972
0.065,160.6333044953394
0.066,186.62909743874172
0.067,213.41390022217058
0.068,241.13831682839051
0.069,269.73403389672256
0.07,299.07165107387783
0.07100000000000001,329.1328447509415
0.07200000000000001,359.7949553236473
0.073,390.58848607265384
0.074,421.7498988697395
0.075,452.601067650379
0.076,483.2744531865615
0.077,513.5988733368478
0.078,543.2331601610414
0.079,572.3729260767395
0.08,600.5641930792793
0.081,627.9974490788899
0.082,654.4367870169453
0.083,679.7407684738661
0.084,704.0201946197059
0.085,727.275065454465
0.08600000000000001,749.5053809781433
0.08700000000000001,770.5844090641473
0.088,790.5391547204156
0.089,809.407474957253
0.09,827.1893697746597
0.091,843.884839172636
0.092,859.5354857920606
0.093,874.1209326212202
0.094,887.6364607867401
0.095,900.0820702886218
0.096,911.4664537190175
0.097,922.1899182765446
0.098,931.9849495689699
0.099,940.8515475962935
0.1,948.7897123585146
0.101,955.8905990132638
0.10200000000000001,962.6285815041689
0.10300000000000001,968.650089279082
0.10400000000000001,973.9551223380032
0.105,978.5436806809329
0.106,982.5842235023312
0.107,986.4063093156125
0.108,989.7173599078403
0.109,992.5173752790148
0.11,994.8063554291357
0.111,996.7829877715299
0.112,998.5969702946599
0.113,1000.0612897948017
0.114,1001.1759462719554
0.115,1001.9409397261207
0.116,1002.5946456357851
0.117,1003.1669406803998
0.11800000000000001,1003.5328453206416
0.11900000000000001,1003.69235955651
0.12,1003.6454833880051
0.121,1003.7176464990114
0.122,1003.8238335949139
0.123,1003.8773050676942
0.124,1003.8780609173538
0.125,1003.8261011438914
0.126,1003.7214257473076
0.127,1003.564034727602
0.128,1003.3539280847754
0.129,1003.0911058188268
0.13,1002.7861153240858
0.131,1002.6697054174466
0.132,1002.5532955108074
0.133,1002.4368856041684
0.134,1002.320475697529
0.135,1002.20406579089
0.136,1002.0876558842508
0.137,1001.9712459776116
0.138,1001.8548360709724
0.139,1001.7384261643334
0.14,1001.6220162576942
0.14100000000000001,1001.505606351055
0.14200000000000002,1001.3891964444161
0.14300000000000002,1001.2727865377768
0.14400000000000002,1001.1563766311374
0.145,1001.0399667244981
0.146,1000.9235568178594
0.147,1000.80714691122
0.148,1000.690737004581
0.149,1000.5743270979418
0.15,1000.5162289855809
0.151,1000.49223813132
0.152,1000.4682472770593
0.153,1000.4442564227983
0.154,1000.4202655685374
0.155,1000.3962747142767
0.156,1000.3722838600156
0.157,1000.3482930057546
0.158,1000.324302151494
0.159,1000.300311297233
0.16,1000.2763204429721
0.161,1000.2523295887111
0.162,1000.2283387344504
0.163,1000.2043478801896
0.164,1000.1803570259287
0.165,1000.156366171668
0.166,1000.1323753174071
0.167,1000.1083844631461
0.168,1000.0843936088851
0.169,1000.0604027546242
0.17,1000.0485917021406
0.171,1000.0439047597613
0.17200000000000001,1000.0392178173823
0.17300000000000001,1000.0345308750033
0.17400000000000002,1000.0298439326241
0.17500000000000002,1000.0251569902448
0.176,1000.0204700478657
0.177,1000.015783105487
0.178,1000.0110961631078
0.179,1000.0064092207286
0.18,1000.0017222783495
0.181,999.9970353359704
0.182,999.9923483935914
0.183,999.9876614512119
0.184,999.982974508833
0.185,999.9782875664538
0.186,999.9736006240747
0.187,999.9689136816954
0.188,999.9642267393164
0.189,999.9595397969374
0.19,999.9584664864859
0.191,999.9595068320856
0.192,999.9605471776852
0.193,999.9615875232846
0.194,999.9626278688845
0.195,999.963668214484
0.196,999.9647085600839
0.197,999.9657489056835
0.198,999.9667892512831
0.199,999.9678295968829
0.2,999.9688699424827
