% Model,2D_rectangle.mph
% Version,COMSOL 6.3.0.290
% Date,"Jun 1 2025, 18:19"
% Table,Table 9 - Concentration Turn
% Time (s),"Molar concentration, c (mol/m^3)"
0,0
1.0E-5,0
2.0E-5,0
3.0000000000000004E-5,0
4.0E-5,0
5.0E-5,0
6.000000000000001E-5,0
7.000000000000001E-5,0
8.0E-5,0
9.0E-5,0
1.0E-4,0
1.1E-4,0
1.2000000000000002E-4,0
1.3000000000000002E-4,0
1.4000000000000001E-4,0
1.5000000000000001E-4,0
1.6E-4,0
1.7E-4,0
1.8E-4,0
1.9E-4,0
2.0E-4,0
2.1E-4,0
2.2E-4,0
2.3E-4,0
2.4000000000000003E-4,0
2.5E-4,0
2.6000000000000003E-4,0
2.7E-4,0
2.8000000000000003E-4,0
2.9E-4,0
3.0000000000000003E-4,0
3.1E-4,0
3.2E-4,0
3.3000000000000005E-4,0
3.4E-4,0
3.5000000000000005E-4,0
3.6E-4,0
3.7000000000000005E-4,0
3.8E-4,0
3.9000000000000005E-4,0
4.0E-4,0
4.1000000000000005E-4,0
4.2E-4,0
4.3000000000000004E-4,0
4.4E-4,0
4.5000000000000004E-4,0
4.6E-4,0
4.7000000000000004E-4,0
4.8000000000000007E-4,0
4.900000000000001E-4,0
5.0E-4,0
5.1E-4,0
5.200000000000001E-4,0
5.300000000000001E-4,0
5.4E-4,0
5.5E-4,0
5.600000000000001E-4,0
5.700000000000001E-4,0
5.8E-4,0
5.9E-4,0
6.000000000000001E-4,0
6.100000000000001E-4,0
6.2E-4,0
6.3E-4,0
6.4E-4,0
6.500000000000001E-4,0
6.600000000000001E-4,0
6.7E-4,0
6.8E-4,0
6.900000000000001E-4,0
7.000000000000001E-4,0
7.1E-4,0
7.2E-4,0
7.300000000000001E-4,0
7.400000000000001E-4,0
7.5E-4,0
7.6E-4,0
7.700000000000001E-4,0
7.800000000000001E-4,0
7.9E-4,0
8.0E-4,0
8.100000000000001E-4,0
8.200000000000001E-4,0
8.300000000000001E-4,0
8.4E-4,0
8.500000000000001E-4,0
8.600000000000001E-4,0
8.700000000000001E-4,0
8.8E-4,0
8.900000000000001E-4,0
9.000000000000001E-4,0
9.100000000000001E-4,0
9.2E-4,0
9.3E-4,0
9.400000000000001E-4,0
9.500000000000001E-4,0
9.600000000000001E-4,0
9.7E-4,0
9.800000000000002E-4,0
9.9E-4,0
0.001,0
0.00101,0
0.00102,0
0.00103,0
0.0010400000000000001,0
0.0010500000000000002,0
0.0010600000000000002,0
0.00107,0
0.00108,0
0.00109,0
0.0011,0
0.00111,0
0.0011200000000000001,0
0.0011300000000000001,0
0.0011400000000000002,0
0.0011500000000000002,0
0.00116,0
0.00117,0
0.00118,0
0.00119,0
0.0012000000000000001,0
0.0012100000000000001,0
0.0012200000000000002,0
0.0012300000000000002,0
0.00124,0
0.00125,0
0.00126,0
0.00127,0
0.00128,0
0.0012900000000000001,0
0.0013000000000000002,0
0.0013100000000000002,0
0.0013200000000000002,0
0.00133,0
0.00134,0
0.00135,0
0.00136,0
0.0013700000000000001,0
0.0013800000000000002,0
0.0013900000000000002,0
0.0014000000000000002,0
0.00141,0
0.00142,0
0.00143,0
0.00144,0
0.0014500000000000001,0
0.0014600000000000001,0
0.0014700000000000002,0
0.0014800000000000002,0
0.0014900000000000002,0
0.0015,0
0.00151,0
0.00152,0
0.0015300000000000001,0
0.0015400000000000001,0
0.0015500000000000002,0
0.0015600000000000002,0
0.0015700000000000002,0
0.00158,0
0.00159,0
0.0016,0
0.00161,0
0.0016200000000000001,2.7297E-318
0.0016300000000000002,1.569576E-317
0.0016400000000000002,9.0080015E-317
0.0016500000000000002,3.111855E-316
0.0016600000000000002,2.256094873E-315
0.00167,1.0440068796E-314
0.00168,4.6607194065E-314
0.00169,2.8715460913E-313
0.0017000000000000001,9.15038573977E-313
0.0017100000000000001,6.879655251845E-312
0.0017200000000000002,3.708413878161E-311
0.0017300000000000002,1.3620357852404E-310
0.0017400000000000002,8.85523698671833E-310
0.00175,3.699235701372215E-309
0.00176,1.80563261928147E-308
0.00177,1.0614396909718978E-307
0.0017800000000000001,3.3628708065091205E-307
0.0017900000000000001,2.3461100791926062E-306
0.0018000000000000002,1.1686238545921445E-305
0.0018100000000000002,4.571086050516835E-305
0.0018200000000000002,2.9106547502144284E-304
0.0018300000000000002,1.1040911922947019E-303
0.00184,6.025483036352293E-303
0.00185,3.382041344946121E-302
0.00186,1.1272957607484807E-301
0.0018700000000000001,7.628652263375391E-301
0.0018800000000000002,3.5467110423613965E-300
0.0018900000000000002,1.4954385147625408E-299
0.0019000000000000002,9.144446263458019E-299
0.0019100000000000002,3.074851965295165E-298
0.0019200000000000003,1.9098283350903004E-297
0.00193,1.013804034244549E-296
0.00194,3.567695648298785E-296
0.0019500000000000001,2.3224001657979156E-295
0.0019600000000000004,9.938544969736093E-295
0.00197,4.548594294809473E-294
0.00198,2.6459902478171597E-293
0.00199,8.127385869699213E-293
0.002,5.5374459850905145E-292
0.00201,2.7498947671911034E-291
0.00202,1.0250108854718575E-290
0.00203,6.361998478793762E-290
0.00204,2.4696143914139853E-289
0.00205,1.236049529678798E-288
0.00206,6.77837509169108E-288
0.0020700000000000002,2.173337488655375E-287
0.0020800000000000003,1.412757910618006E-286
0.0020900000000000003,6.497504137440705E-286
0.0021000000000000003,2.5741553813892668E-285
0.0021100000000000003,1.512025991753183E-284
0.0021200000000000004,5.2479229001397673E-284
0.0021300000000000004,2.897925151708775E-283
0.00214,1.4869906218462658E-282
0.00215,4.9862519561277664E-282
0.00216,3.0739940630616056E-281
0.00217,1.298127145430387E-280
0.00218,5.488390008900049E-280
0.00219,3.0339450719630212E-279
0.0022,9.279664914583821E-279
0.00221,5.716967535918181E-278
0.00222,2.729199013380327E-277
0.00223,9.593049304427092E-277
0.0022400000000000002,5.5861042883684776E-276
0.0022500000000000003,2.149997976722026E-275
0.0022600000000000003,9.74880256601353E-275
0.0022700000000000003,5.05200381076761E-274
0.0022800000000000003,1.547277721228382E-273
0.0022900000000000004,9.346486005467432E-273
0.0023000000000000004,4.1329182355493936E-272
0.00231,1.52693979100201E-271
0.00232,8.376590550048536E-271
0.00233,2.918259516314867E-270
0.00234,1.4276741370267299E-269
0.00235,6.916906993172821E-269
0.00236,2.2001453328417876E-268
0.00237,1.2564712163045179E-267
0.00238,5.127752037331871E-267
0.00239,1.9977077348103524E-266
0.0024000000000000002,1.0307570333424565E-265
0.0024100000000000002,3.2277073512510105E-265
0.0024200000000000003,1.7160688107239019E-264
0.0024300000000000003,7.757364480387505E-264
0.0024400000000000003,2.5677465310103538E-263
0.0024500000000000004,1.385086549331048E-262
0.0024600000000000004,5.199783147066743E-262
0.0024700000000000004,2.144085126516662E-261
0.00248,1.0393911368871288E-260
0.00249,3.038901669200581E-260
0.0025,1.691936612782885E-259
0.00251,7.124317573578821E-259
0.00252,2.459517649522874E-258
0.00253,1.2525410625940412E-257
0.00254,4.311215339582027E-257
0.00255,1.8895052549404008E-256
0.00256,8.599331511534676E-256
0.0025700000000000002,2.598086148622707E-255
0.0025800000000000003,1.3705946443308803E-254
0.0025900000000000003,5.367704979108489E-254
0.0026000000000000003,1.9374853940899416E-253
0.0026100000000000003,9.313119440621112E-253
0.0026200000000000004,2.9286165580138525E-252
0.0026300000000000004,1.3708441080649474E-251
0.0026400000000000004,5.853444767673475E-251
0.00265,1.8304208361968546E-250
0.00266,9.150392952965963E-250
0.00267,3.3279302112028653E-249
0.00268,1.259346965407998E-248
0.00269,5.712989692364324E-248
0.0027,1.634809966448264E-247
0.00271,8.217235191518482E-247
0.00272,3.2900180796462537E-246
0.0027300000000000002,1.0666935159179534E-245
0.0027400000000000002,5.054091147112938E-245
0.0027500000000000003,1.7041964349024095E-244
0.0027600000000000003,6.781018610320632E-244
0.0027700000000000003,2.9029309452436295E-243
0.0027800000000000004,8.356587222754399E-243
0.0027900000000000004,4.086526187299606E-242
0.0028000000000000004,1.533224829715317E-241
0.0028100000000000004,5.163566146005121E-241
0.00282,2.319318088191219E-240
0.00283,7.23758533156582E-240
0.00284,3.037808488982627E-239
0.00285,1.2271124503971421E-238
0.00286,3.6403398532130584E-238
0.00287,1.6934609645114693E-237
0.00288,5.94987389360409E-237
0.00289,2.085453983929928E-236
0.0029000000000000002,8.881932344846787E-236
0.0029100000000000003,2.5599155991946154E-235
0.0029200000000000003,1.137296664705986E-234
0.0029300000000000003,4.3343453446491553E-234
0.0029400000000000003,1.3268251277776354E-233
0.0029500000000000004,5.873859256130829E-233
0.0029600000000000004,1.931097434333802E-232
0.0029700000000000004,7.058840977822782E-232
0.0029800000000000004,2.851111262615008E-231
0.00299,7.846338673784877E-231
0.003,3.574129263290613E-230
0.00301,1.2849006413050292E-229
0.00302,4.06423526372046E-229
0.00303,1.7128636152330792E-228
0.00304,5.26481654372211E-228
0.00305,2.0112676255756206E-227
0.0030600000000000002,7.705255565406259E-227
0.0030700000000000002,2.1773673330250534E-226
0.0030800000000000003,9.470103727458337E-226
0.0030900000000000003,3.2107551753479005E-225
0.0031000000000000003,1.0508385990298503E-224
0.0031100000000000004,4.217525217049649E-224
0.0031200000000000004,1.2108777118487497E-223
0.0031300000000000004,4.8449333740117845E-223
0.0031400000000000004,1.7607119189729195E-222
0.0031500000000000005,5.1138241478870903E-222
0.00316,2.124623865209309E-221
0.00317,6.791640380729933E-221
0.00318,2.3031916677638888E-220
0.00319,8.805597076305754E-220
0.0032,2.3592250190693978E-219
0.00321,9.908478752002801E-219
0.00322,3.416049480492119E-218
0.0032300000000000002,1.0207448837913646E-217
0.0032400000000000003,4.052715318842168E-217
0.0032500000000000003,1.2211151536616E-216
0.0032600000000000003,4.2967718558571054E-216
0.0032700000000000003,1.5652886545684602E-215
0.0032800000000000004,4.2289153450816846E-215
0.0032900000000000004,1.7273551113636623E-214
0.0033000000000000004,5.649885852820924E-214
0.0033100000000000004,1.7385477202848746E-213
0.0033200000000000005,6.598944190882121E-213
0.00333,1.8736255817458946E-212
0.00334,6.849920944826668E-212
0.00335,2.3783036318636163E-211
0.00336,6.582016763728787E-211
0.00337,2.57689850382314E-210
