Label,Application,Scenario,NN Architecture A,NN Architecture B,NN Architecture C,Year,Title,DOI
cheng2024resource,Channel access,Free-diffusion,Feedforward NN,,,2024,Resource Allocation Optimization in Mobile Multiuser Molecular Communication by Deep Neural Network,10.1109/tmbmc.2024.3412669
cheng2025deep,Channel estimation,Free-diffusion,Transformer,,,2025,Deep Learning-Based Estimation of Emission Time and Arrival Time in Diffusive Multi-Receiver Molecular Communication,10.1109/tmbmc.2025.3546503
cheng2024channel,Channel estimation,Free-diffusion,Feedforward NN,Transformer,,2024,Channel modeling for diffusion-based molecular MIMO communications using deep learning,10.1016/j.nancom.2024.100543
damrath2018array,Channel estimation,Free-diffusion,Feedforward NN,,,2018,Array Gain Analysis in Molecular MIMO Communications,10.1109/access.2018.2875925
lee2017machine,Channel estimation,Free-diffusion,Feedforward NN,,,2017,Machine learning based channel modeling for molecular MIMO communications,10.1109/spawc.2017.8227765
ozbey2024artificial,Channel estimation,Free-diffusion,Feedforward NN,,,2024,Artificial neural network based misorientation correction in molecular 4x4 MIMO systems,10.1016/j.nancom.2024.100544
ozdemir2021estimating,Channel estimation,Free-diffusion,CNN,,,2021,Estimating Capture Probabilities for Complex Topologies in 2D Molecular Communication via Diffusion Channel using Artificial Neural Networks,10.1109/blackseacom52164.2021.9527790
ozdemir2024estimating,Channel estimation,Free-diffusion,Transformer,,,2024,Estimating channel coefficients for complex topologies in 3D diffusion channel using artificial neural networks,10.1016/j.nancom.2024.100549
yilmaz2017machine,Channel estimation,Free-diffusion,Feedforward NN,,,2017,A machine learning approach to model the received signal in molecular communications,10.1109/blackseacom.2017.8277667
mohamed2021biocyber,Channel estimation,Human vessels,Feedforward NN,,,2021,Bio-Cyber Interface Parameter Estimation with Neural Network for the Internet of Bio-Nano Things,10.1007/s11277-021-09177-6
gulec2020distance,Channel estimation,Open air,Feedforward NN,,,2020,Distance estimation methods for a practical macroscale molecular communication system,10.1016/j.nancom.2020.100300
